age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work location,income,educational_attainment
3,3,2,2,2,1,1,10,5,2,3,3
1,2,1,2,1,1,1,6,4,2,1,2
2,1,1,1,1,1,4,2,2,2,1,3
5,2,1,2,2,1,6,40,4,2,2,3
2,1,1,0,0,0,5,7,2,2,2,3
1,1,2,2,1,1,6,6,4,2,2,1
1,2,1,1,2,0,1,8,4,2,2,3
2,2,2,1,1,1,6,5,3,2,3,2
3,1,2,2,2,1,6,30,2,2,2,3
3,2,2,2,1,0,6,8,9,2,1,2
2,2,2,2,1,1,6,30,9,2,1,2
3,1,2,1,2,1,2,14,1,2,3,2
3,1,1,2,2,1,2,35,7,2,2,2
1,1,2,1,1,1,1,40,9,2,3,3
1,1,1,2,0,1,6,40,9,2,2,2
1,1,2,2,1,1,6,6,10,3,1,1
2,1,2,2,1,1,6,8,9,3,1,2
2,1,2,2,0,1,6,38,2,2,4,3
2,1,1,1,1,1,5,10,3,2,2,3
1,1,2,1,1,1,5,10,10,2,4,2
2,1,1,2,2,1,1,8,7,2,2,2
4,1,1,2,1,1,2,35,9,2,2,2
2,2,1,2,1,1,1,32,1,2,2,3
1,2,2,1,0,1,2,8,7,2,3,1
1,2,1,2,1,1,5,10,5,2,1,2
2,1,1,2,1,1,6,2,9,2,2,2
4,1,1,2,1,1,2,5,10,2,2,2
1,1,2,1,1,0,6,4,4,2,1,1
1,2,2,1,1,1,3,45,6,2,2,1
2,2,2,2,2,1,3,40,8,2,2,1
2,2,1,2,2,1,3,35,10,2,2,2
1,2,2,2,1,1,6,55,1,2,1,3
3,1,2,2,1,1,1,7,3,2,3,3
1,2,1,2,2,1,6,6,5,2,2,2
2,1,1,0,2,1,6,40,2,3,1,2
1,2,1,1,1,1,1,8,5,2,1,2
2,2,1,1,0,1,2,24,8,2,2,3
2,2,2,2,1,1,6,32,1,2,3,3
3,3,0,0,0,1,2,10,8,2,2,2
1,1,1,2,1,1,1,4,7,2,2,2
2,2,1,2,1,1,6,6,5,2,1,1
1,1,2,2,1,1,6,8,2,2,2,3
3,2,1,0,0,0,1,45,10,3,3,2
2,2,2,2,2,1,6,3,5,2,2,2
1,1,2,2,1,1,6,8,4,3,1,2
2,1,2,2,1,1,6,8,5,2,3,3
1,2,1,2,2,1,1,4,2,2,1,1
1,1,2,2,1,1,1,5,3,2,3,2
1,1,2,2,1,1,3,48,9,2,1,2
2,2,1,2,1,1,6,48,2,2,1,3
1,1,1,1,1,1,6,12,2,2,2,3
1,1,1,2,1,1,6,14,5,2,2,3
1,2,1,1,1,1,6,5,2,2,1,3
1,1,2,2,1,1,1,30,5,2,3,1
3,1,1,2,1,1,1,5,5,2,2,2
2,1,2,2,1,1,1,3,2,2,1,1
2,1,2,1,1,1,4,5,6,1,2,1
1,1,0,2,1,1,6,6,5,2,3,3
1,1,0,2,1,1,6,5,5,2,4,3
1,2,2,1,0,1,6,30,7,2,2,3
1,2,2,2,1,1,3,40,9,2,1,2
1,2,2,2,1,1,3,40,9,2,1,2
2,1,2,2,1,1,6,30,9,2,3,2
1,1,1,1,0,1,1,6,1,2,1,2
1,2,1,0,1,1,4,6,10,2,1,3
1,2,0,1,0,1,1,24,8,2,1,3
2,2,1,1,1,0,6,20,3,2,1,2
3,1,2,2,2,1,6,36,9,2,1,2
1,1,2,2,2,1,6,6,9,2,1,1
2,1,2,1,1,1,5,5,2,3,1,2
1,1,1,0,1,1,6,40,9,2,4,3
1,1,1,0,1,1,6,40,9,2,3,3
3,1,1,2,1,1,5,30,5,2,2,2
3,2,1,2,1,1,2,30,5,2,2,2
3,1,2,1,2,1,1,8,8,2,3,3
4,2,1,1,1,1,6,3,10,2,2,3
2,2,1,1,0,1,3,3,1,1,2,2
2,1,1,2,1,1,6,40,1,2,2,2
2,1,2,2,1,1,3,30,2,2,3,2
3,1,0,1,1,1,3,30,2,2,2,3
3,2,2,2,1,1,6,8,9,2,2,3
2,2,1,2,2,1,1,21,2,2,1,3
2,1,2,2,1,0,6,80,5,2,1,3
3,2,2,2,1,1,6,8,9,2,2,2
2,2,1,2,1,1,2,30,2,2,3,2
1,1,2,2,2,1,6,4,1,2,4,3
1,2,1,1,1,1,6,9,9,2,2,3
2,1,2,1,1,1,1,32,7,2,1,2
1,1,1,2,2,1,6,50,7,2,1,2
2,2,1,2,2,1,4,3,3,2,1,2
2,1,1,2,0,1,6,40,9,2,2,1
2,2,1,2,2,1,6,8,9,2,3,3
3,2,2,2,2,1,2,18,3,2,1,2
2,1,2,1,2,1,1,3,2,3,1,3
1,1,1,1,1,1,6,2,3,2,2,2
1,1,1,1,1,1,6,2,3,2,2,2
1,1,1,2,1,1,5,8,9,2,1,1
2,2,2,2,0,1,2,40,6,2,3,2
2,1,1,2,0,1,6,40,9,2,2,2
3,3,0,0,0,1,2,12,10,2,2,3
3,1,2,2,2,1,5,8,9,2,1,1
3,1,2,2,2,1,6,32,4,2,3,3
2,1,2,2,2,1,6,30,2,2,2,3
5,2,2,2,2,1,6,20,5,2,3,3
1,1,0,2,1,1,6,6,5,2,2,3
3,1,2,1,1,1,4,12,2,2,2,2
2,1,1,2,0,1,6,4,5,2,4,2
2,1,1,2,1,1,6,2,5,2,2,2
2,1,1,2,2,1,4,20,7,2,2,1
2,2,2,1,1,1,6,26,8,2,1,2
3,3,2,2,0,1,2,14,7,2,2,3
2,1,2,2,2,1,6,38,3,2,3,3
1,1,2,1,1,1,6,26,7,2,3,3
1,1,1,2,1,0,6,8,4,2,2,3
2,1,1,2,2,1,6,36,4,2,3,3
1,1,2,2,1,1,2,40,8,2,1,2
1,1,2,1,2,1,2,36,8,2,4,3
3,1,2,2,2,1,6,20,5,2,2,3
