Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type
DeAndre McDaniel,CLEM,8,182,22.75,--,1,58,40,98,2,11,Defense
Rashard Hall,CLEM,6,67,11.17,--,0,24,31,55,0,0,Defense
Rashad Carmichael,VT,6,71,11.83,--,1,31,24,55,1,18,Defense
Deunta Williams,UNC,6,114,19,--,0,34,13,47,0,0,Defense
Leon Wright,DUKE,5,146,29.2,--,2,36,22,58,0,0,Defense
Kendric Burney,UNC,5,200,40,--,2,37,15,52,1,8,Defense
Cameron Chism,MD,4,29,7.25,--,0,43,23,66,0,0,Defense
Morgan Burnett,GT,4,40,10,--,0,48,37,85,0,0,Defense
Jamie Robinson,FSU,4,52,13,--,1,52,22,74,1,1,Defense
Ochuko Jenije,FSU,4,54,13.5,--,0,26,5,31,0,0,Defense
Chris Cook,UVA,4,66,16.5,--,1,34,6,40,0,0,Defense
Roderick Rollins,BC,3,7,2.33,--,0,32,11,43,0,0,Defense
Kenny Okoro,WF,3,30,10,--,0,30,8,38,0,0,Defense
Wes Davis,BC,3,33,11,--,0,26,20,46,0,0,Defense
Ras-I Dowling,UVA,3,70,23.33,--,0,40,18,58,1,6,Defense
Charles Brown,UNC,3,91,30.33,--,0,55,11,66,0,0,Defense
Kam Chancellor,VT,2,-3,-1.5,--,0,26,42,68,0,0,Defense
Clem Johnson,NCST,2,0,0,--,0,39,24,63,0,0,Defense
Chase Minnifield,UVA,2,0,0,--,0,21,7,28,0,0,Defense
Randy Phillips,MIA,2,0,0,--,0,35,18,53,0,0,Defense
Dominique Tate,WF,2,0,0,--,0,7,3,10,0,0,Defense
Mario Butler,GT,2,2,1,--,0,33,12,45,0,0,Defense
Micanor Regis,MIA,2,2,1,--,0,7,12,19,0.5,2,Defense
Dominick LeGrande,BC,2,4,2,--,0,27,9,36,1,5,Defense
Byron Maxwell,CLEM,2,4,2,--,0,20,12,32,0,0,Defense
Brandon Harris,MIA,2,10,5,--,0,40,18,58,1,5,Defense
Vincent Rey,DUKE,2,16,8,--,0,44,54,98,1,5,Defense
Marcellus Bowman,BC,2,53,26.5,--,0,48,25,73,2,17,Defense
Greg Reid,FSU,2,63,31.5,--,1,16,7,23,0,0,Defense
Jerrard Tarrant,GT,2,90,45,--,1,39,19,58,0,0,Defense
Alex Wujciak,MD,2,152,76,--,1,58,73,131,1,9,Defense
DeMarcus Van Dyke,MIA,1,-5,-5,--,0,23,7,30,0,0,Defense
Zach Brown,UNC,1,0,0,--,0,30,17,47,0,0,Defense
Lee Butler,DUKE,1,0,0,--,0,25,14,39,1,1,Defense
Nick Clancy,BC,1,0,0,--,0,15,2,17,0,0,Defense
