Player,Team,PAT,FG,0-19,20-29,30-39,40-49,50+,Lg,Pts,Stat Type
Matt Waldron,VT,48/48,20/23,--,--,--,--,--,--,108,Kicking
Richard Jackson,CLEM,41/43,20/31,--,--,--,--,--,--,101,Kicking
Casey Barth,UNC,34/35,21/25,--,--,--,--,--,--,97,Kicking
Dustin Hopkins,FSU,40/44,19/27,--,--,--,--,--,--,97,Kicking
Matt Bosher,MIA,50/50,14/16,--,--,--,--,--,--,92,Kicking
Scott Blair,GT,45/46,14/20,--,--,--,--,--,--,87,Kicking
Nick Ferrara,MD,26/26,18/25,--,--,--,--,--,--,80,Kicking
Steve Aponavicius,BC,38/39,13/14,--,--,--,--,--,--,77,Kicking
Will Snyderwine,DUKE,24/24,17/20,--,--,--,--,--,--,75,Kicking
Josh Czajkowski,NCST,44/44,12-Oct,--,--,--,--,--,--,74,Kicking
Jimmy Newman,WF,34/34,17-Nov,--,--,--,--,--,--,67,Kicking
Robert Randolph,UVA,6-Jun,17/19,--,--,--,--,--,--,57,Kicking
Drew Jarrett,UVA,17/17,0/0,--,--,--,--,--,--,17,Kicking
Nick Maggio,DUKE,9-Sep,4-Feb,--,--,--,--,--,--,15,Kicking
Chris Tanner,GT,14/14,0/0,--,--,--,--,--,--,14,Kicking
Shane Popham,WF,6-Jun,2-Jan,--,--,--,--,--,--,9,Kicking
Spencer Benton,CLEM,7-Apr,1-Jan,--,--,--,--,--,--,7,Kicking
Carl Ojala,NCST,3-Feb,0/0,--,--,--,--,--,--,2,Kicking
Greg Abilheira,BC,1-Jan,0/0,--,--,--,--,--,--,1,Kicking
