Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,Stat Type
Jacory Harris,MIA,406,242,59.6,"3,352",8.3,24,5.9,17,4.2,--,--,--,140.1,Passing
Thaddeus Lewis,DUKE,449,274,61,"3,330",7.4,20,4.5,8,1.8,--,--,--,134.5,Passing
Riley Skinner,WF,400,264,66,"3,160",7.9,26,6.5,12,3,--,--,--,147.8,Passing
Russell Wilson,NCST,378,224,59.3,"3,027",8,31,8.2,11,2.9,--,--,--,147.8,Passing
Christian Ponder,FSU,330,227,68.8,"2,717",8.2,14,4.2,7,2.1,--,--,--,147.7,Passing
Kyle Parker,CLEM,369,205,55.6,"2,526",6.8,20,5.4,12,3.3,--,--,--,124.4,Passing
Tyrod Taylor,VT,243,136,56,"2,311",9.5,13,5.3,5,2.1,--,--,--,149.4,Passing
T.J. Yates,UNC,355,214,60.3,"2,136",6,14,3.9,15,4.2,--,--,--,115.4,Passing
Chris Turner,MD,303,180,59.4,"2,069",6.8,10,3.3,10,3.3,--,--,--,121.1,Passing
Dave Shinskie,BC,288,149,51.7,"2,049",7.1,15,5.2,14,4.9,--,--,--,119,Passing
Jameel Sewell,UVA,292,157,53.8,"1,848",6.3,7,2.4,7,2.4,--,--,--,110,Passing
Joshua Nesbitt,GT,162,75,46.3,"1,701",10.5,10,6.2,5,3.1,--,--,--,148.7,Passing
E.J. Manuel,FSU,106,69,65.1,817,7.7,2,1.9,6,5.7,--,--,--,124.7,Passing
Jamarr Robinson,MD,85,46,54.1,459,5.4,2,2.4,0,0,--,--,--,107.2,Passing
Sean Renfree,DUKE,50,34,68,330,6.6,4,8,2,4,--,--,--,141.8,Passing
Mike Glennon,NCST,39,24,61.5,248,6.4,1,2.6,2,5.1,--,--,--,113.2,Passing
Justin Tuggle,BC,37,13,35.1,229,6.2,4,10.8,3,8.1,--,--,--,106.6,Passing
Marc Verica,UVA,63,28,44.4,156,2.5,0,0,1,1.6,--,--,--,62.1,Passing
Mike Marscovetra,BC,22,13,59.1,135,6.1,2,9.1,1,4.5,--,--,--,131.5,Passing
Willy Korn,CLEM,17,12,70.6,90,5.3,1,5.9,1,5.9,--,--,--,122.7,Passing
Ju-Ju Clayton,VT,5,1,20,80,16,1,20,0,0,--,--,--,220.4,Passing
Jacoby Ford,CLEM,2,2,100,55,27.5,1,50,0,0,--,--,--,496,Passing
Alonzo Highsmith Jr.,MIA,6,4,66.7,53,8.8,1,16.7,0,0,--,--,--,195.9,Passing
Marshall Williams,WF,3,3,100,52,17.3,0,0,0,0,--,--,--,245.6,Passing
Ryan McManus,WF,14,6,42.9,47,3.4,0,0,0,0,--,--,--,71.1,Passing
Vic Hall,UVA,7,4,57.1,42,6,1,14.3,0,0,--,--,--,154.7,Passing
Ryan Houston,UNC,1,1,100,42,42,0,0,0,0,--,--,--,452.8,Passing
Scott Blair,GT,1,1,100,34,34,1,100,0,0,--,--,--,715.6,Passing
Shaun Draughn,UNC,1,1,100,34,34,0,0,0,0,--,--,--,385.6,Passing
Bobby Rome,UNC,1,1,100,31,31,0,0,0,0,--,--,--,360.4,Passing
A.J. Blue,UNC,1,1,100,24,24,0,0,0,0,--,--,--,301.6,Passing
Tevin Washington,GT,1,1,100,21,21,0,0,0,0,--,--,--,276.4,Passing
Codi Boek,BC,4,2,50,18,4.5,0,0,0,0,--,--,--,87.8,Passing
Jaybo Shaw,GT,2,1,50,18,9,0,0,1,50,--,--,--,25.6,Passing
C.J. Spiller,CLEM,2,1,50,17,8.5,1,50,0,0,--,--,--,286.4,Passing
Braden Hanson,UNC,6,2,33.3,7,1.2,0,0,2,33.3,--,--,--,-23.5,Passing
Greg Boone,VT,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Graig Cooper,MIA,3,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Erik Highsmith,UNC,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Daniel Imhoff,NCST,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Austin Kelly,DUKE,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
LaQuan Williams,MD,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
