Player,Team,PAT,FG,0-19,20-29,30-39,40-49,50+,Lg,Pts,Stat Type
Dustin Hopkins,FSU,53/53,22/28,--,--,--,--,--,--,119,Kicking
Chris Hazley,VT,53/56,21/22,--,--,--,--,--,--,116,Kicking
Josh Czajkowski,NCST,42/43,20/26,--,--,--,--,--,--,102,Kicking
Travis Baltz,MD,53/54,14/18,--,--,--,--,--,--,95,Kicking
Casey Barth,UNC,38/38,19/22,--,--,--,--,--,--,95,Kicking
Will Snyderwine,DUKE,32/32,21/24,--,--,--,--,--,--,95,Kicking
Nate Freese,BC,24/25,22/25,--,--,--,--,--,--,90,Kicking
Scott Blair,GT,37/38,15/17,--,--,--,--,--,--,82,Kicking
Matt Bosher,MIA,37/40,13/17,--,--,--,--,--,--,76,Kicking
Chandler Catanzaro,CLEM,34/34,14/22,--,--,--,--,--,--,76,Kicking
Jimmy Newman,WF,31/31,13-Dec,--,--,--,--,--,--,67,Kicking
Robert Randolph,UVA,37/37,14-Oct,--,--,--,--,--,--,67,Kicking
Chris Hawthorne,NCST,5-May,1-Jan,--,--,--,--,--,--,8,Kicking
Chris Hinkebein,UVA,0/0,4-Jan,--,--,--,--,--,--,3,Kicking
J. Ellis Flint,NCST,2-Feb,0/0,--,--,--,--,--,--,2,Kicking
Spencer Benton,CLEM,2-Jan,0/0,--,--,--,--,--,--,1,Kicking
Richard Jackson,CLEM,1-Jan,0/2,--,--,--,--,--,--,1,Kicking
