Player,Team,Punts,Yds,Avg,Lg,TB,In20,Blk,Net,Ret,RYds,Stat Type
Shawn Powell,FSU,50,"2,214",44.3,--,--,--,0,--,--,--,Punting
Matt Bosher,MIA,59,"2,597",44,--,--,--,0,--,--,--,Punting
Brian Saunders,VT,60,"2,639",44,--,--,--,0,--,--,--,Punting
Dawson Zimmerman,CLEM,60,"2,563",42.7,--,--,--,0,--,--,--,Punting
Jimmy Howell,UVA,49,"2,066",42.2,--,--,--,0,--,--,--,Punting
Travis Baltz,MD,67,"2,796",41.7,--,--,--,0,--,--,--,Punting
Ryan Quigley,BC,79,"3,282",41.5,--,--,--,0,--,--,--,Punting
Alex King,DUKE,55,"2,262",41.1,--,--,--,0,--,--,--,Punting
C.J. Feagles,UNC,46,"1,725",37.5,--,--,--,0,--,--,--,Punting
Jeff Ruiz,NCST,33,"1,233",37.4,--,--,--,0,--,--,--,Punting
Shane Popham,WF,71,"2,633",37.1,--,--,--,0,--,--,--,Punting
