Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Tony Logan,MD,31,560,18.06,--,--,2,Punt Return
Greg Reid,FSU,31,314,10.13,--,--,1,Punt Return
Jayron Hosley,VT,19,239,12.58,--,--,1,Punt Return
Marcus Gilchrist,CLEM,23,233,10.13,--,--,0,Punt Return
Lee Butler,DUKE,21,181,8.62,--,--,0,Punt Return
T.J. Graham,NCST,19,154,8.11,--,--,1,Punt Return
Jerrard Tarrant,GT,20,131,6.55,--,--,0,Punt Return
Travis Benjamin,MIA,23,106,4.61,--,--,1,Punt Return
Da'Norris Searcy,UNC,12,93,7.75,--,--,0,Punt Return
Chase Minnifield,UVA,13,84,6.46,--,--,0,Punt Return
Devon Brown,WF,7,82,11.71,--,--,0,Punt Return
Jaron Brown,CLEM,3,52,17.33,--,--,0,Punt Return
Montel Harris,BC,9,49,5.44,--,--,0,Punt Return
Perry Jones,UVA,6,45,7.5,--,--,0,Punt Return
DeLeon Gause,BC,8,34,4.25,--,--,0,Punt Return
DeAndre Hopkins,CLEM,2,33,16.5,--,--,0,Punt Return
Graig Cooper,MIA,8,32,4,--,--,0,Punt Return
Bobby Swigert,BC,6,25,4.17,--,--,0,Punt Return
C.J. Washington,WF,1,22,22,--,--,0,Punt Return
Danny Coale,VT,2,22,11,--,--,0,Punt Return
Colby Jackson,NCST,1,21,21,--,--,0,Punt Return
Asa Watson,NCST,1,20,20,--,--,0,Punt Return
Lovell Jackson,WF,4,19,4.75,--,--,0,Punt Return
Kendric Burney,UNC,2,18,9,--,--,0,Punt Return
Bruce Carter,UNC,1,17,17,--,--,0,Punt Return
Lamar Miller,MIA,3,16,5.33,--,--,0,Punt Return
Nick Peterson,MD,1,15,15,--,--,0,Punt Return
Chris Givens,WF,1,10,10,--,--,0,Punt Return
Kourtnei Brown,CLEM,1,9,9,--,--,0,Punt Return
Justin Byers,NCST,1,9,9,--,--,0,Punt Return
Johnny Williams,DUKE,2,7,3.5,--,--,0,Punt Return
Chris Fox,BC,2,6,3,--,--,0,Punt Return
Brandon Clear,CLEM,0,4,0,--,--,0,Punt Return
Kris Burd,UVA,1,4,4,--,--,0,Punt Return
Chris Thompson,FSU,1,4,4,--,--,0,Punt Return
Daniel McKayhan,GT,3,3,1,--,--,0,Punt Return
Jarvis Williams,NCST,0,1,0,--,--,1,Punt Return
Cameron Chism,MD,1,1,1,--,--,0,Punt Return
Michael Campanaro,WF,1,0,0,--,--,0,Punt Return
Bryce McNeal,CLEM,1,0,0,--,--,0,Punt Return
Torrey Smith,MD,1,0,0,--,--,0,Punt Return
