Player,Team,Rec,Yds,Avg,Lg,TD,Stat Type
Conner Vernon,DUKE,73,973,13.33,--,4,Receiving
Leonard Hankerson,MIA,72,"1,156",16.06,--,13,Receiving
Torrey Smith,MD,67,"1,055",15.75,--,12,Receiving
Dwight Jones,UNC,62,946,15.26,--,4,Receiving
Donovan Varner,DUKE,60,736,12.27,--,1,Receiving
Owen Spencer,NCST,60,912,15.2,--,4,Receiving
Bert Reed,FSU,58,614,10.59,--,2,Receiving
Kris Burd,UVA,58,799,13.78,--,5,Receiving
Jarrett Boykin,VT,53,847,15.98,--,6,Receiving
DeAndre Hopkins,CLEM,52,637,12.25,--,4,Receiving
Jarvis Williams,NCST,52,713,13.71,--,5,Receiving
Dontrelle Inman,UVA,51,815,15.98,--,3,Receiving
Austin Kelly,DUKE,47,486,10.34,--,4,Receiving
Taiwan Easterling,FSU,43,551,12.81,--,5,Receiving
Travis Benjamin,MIA,43,743,17.28,--,3,Receiving
LaRon Byrd,MIA,41,441,10.76,--,1,Receiving
Devon Brown,WF,39,302,7.74,--,1,Receiving
Bobby Swigert,BC,39,504,12.92,--,4,Receiving
Danny Coale,VT,39,732,18.77,--,3,Receiving
Willie Haulstead,FSU,38,587,15.45,--,6,Receiving
Adrian Cannon,MD,36,324,9,--,1,Receiving
Ryan Taylor,UNC,36,330,9.17,--,2,Receiving
Jamie Harper,CLEM,35,328,9.37,--,3,Receiving
George Bryan,NCST,35,369,10.54,--,3,Receiving
Chris Givens,WF,35,514,14.69,--,4,Receiving
Desmond Scott,DUKE,34,266,7.82,--,0,Receiving
Cooper Helfet,DUKE,34,380,11.18,--,2,Receiving
Dwayne Allen,CLEM,33,373,11.3,--,1,Receiving
Jaron Brown,CLEM,32,405,12.66,--,3,Receiving
Perry Jones,UVA,31,224,7.23,--,1,Receiving
Chris Pantale,BC,31,338,10.9,--,1,Receiving
Rodney Smith,FSU,31,448,14.45,--,3,Receiving
Mustafa Greene,NCST,30,272,9.07,--,2,Receiving
Zack Pianalto,UNC,30,311,10.37,--,1,Receiving
Matt Snyder,UVA,30,393,13.1,--,0,Receiving
James Washington,NCST,27,185,6.85,--,1,Receiving
Darrell Davis,NCST,26,327,12.58,--,3,Receiving
T.J. Graham,NCST,25,316,12.64,--,4,Receiving
Anthony Elzy,UNC,25,338,13.52,--,2,Receiving
Erik Highsmith,UNC,25,348,13.92,--,3,Receiving
Marshall Williams,WF,24,272,11.33,--,2,Receiving
Johnny White,UNC,24,288,12,--,0,Receiving
Marquan Jones,CLEM,21,184,8.76,--,0,Receiving
Dyrell Roberts,VT,21,303,14.43,--,2,Receiving
Andre Smith,VT,20,195,9.75,--,5,Receiving
Chris Thompson,FSU,19,155,8.16,--,1,Receiving
Bryce McNeal,CLEM,19,187,9.84,--,0,Receiving
Joshua Adams,UNC,19,202,10.63,--,2,Receiving
Marcus Davis,VT,19,239,12.58,--,2,Receiving
Ifeanyi Momah,BC,19,296,15.58,--,3,Receiving
Montel Harris,BC,18,112,6.22,--,1,Receiving
Colter Phillips,UVA,18,155,8.61,--,3,Receiving
Clyde Lee,BC,17,185,10.88,--,1,Receiving
Beau Reliford,FSU,17,198,11.65,--,1,Receiving
Quintin McCree,MD,16,188,11.75,--,1,Receiving
Alex Amidon,BC,16,338,21.12,--,2,Receiving
Aldarius Johnson,MIA,15,157,10.47,--,0,Receiving
Kevin Dorsey,MD,15,187,12.47,--,2,Receiving
