Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type
David Amerson,NCST,12,206,17.17,--,2,41,18,59,0,0,Defense
Josh Bush,WF,6,115,19.17,--,0,41,18,59,0,0,Defense
Brandan Bishop,NCST,5,53,10.6,--,0,44,45,89,0,0,Defense
Rodney McLeod,UVA,4,15,3.75,--,0,34,23,57,0,0,Defense
Lamarcus Joyner,FSU,4,22,5.5,--,0,38,16,54,1,3,Defense
Dexter McDougle,MD,3,0,0,--,0,29,15,44,0,0,Defense
Terrell Manning,NCST,3,9,3,--,0,46,30,76,5.5,44,Defense
Jemea Thomas,GT,3,9,3,--,0,33,17,50,2,15,Defense
Tre Boston,UNC,3,20,6.67,--,0,48,22,70,0,0,Defense
Zach Brown,UNC,3,24,8,--,0,62,43,105,5.5,37,Defense
Isaiah Johnson,GT,3,34,11.33,--,1,48,30,78,1,4,Defense
Earl Wolff,NCST,3,53,17.67,--,0,59,46,105,0,0,Defense
Chase Minnifield,UVA,3,54,18,--,1,33,17,50,1.5,13,Defense
Jayron Hosley,VT,3,56,18.67,--,0,33,26,59,0,0,Defense
Jonathan Meeks,CLEM,3,58,19.33,--,0,46,19,65,0,0,Defense
Luke Kuechly,BC,3,71,23.67,--,1,102,89,191,0,0,Defense
Cameron Chism,MD,3,100,33.33,--,2,29,18,47,0,0,Defense
Charles Brown,UNC,2,0,0,--,0,37,16,53,0,0,Defense
Donnie Fletcher,BC,2,0,0,--,0,21,14,35,0,0,Defense
JoJo Nicolas,MIA,2,0,0,--,0,37,29,66,0,0,Defense
Kyle Fuller,VT,2,2,1,--,0,46,19,65,4.5,39,Defense
Matt Merletti,UNC,2,8,4,--,0,24,12,36,0,0,Defense
Greg Reid,FSU,2,12,6,--,0,27,5,32,0,0,Defense
Hampton Hughes,BC,2,13,6.5,--,0,20,19,39,0,0,Defense
Kenny Tate,MD,2,13,6.5,--,0,20,15,35,0,0,Defense
Nigel Bradham,FSU,2,17,8.5,--,0,56,30,86,2,20,Defense
Demetrious Nicholson,UVA,2,31,15.5,--,0,43,17,60,0,0,Defense
Merrill Noel,WF,2,32,16,--,0,54,12,66,0,0,Defense
Rod Sweeting,GT,2,32,16,--,1,37,19,56,0,0,Defense
Matt Daniels,DUKE,2,43,21.5,--,0,65,61,126,0,0,Defense
Eddie Whitley,VT,2,47,23.5,--,0,40,43,83,0,0,Defense
