Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
T.J. Graham,NCST,44,986,22.41,--,--,0,Kickoff Return
T.J. Thorpe,UNC,36,960,26.67,--,--,1,Kickoff Return
Sammy Watkins,CLEM,33,826,25.03,--,--,1,Kickoff Return
Jamison Crowder,DUKE,38,814,21.42,--,--,0,Kickoff Return
Lovell Jackson,WF,33,700,21.21,--,--,0,Kickoff Return
Darius Jennings,UVA,30,599,19.97,--,--,0,Kickoff Return
Travis Benjamin,MIA,25,592,23.68,--,--,0,Kickoff Return
Justus Pickett,MD,30,568,18.93,--,--,0,Kickoff Return
Spiffy Evans,BC,23,485,21.09,--,--,0,Kickoff Return
Khalek Shepherd,UVA,17,442,26,--,--,0,Kickoff Return
David Wilson,VT,22,415,18.86,--,--,0,Kickoff Return
Lamarcus Joyner,FSU,13,397,30.54,--,--,0,Kickoff Return
Desmond Scott,DUKE,19,375,19.74,--,--,0,Kickoff Return
Orwin Smith,GT,18,352,19.56,--,--,0,Kickoff Return
Tahj Kimble,BC,17,345,20.29,--,--,0,Kickoff Return
Tony Gregory,VT,17,335,19.71,--,--,0,Kickoff Return
Tony Logan,MD,15,316,21.07,--,--,0,Kickoff Return
Jaron Brown,CLEM,15,308,20.53,--,--,0,Kickoff Return
Ronnie Tyler,MD,13,292,22.46,--,--,0,Kickoff Return
Merrill Noel,WF,13,233,17.92,--,--,0,Kickoff Return
Tony Zenon,GT,9,202,22.44,--,--,0,Kickoff Return
Karlos Williams,FSU,8,186,23.25,--,--,0,Kickoff Return
Charles Brown,UNC,9,179,19.89,--,--,0,Kickoff Return
Lamar Miller,MIA,7,162,23.14,--,--,0,Kickoff Return
Sean Tapley,UNC,8,160,20,--,--,0,Kickoff Return
Michael Campanaro,WF,7,149,21.29,--,--,0,Kickoff Return
Dyrell Roberts,VT,5,148,29.6,--,--,0,Kickoff Return
Greg Reid,FSU,6,147,24.5,--,--,0,Kickoff Return
Embry Peeples,GT,8,145,18.12,--,--,0,Kickoff Return
Andre Ellington,CLEM,5,131,26.2,--,--,0,Kickoff Return
Jeremiah Wilson,MD,5,122,24.4,--,--,0,Kickoff Return
E.J. Scott,UVA,4,97,24.25,--,--,0,Kickoff Return
Phillip Dorsett,MIA,4,82,20.5,--,--,0,Kickoff Return
Josh Harris,WF,4,72,18,--,--,0,Kickoff Return
Rashad Greene,FSU,3,65,21.67,--,--,0,Kickoff Return
Mike Bellamy,CLEM,4,64,16,--,--,0,Kickoff Return
Bobby Swigert,BC,3,59,19.67,--,--,0,Kickoff Return
Avery Graham,MD,3,56,18.67,--,--,0,Kickoff Return
Patrick Kurunwune,DUKE,3,50,16.67,--,--,0,Kickoff Return
Tobais Palmer,NCST,3,48,16,--,--,0,Kickoff Return
Martavis Bryant,CLEM,2,45,22.5,--,--,0,Kickoff Return
Eddie Johnson,MIA,2,45,22.5,--,--,0,Kickoff Return
Charles Perkins,GT,2,39,19.5,--,--,0,Kickoff Return
A.J. Blue,UNC,2,34,17,--,--,0,Kickoff Return
Ryan Schlothauer,MD,3,32,10.67,--,--,0,Kickoff Return
Dean Haynes,NCST,2,31,15.5,--,--,0,Kickoff Return
Jayron Hosley,VT,1,29,29,--,--,0,Kickoff Return
Stephen Hill,GT,1,28,28,--,--,0,Kickoff Return
Brandon McGee,MIA,1,27,27,--,--,0,Kickoff Return
David Amerson,NCST,1,25,25,--,--,0,Kickoff Return
Danny Parker,DUKE,2,24,12,--,--,0,Kickoff Return
Corey Gattis,DUKE,1,23,23,--,--,0,Kickoff Return
Charone Peake,CLEM,2,22,11,--,--,0,Kickoff Return
C.J. Wilson,NCST,1,21,21,--,--,0,Kickoff Return
Alex Amidon,BC,1,18,18,--,--,0,Kickoff Return
Chris Givens,WF,1,18,18,--,--,0,Kickoff Return
Roddy Jones,GT,1,17,17,--,--,0,Kickoff Return
Jemea Thomas,GT,1,16,16,--,--,0,Kickoff Return
Curtis Byrd,UNC,2,15,7.5,--,--,0,Kickoff Return
Orville Reynolds,WF,2,15,7.5,--,--,0,Kickoff Return
Andre Lawrence,BC,2,14,7,--,--,0,Kickoff Return
Chase Williams,VT,2,14,7,--,--,0,Kickoff Return
Chad Diehl,CLEM,1,11,11,--,--,0,Kickoff Return
Devonte Campbell,MD,1,10,10,--,--,0,Kickoff Return
Mario Carter,NCST,1,10,10,--,--,0,Kickoff Return
Christian Wilson,UNC,1,9,9,--,--,0,Kickoff Return
Zach Brown,UNC,1,8,8,--,--,0,Kickoff Return
Jordan Garside,WF,1,8,8,--,--,0,Kickoff Return
Maurice Hagens,MIA,1,7,7,--,--,0,Kickoff Return
Zach Laskey,GT,1,6,6,--,--,0,Kickoff Return
Richard Watson,GT,1,2,2,--,--,0,Kickoff Return
Alonzo Highsmith Jr.,MIA,1,0,0,--,--,0,Kickoff Return
Denzel Perryman,MIA,1,0,0,--,--,0,Kickoff Return
Clifton Richardson,UVA,1,0,0,--,--,0,Kickoff Return
