Player,Team,Punts,Yds,Avg,Lg,TB,In20,Blk,Net,Ret,RYds,Stat Type
Shawn Powell,FSU,57,"2,681",47,--,--,--,0,--,--,--,Punting
Dalton Botts,MIA,48,"2,051",42.7,--,--,--,0,--,--,--,Punting
Alex King,DUKE,50,"2,104",42.1,--,--,--,0,--,--,--,Punting
Dawson Zimmerman,CLEM,65,"2,717",41.8,--,--,--,0,--,--,--,Punting
Alex Wulfeck,WF,70,"2,780",39.7,--,--,--,0,--,--,--,Punting
Sean Poole,GT,36,"1,429",39.7,--,--,--,0,--,--,--,Punting
Nick Ferrara,MD,57,"2,249",39.5,--,--,--,0,--,--,--,Punting
Jimmy Howell,UVA,62,"2,442",39.4,--,--,--,0,--,--,--,Punting
Tommy Hibbard,UNC,51,"1,999",39.2,--,--,--,0,--,--,--,Punting
Ryan Quigley,BC,69,"2,657",38.5,--,--,--,0,--,--,--,Punting
Wil Baumann,NCST,65,"2,438",37.5,--,--,--,0,--,--,--,Punting
