Player,Team,PAT,FG,0-19,20-29,30-39,40-49,50+,Lg,Pts,Stat Type
Dustin Hopkins,FSU,65/66,25/30,--,--,--,--,--,--,140,Kicking
Chandler Catanzaro,CLEM,57/59,18/19,--,--,--,--,--,--,111,Kicking
Ross Martin,DUKE,46/47,20/23,--,--,--,--,--,--,106,Kicking
Jake Wieclaw,MIA,42/42,19/25,--,--,--,--,--,--,99,Kicking
Cody Journell,VT,34/36,20/25,--,--,--,--,--,--,94,Kicking
Casey Barth,UNC,44/44,15/19,--,--,--,--,--,--,89,Kicking
Niklas Sade,NCST,44/46,13/23,--,--,--,--,--,--,83,Kicking
Nate Freese,BC,24/24,18/20,--,--,--,--,--,--,78,Kicking
Brad Craddock,MD,23/25,16-Oct,--,--,--,--,--,--,53,Kicking
Drew Jarrett,UVA,27/27,12-Aug,--,--,--,--,--,--,51,Kicking
David Scully,GT,37/39,8-Apr,--,--,--,--,--,--,49,Kicking
Chris Tanner,GT,18/18,6-May,--,--,--,--,--,--,33,Kicking
Jimmy Newman,WF,17/17,6-Feb,--,--,--,--,--,--,23,Kicking
Chad Hedlund,WF,11-Oct,3-Mar,--,--,--,--,--,--,19,Kicking
Thomas Moore,UNC,12-Dec,3-Feb,--,--,--,--,--,--,18,Kicking
Ian Frye,UVA,5-May,5-Mar,--,--,--,--,--,--,14,Kicking
Justin Moore,GT,3-Feb,4-Feb,--,--,--,--,--,--,8,Kicking
Brendan Magistro,MD,3-Mar,1-Jan,--,--,--,--,--,--,6,Kicking
Spencer Benton,CLEM,0/0,3-Jan,--,--,--,--,--,--,3,Kicking
Ammon Lakip,CLEM,2-Feb,0/0,--,--,--,--,--,--,2,Kicking
Brian Symmes,CLEM,1-Jan,0/0,--,--,--,--,--,--,1,Kicking
