Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Tobais Palmer,NCST,44,"1,124",25.55,--,--,2,Kickoff Return
Khalek Shepherd,UVA,42,929,22.12,--,--,0,Kickoff Return
Duke Johnson,MIA,27,892,33.04,--,--,2,Kickoff Return
Sean Tapley,UNC,31,725,23.39,--,--,1,Kickoff Return
Stefon Diggs,MD,25,713,28.52,--,--,2,Kickoff Return
Jamal Golden,GT,23,652,28.35,--,--,2,Kickoff Return
Spiffy Evans,BC,34,631,18.56,--,--,0,Kickoff Return
Demitri Knowles,VT,21,595,28.33,--,--,1,Kickoff Return
Lamarcus Joyner,FSU,18,424,23.56,--,--,0,Kickoff Return
J.C. Coleman,VT,19,410,21.58,--,--,0,Kickoff Return
Romar Morris,UNC,17,399,23.47,--,--,0,Kickoff Return
Lee Butler,DUKE,17,342,20.12,--,--,0,Kickoff Return
Karlos Williams,FSU,13,340,26.15,--,--,0,Kickoff Return
Orwin Smith,GT,14,267,19.07,--,--,0,Kickoff Return
Tim Burton,DUKE,13,260,20,--,--,0,Kickoff Return
Sammy Watkins,CLEM,13,257,19.77,--,--,0,Kickoff Return
Phillip Dorsett,MIA,11,251,22.82,--,--,0,Kickoff Return
Martavis Bryant,CLEM,10,210,21,--,--,0,Kickoff Return
Andre Ellington,CLEM,8,178,22.25,--,--,0,Kickoff Return
Deandre Martin,WF,10,177,17.7,--,--,0,Kickoff Return
Orville Reynolds,WF,11,162,14.73,--,--,0,Kickoff Return
Jela Duncan,DUKE,9,147,16.33,--,--,0,Kickoff Return
Lovell Jackson,WF,7,137,19.57,--,--,0,Kickoff Return
Desmond Scott,DUKE,7,128,18.29,--,--,0,Kickoff Return
Kenny Okoro,WF,6,114,19,--,--,0,Kickoff Return
Clifton Richardson,UVA,6,111,18.5,--,--,0,Kickoff Return
Levern Jacobs,MD,6,102,17,--,--,0,Kickoff Return
Bryce Jones,BC,4,96,24,--,--,0,Kickoff Return
Jamison Crowder,DUKE,5,90,18,--,--,0,Kickoff Return
Broderick Snoddy,GT,2,61,30.5,--,--,0,Kickoff Return
Brandon Ross,MD,3,60,20,--,--,0,Kickoff Return
C.J. Wilson,NCST,3,59,19.67,--,--,0,Kickoff Return
James McCaffrey,BC,4,55,13.75,--,--,0,Kickoff Return
Tony Zenon,GT,3,52,17.33,--,--,0,Kickoff Return
Josh Harris,WF,4,51,12.75,--,--,0,Kickoff Return
Patrick Kurunwune,DUKE,3,46,15.33,--,--,0,Kickoff Return
Donte Elliott,BC,3,44,14.67,--,--,0,Kickoff Return
Albert Reid,MD,2,42,21,--,--,0,Kickoff Return
Darius Jennings,UVA,2,41,20.5,--,--,0,Kickoff Return
Martin Scales,VT,2,41,20.5,--,--,0,Kickoff Return
Dominique Terrell,UVA,2,40,20,--,--,0,Kickoff Return
Malcolm Lewis,MIA,1,39,39,--,--,0,Kickoff Return
Jaron Brown,CLEM,2,33,16.5,--,--,0,Kickoff Return
Logan Winkles,NCST,3,29,9.67,--,--,0,Kickoff Return
Matt Porter,CLEM,1,27,27,--,--,0,Kickoff Return
Davon Johnson,MIA,1,24,24,--,--,0,Kickoff Return
E.J. Scott,UVA,2,23,11.5,--,--,0,Kickoff Return
Wes Brown,MD,1,22,22,--,--,0,Kickoff Return
Chris Milton,GT,2,18,9,--,--,0,Kickoff Return
Kevin Asante,VT,1,17,17,--,--,0,Kickoff Return
Justus Pickett,MD,1,17,17,--,--,0,Kickoff Return
Norkeithus Otis,UNC,1,15,15,--,--,0,Kickoff Return
Corey Gattis,DUKE,1,14,14,--,--,0,Kickoff Return
Conner Vernon,DUKE,1,14,14,--,--,0,Kickoff Return
Andre Lawrence,BC,1,13,13,--,--,0,Kickoff Return
Riley Beiro,VT,1,12,12,--,--,0,Kickoff Return
Adam Humphries,CLEM,1,12,12,--,--,0,Kickoff Return
Maurice Hagens,MIA,1,11,11,--,--,0,Kickoff Return
Mike James,MIA,1,11,11,--,--,0,Kickoff Return
Jake Sinkovec,BC,1,10,10,--,--,0,Kickoff Return
Steele Divitto,BC,2,10,5,--,--,0,Kickoff Return
Gionni Paul,MIA,1,9,9,--,--,0,Kickoff Return
LoVante Battle,UVA,1,8,8,--,--,0,Kickoff Return
Brandon Barnes,NCST,1,7,7,--,--,0,Kickoff Return
Chase Williams,VT,1,7,7,--,--,0,Kickoff Return
Alonzo Highsmith Jr.,MIA,1,5,5,--,--,0,Kickoff Return
Spencer Bishop,WF,1,3,3,--,--,0,Kickoff Return
Ryan Schlothauer,MD,1,3,3,--,--,0,Kickoff Return
Anthony Young-Wiseman,DUKE,1,2,2,--,--,0,Kickoff Return
Tyrek Cheeseboro,MD,1,0,0,--,--,0,Kickoff Return
Rashard Smith,NCST,1,0,0,--,--,0,Kickoff Return
