Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Rashard Smith,NCST,32,319,9.97,--,--,1,Punt Return
Rashad Greene,FSU,20,307,15.35,--,--,2,Punt Return
Spiffy Evans,BC,11,278,25.27,--,--,1,Punt Return
Giovani Bernard,UNC,16,263,16.44,--,--,2,Punt Return
Kyshoen Jarrett,VT,17,251,14.76,--,--,1,Punt Return
Jamal Golden,GT,17,248,14.59,--,--,0,Punt Return
Stefon Diggs,MD,22,221,10.05,--,--,0,Punt Return
Lee Butler,DUKE,11,187,17,--,--,1,Punt Return
Roy Smith,UNC,12,164,13.67,--,--,0,Punt Return
Lovell Jackson,WF,10,128,12.8,--,--,0,Punt Return
Tyler Hunter,FSU,8,126,15.75,--,--,1,Punt Return
Michael Holmes,VT,14,103,7.36,--,--,0,Punt Return
Kenny Shaw,FSU,8,99,12.38,--,--,0,Punt Return
Khalek Shepherd,UVA,23,89,3.87,--,--,0,Punt Return
Adam Humphries,CLEM,18,86,4.78,--,--,0,Punt Return
Phillip Dorsett,MIA,15,85,5.67,--,--,0,Punt Return
Conner Vernon,DUKE,6,80,13.33,--,--,0,Punt Return
Jamison Crowder,DUKE,5,66,13.2,--,--,0,Punt Return
Erik Highsmith,UNC,4,58,14.5,--,--,0,Punt Return
Tony Foster,DUKE,1,26,26,--,--,1,Punt Return
Michael Campanaro,WF,5,26,5.2,--,--,0,Punt Return
Gabriel Terry,MIA,1,25,25,--,--,0,Punt Return
Tony Gregory,VT,1,16,16,--,--,0,Punt Return
Willie Byrn,VT,2,14,7,--,--,0,Punt Return
Romar Morris,UNC,2,11,5.5,--,--,0,Punt Return
Sammy Watkins,CLEM,3,11,3.67,--,--,0,Punt Return
Malcolm Lewis,MIA,1,8,8,--,--,0,Punt Return
Marcus Leak,MD,1,7,7,--,--,0,Punt Return
Reggie Northrup,FSU,1,4,4,--,--,0,Punt Return
Levern Jacobs,MD,1,3,3,--,--,0,Punt Return
Bobby Swigert,BC,1,3,3,--,--,0,Punt Return
Jemea Thomas,GT,2,3,1.5,--,--,0,Punt Return
Orville Reynolds,WF,1,2,2,--,--,0,Punt Return
Jaron Brown,CLEM,2,2,1,--,--,0,Punt Return
Dexter McDougle,MD,1,1,1,--,--,0,Punt Return
Jeremy Moore,GT,1,1,1,--,--,0,Punt Return
Spenser Rositano,BC,1,1,1,--,--,0,Punt Return
Peter Mangum,UNC,1,0,0,--,--,0,Punt Return
Dyrell Roberts,VT,1,0,0,--,--,0,Punt Return
Ryan Schlothauer,MD,1,0,0,--,--,0,Punt Return
