Player,Team,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Stat Type
Dustin Hopkins,FSU,140,0,0,0,0,0,0,0,0,0,0,65/66,25/30,0,0,Scoring
Tevin Washington,GT,120,20,20,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Giovani Bernard,UNC,114,19,12,5,0,2,0,0,0,0,0,0/0,0/0,0,0,Scoring
Chandler Catanzaro,CLEM,111,0,0,0,0,0,0,0,0,0,0,57/59,18/19,0,0,Scoring
DeAndre Hopkins,CLEM,108,18,0,18,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ross Martin,DUKE,106,0,0,0,0,0,0,0,0,0,0,46/47,20/23,0,0,Scoring
Jake Wieclaw,MIA,99,0,0,0,0,0,0,0,0,0,0,42/42,19/25,0,0,Scoring
Cody Journell,VT,94,0,0,0,0,0,0,0,0,0,0,34/36,20/25,0,0,Scoring
Casey Barth,UNC,89,0,0,0,0,0,0,0,0,0,0,44/44,15/19,0,0,Scoring
Niklas Sade,NCST,83,0,0,0,0,0,0,0,0,0,0,44/46,13/23,0,0,Scoring
Nate Freese,BC,78,0,0,0,0,0,0,0,0,0,0,24/24,18/20,0,0,Scoring
Duke Johnson,MIA,78,13,10,1,2,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
James Wilder Jr.,FSU,78,13,11,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tajh Boyd,CLEM,62,10,10,0,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
A.J. Blue,UNC,60,10,9,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Bryan Underwood,NCST,60,10,0,10,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Andre Ellington,CLEM,56,9,8,1,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Brandon Connette,DUKE,54,9,8,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Rashad Greene,FSU,54,9,1,6,0,2,0,0,0,0,0,0/0,0/0,0,0,Scoring
Mike James,MIA,54,9,6,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
