Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,Stat Type
Jameis Winston,FSU,384,257,66.9,"4,057",10.6,40,10.4,10,2.6,94,27,181,184.8,Passing
Tajh Boyd,CLEM,413,283,68.5,"3,851",9.3,34,8.2,11,2.7,96t,32,203,168.7,Passing
Stephen Morris,MIA,344,198,57.6,"3,028",8.8,21,6.1,12,3.5,84t,15,133,144.7,Passing
Tom Savage,PITT,389,238,61.2,"2,958",7.6,21,5.4,9,2.3,69t,43,361,138.2,Passing
Logan Thomas,VT,402,227,56.5,"2,907",7.2,16,4,13,3.2,83,29,218,123.9,Passing
Anthony Boone,DUKE,322,206,64,"2,260",7,13,4,13,4,75,10,61,128.2,Passing
C.J. Brown,MD,282,166,58.9,"2,242",8,13,4.6,7,2.5,66t,22,160,135.9,Passing
Tanner Price,WF,378,206,54.5,"2,233",5.9,13,3.4,10,2.6,66t,22,166,110.2,Passing
David Watford,UVA,427,244,57.1,"2,202",5.2,8,1.9,15,3.5,54,19,135,99.6,Passing
Chase Rettig,BC,263,162,61.6,"1,995",7.6,17,6.5,8,3,74t,23,150,140.6,Passing
Bryn Renner,UNC,231,152,65.8,"1,765",7.6,10,4.3,5,2.2,59,16,143,139.9,Passing
Marquise Williams,UNC,217,126,58.1,"1,698",7.8,15,6.9,6,2.8,79,5,23,141.1,Passing
Pete Thomas,NCST,247,149,60.3,"1,667",6.7,4,1.6,9,3.6,80t,21,112,115.1,Passing
Terrel Hunt,SYR,273,167,61.2,"1,638",6,10,3.7,8,2.9,65t,14,77,117.8,Passing
Vad Lee,GT,180,82,45.6,"1,561",8.7,11,6.1,10,5.6,72t,10,59,127.5,Passing
Brandon Connette,DUKE,145,90,62.1,"1,212",8.4,13,9,6,4.1,75t,7,32,153.6,Passing
Brandon Mitchell,NCST,151,86,57,"1,011",6.7,7,4.6,6,4,80t,11,64,120.5,Passing
Caleb Rowe,MD,131,64,48.9,989,7.5,5,3.8,3,2.3,77,6,45,120.3,Passing
Drew Allen,SYR,122,68,55.7,666,5.5,2,1.6,9,7.4,55,4,32,92.2,Passing
Cole Stoudt,CLEM,59,47,79.7,415,7,5,8.5,0,0,44,2,4,166.7,Passing
Ryan Williams,MIA,32,22,68.8,369,11.5,3,9.4,1,3.1,54,2,14,190.3,Passing
Greyson Lambert,UVA,75,33,44,340,4.5,1,1.3,2,2.7,23t,5,52,81.1,Passing
Jacob Coker,FSU,36,18,50,250,6.9,0,0,1,2.8,42,5,40,102.8,Passing
Mark Leal,VT,29,15,51.7,155,5.3,0,0,2,6.9,27,3,25,82.8,Passing
Garrett Leatham,NCST,17,9,52.9,146,8.6,1,5.9,0,0,52t,2,17,144.5,Passing
Justin Thomas,GT,17,9,52.9,131,7.7,1,5.9,2,11.8,36,2,17,113.6,Passing
Sean Maguire,FSU,21,13,61.9,116,5.5,2,9.5,2,9.5,17t,1,7,120.7,Passing
Chad Voytik,PITT,11,6,54.5,116,10.5,0,0,0,0,62,0,0,143.1,Passing
Tyler Cameron,WF,24,7,29.2,85,3.5,0,0,3,12.5,20,1,10,33.9,Passing
Quinshad Davis,UNC,2,2,100,61,30.5,2,100,0,0,32t,0,0,686.2,Passing
Ryan Switzer,UNC,1,1,100,59,59,1,100,0,0,59t,0,0,925.6,Passing
Chad Kelly,CLEM,17,10,58.8,58,3.4,0,0,0,0,17,1,2,87.5,Passing
Gray Crow,MIA,8,6,75,55,6.9,1,12.5,1,12.5,15,0,0,149,Passing
Rashard Smith,NCST,1,1,100,49,49,1,100,0,0,49t,0,0,841.6,Passing
Michael Campanaro,WF,2,2,100,29,14.5,1,50,0,0,25,0,0,386.8,Passing
Jarrod West,SYR,1,1,100,25,25,1,100,0,0,25t,0,0,640,Passing
Charley Loeb,SYR,6,4,66.7,24,4,0,0,0,0,9,0,0,100.3,Passing
A.J. Blue,UNC,1,1,100,23,23,0,0,0,0,23,0,0,293.2,Passing
Josh Bordner,BC,4,2,50,17,4.2,0,0,0,0,15,0,0,85.7,Passing
Bryant Shirreffs,NCST,5,4,80,17,3.4,1,20,0,0,7t,0,0,174.6,Passing
Ashton Broyld,SYR,3,2,66.7,13,4.3,0,0,0,0,8,0,0,103.1,Passing
Patrick Thompson,WF,6,4,66.7,12,2,0,0,1,16.7,9,0,0,50.1,Passing
Sam Rogers,VT,1,1,100,9,9,0,0,0,0,9,0,0,175.6,Passing
Nick Schuessler,CLEM,2,1,50,6,3,0,0,0,0,6,0,0,75.2,Passing
Tim Byerly,GT,4,1,25,3,0.8,0,0,0,0,3,1,6,31.3,Passing
Will Monday,DUKE,2,2,100,2,1,0,0,0,0,6,0,0,108.4,Passing
Spencer Bishop,WF,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Kanler Coker,UNC,1,1,100,0,0,0,0,0,0,0,0,0,100,Passing
Jamison Crowder,DUKE,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Synjyn Days,GT,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Stefon Diggs,MD,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Deandre Martin,WF,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Niklas Sade,NCST,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
DeAndre Smelter,GT,1,0,0,0,0,0,0,1,100,0,0,0,-200,Passing
Josh Taylor,NCST,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Sammy Watkins,CLEM,2,0,0,0,0,0,0,1,50,0,0,0,-100,Passing
