Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Ryan Switzer,UNC,24,502,20.92,19,86t,5,Punt Return
Jamison Crowder,DUKE,25,401,16.04,18,82t,2,Punt Return
Kenny Shaw,FSU,26,251,9.65,26,26,0,Punt Return
Rashard Smith,NCST,17,240,14.12,11,73t,2,Punt Return
Stacy Coley,MIA,10,220,22,6,79t,1,Punt Return
Adam Humphries,CLEM,21,218,10.38,22,45,0,Punt Return
William Likely,MD,16,205,12.81,23,63t,1,Punt Return
Spiffy Evans,BC,13,154,11.85,11,34,0,Punt Return
Dominique Terrell,UVA,18,142,7.89,11,35,0,Punt Return
Kyshoen Jarrett,VT,26,139,5.35,2,43,0,Punt Return
Brisly Estime,SYR,4,126,31.5,0,70,0,Punt Return
DeAndre Smelter,GT,11,124,11.27,10,25,0,Punt Return
Ritchy Desir,SYR,27,111,4.11,27,23,0,Punt Return
Kevin Weatherspoon,PITT,12,98,8.17,15,56,0,Punt Return
Jesus Wilson,FSU,8,89,11.12,4,28,0,Punt Return
Tim Smith,UVA,13,80,6.15,15,45,0,Punt Return
Tyler Boyd,PITT,3,69,23,4,54t,1,Punt Return
Phillip Dorsett,MIA,9,57,6.33,3,15,0,Punt Return
Michael Campanaro,WF,11,49,4.45,7,23,0,Punt Return
T.J. Thorpe,UNC,5,42,8.4,1,20,0,Punt Return
Jared Crump,WF,5,37,7.4,7,19,0,Punt Return
Willie Byrn,VT,10,37,3.7,9,10,0,Punt Return
Bra'Lon Cherry,NCST,4,35,8.75,11,24,0,Punt Return
Daniel Rodriguez,CLEM,5,31,6.2,4,16,0,Punt Return
Dallas Crawford,MIA,4,27,6.75,0,21,0,Punt Return
Nikita Whitlock,WF,1,25,25,0,0,0,Punt Return
David Dudeck,BC,3,25,8.33,1,15,0,Punt Return
Kyle Fuller,VT,1,23,23,0,0,0,Punt Return
Chris Milton,GT,1,22,22,0,0,0,Punt Return
Josh Snead,DUKE,1,15,15,0,0,0,Punt Return
Kevin Johnson,WF,4,15,3.75,1,11,0,Punt Return
Anthony Harris,UVA,2,13,6.5,0,0,0,Punt Return
Derek DiNardo,VT,0,11,0,0,11t,1,Punt Return
Manuel Asprilla,BC,1,11,11,0,0,0,Punt Return
Darius Kelly,SYR,1,11,11,0,0,0,Punt Return
Jamal Golden,GT,3,11,3.67,4,10,0,Punt Return
Eric Crume,SYR,1,10,10,0,0,0,Punt Return
C.J. Jones,CLEM,1,9,9,0,9,0,Punt Return
Max McCaffrey,DUKE,3,7,2.33,1,7,0,Punt Return
Matt Milano,BC,0,3,0,0,3,0,Punt Return
Corey Dennis,GT,1,3,3,0,3,0,Punt Return
Lafayette Pitts,PITT,1,2,2,0,0,0,Punt Return
Herb Waters,MIA,1,1,1,0,1,0,Punt Return
Bryce Jones,BC,2,1,0.5,1,1,0,Punt Return
Tracy Howard,MIA,0,0,0,1,0,0,Punt Return
Martin Jenkins,CLEM,0,0,0,1,0,0,Punt Return
K'Waun Williams,PITT,0,0,0,1,0,0,Punt Return
Dennis Andrews,GT,1,0,0,0,0,0,Punt Return
Tre Boston,UNC,1,0,0,0,0,0,Punt Return
Corn Elder,MIA,1,0,0,0,0,0,Punt Return
Raphael Kirby,MIA,1,0,0,0,0,0,Punt Return
Sammy Watkins,CLEM,1,0,0,2,0,0,Punt Return
Stefon Diggs,MD,2,-1,-0.5,6,0,0,Punt Return
Tony Zenon,GT,2,-2,-1,4,0,0,Punt Return
Kendall Fuller,VT,7,-4,-0.57,0,2,0,Punt Return
