Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
William Likely,MD,28,729,26.04,0,51,0,Kickoff Return
Myles Willis,BC,30,709,23.63,0,98t,1,Kickoff Return
Kermit Whitfield,FSU,17,619,36.41,0,100t,2,Kickoff Return
DeVon Edwards,DUKE,19,574,30.21,0,100t,2,Kickoff Return
Stacy Coley,MIA,22,570,25.91,0,88t,1,Kickoff Return
Darius Jennings,UVA,24,522,21.75,0,37,0,Kickoff Return
T.J. Logan,UNC,19,511,26.89,0,99t,2,Kickoff Return
Demitri Knowles,VT,22,480,21.82,0,88,0,Kickoff Return
Lafayette Pitts,PITT,19,439,23.11,0,50,0,Kickoff Return
Tyler Boyd,PITT,19,425,22.37,0,40,0,Kickoff Return
T.J. Thorpe,UNC,20,424,21.2,0,45,0,Kickoff Return
Duke Johnson,MIA,14,396,28.29,0,95,0,Kickoff Return
Taquan Mizzell,UVA,21,347,16.52,0,48,0,Kickoff Return
Rashard Smith,NCST,13,310,23.85,0,49,0,Kickoff Return
George Morris III,SYR,15,294,19.6,0,35,0,Kickoff Return
Sammy Watkins,CLEM,14,293,20.93,0,33,0,Kickoff Return
Stefon Diggs,MD,12,281,23.42,0,40,0,Kickoff Return
Artie Burns,MIA,10,261,26.1,0,43,0,Kickoff Return
Sean Tapley,UNC,9,222,24.67,0,42,0,Kickoff Return
Lynn Griffin,GT,8,212,26.5,0,59,0,Kickoff Return
Johnell Barnes,DUKE,10,204,20.4,0,28,0,Kickoff Return
Jemea Thomas,GT,8,188,23.5,0,29,0,Kickoff Return
Devante McFarlane,SYR,10,184,18.4,0,24,0,Kickoff Return
Johnathan Alston,NCST,9,169,18.78,0,37,0,Kickoff Return
Corn Elder,MIA,7,164,23.43,0,39,0,Kickoff Return
Prince-Tyson Gulley,SYR,6,154,25.67,0,49,0,Kickoff Return
Bra'Lon Cherry,NCST,9,152,16.89,0,23,0,Kickoff Return
John Armstrong,WF,8,150,18.75,0,24,0,Kickoff Return
David Dudeck,BC,9,140,15.56,0,30,0,Kickoff Return
Jamal Golden,GT,5,139,27.8,0,41,0,Kickoff Return
