Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
James Conner,PITT,297,"1,799",35,"1,764",5.94,74,26,Rushing
Duke Johnson,MIA,242,"1,691",39,"1,652",6.83,90t,10,Rushing
Tyler Murphy,BC,180,"1,398",219,"1,179",6.55,71t,11,Rushing
Justin Thomas,GT,190,"1,248",162,"1,086",5.72,65,8,Rushing
Dalvin Cook,FSU,170,"1,052",44,"1,008",5.93,44t,8,Rushing
Synjyn Days,GT,157,926,2,924,5.89,69t,9,Rushing
Shadrach Thornton,NCST,164,935,28,907,5.53,58,9,Rushing
Jon Hilliman,BC,211,909,49,860,4.08,52,13,Rushing
Zach Laskey,GT,171,853,2,851,4.98,26,9,Rushing
Marquise Williams,UNC,193,"1,051",268,783,4.06,52t,13,Rushing
Wayne Gallman,CLEM,160,798,35,763,4.77,34,4,Rushing
Kevin Parks,UVA,189,781,36,745,3.94,48t,4,Rushing
Brandon Radcliff,LOU,144,751,14,737,5.12,41,12,Rushing
Karlos Williams,FSU,150,718,29,689,4.59,28,11,Rushing
Shaquille Powell,DUKE,134,622,4,618,4.61,17,2,Rushing
Prince-Tyson Gulley,SYR,128,670,60,610,4.77,65t,1,Rushing
Shaun Wilson,DUKE,78,604,6,598,7.67,69t,5,Rushing
T.J. Logan,UNC,119,599,17,582,4.89,47,3,Rushing
Matt Dayes,NCST,104,596,23,573,5.51,68t,8,Rushing
J.C. Coleman,VT,107,560,27,533,4.98,38,3,Rushing
Jacoby Brissett,NCST,124,763,232,531,4.28,60,3,Rushing
Joseph Yearby,MIA,86,520,11,509,5.92,62,1,Rushing
Michael Dyer,LOU,110,534,53,481,4.37,46t,5,Rushing
Marshawn Williams,VT,123,505,34,471,3.83,42,4,Rushing
Chad Voytik,PITT,108,635,169,466,4.31,49,3,Rushing
Myles Willis,BC,88,500,41,459,5.22,68t,2,Rushing
Charles Perkins,GT,49,454,11,443,9.04,63,0,Rushing
Chris James,PITT,87,439,2,437,5.02,18t,4,Rushing
Josh Snead,DUKE,81,417,16,401,4.95,19,3,Rushing
Dominique Brown,LOU,96,397,19,378,3.94,33,4,Rushing
Anthony Boone,DUKE,94,484,109,375,3.99,30t,5,Rushing
Sherman Alston,BC,34,368,16,352,10.35,54t,2,Rushing
Gus Edwards,MIA,61,358,9,349,5.72,40t,6,Rushing
Khalek Shepherd,UVA,84,359,11,348,4.14,28,2,Rushing
Adonis Ameen-Moore,SYR,61,356,22,334,5.48,53,1,Rushing
Terrel Hunt,SYR,51,340,33,307,6.02,36,6,Rushing
Tony Zenon,GT,45,325,32,293,6.51,57t,4,Rushing
Broderick Snoddy,GT,28,286,3,283,10.11,46,3,Rushing
Tony Creecy,NCST,52,285,3,282,5.42,44,2,Rushing
Taquan Mizzell,UVA,64,281,1,280,4.38,16,2,Rushing
Romar Morris,UNC,65,296,19,277,4.26,20,4,Rushing
C.J. Davidson,CLEM,67,286,13,273,4.07,32t,3,Rushing
Isaac Bennett,PITT,51,284,12,272,5.33,29,2,Rushing
Shai McKenzie,VT,53,279,10,269,5.08,39t,3,Rushing
Elijah Hood,UNC,67,276,12,264,3.94,23,4,Rushing
Rachid Ibrahim,PITT,33,269,6,263,7.97,50,0,Rushing
Marcus Outlow,BC,60,267,19,248,4.13,27,0,Rushing
Dezmond Wortham,WF,83,282,41,241,2.9,20,0,Rushing
Thomas Sirk,DUKE,47,241,3,238,5.06,50,8,Rushing
Deon Hill,GT,34,238,6,232,6.82,18,3,Rushing
Adam Choice,CLEM,50,233,15,218,4.36,34,1,Rushing
Tyler Rouse,BC,48,219,5,214,4.46,42t,3,Rushing
Mario Pender,FSU,41,222,16,206,5.02,56,4,Rushing
Tim Byerly,GT,45,221,17,204,4.53,37,7,Rushing
L.J. Scott,LOU,29,208,7,201,6.93,68,2,Rushing
Deshaun Watson,CLEM,63,263,63,200,3.17,17,5,Rushing
D.J. Howard,CLEM,50,208,13,195,3.9,20,3,Rushing
Ervin Philips,SYR,46,212,19,193,4.2,17,0,Rushing
Isaiah Robinson,WF,99,251,77,174,1.76,15t,3,Rushing
Orville Reynolds,WF,69,191,21,170,2.46,36,0,Rushing
Devante McFarlane,SYR,28,176,7,169,6.04,86,0,Rushing
Reggie Bonnafon,LOU,72,320,156,164,2.28,36t,5,Rushing
Tyshon Dye,CLEM,32,152,1,151,4.72,18,2,Rushing
Joseph Ajeigbe,DUKE,41,153,3,150,3.66,14,0,Rushing
Jaylen Samuels,NCST,15,145,2,143,9.53,28,1,Rushing
Sam Rogers,VT,32,146,6,140,4.38,17,0,Rushing
B.J. Bostic,GT,22,140,6,134,6.09,19,1,Rushing
Matt Connors,GT,21,113,0,113,5.38,25,2,Rushing
Matt Johns,UVA,22,139,32,107,4.86,42,1,Rushing
Dennis Andrews,GT,16,113,7,106,6.62,30,0,Rushing
DeAndre Smelter,GT,3,103,0,103,34.33,75t,1,Rushing
George Morris III,SYR,35,116,15,101,2.89,33,0,Rushing
Trey Edmunds,VT,21,97,0,97,4.62,26,0,Rushing
Joel Caleb,VT,22,98,2,96,4.36,33,0,Rushing
Bryan Underwood,NCST,11,110,14,96,8.73,75t,1,Rushing
Deon Newsome,VT,19,102,9,93,4.89,24,0,Rushing
Cole Stoudt,CLEM,69,222,131,91,1.32,18,1,Rushing
Charles Brunson,UNC,12,77,0,77,6.42,17t,2,Rushing
Daniel Hamm,UVA,17,78,3,75,4.41,9,1,Rushing
Darius Jennings,UVA,18,93,18,75,4.17,24,0,Rushing
Brenden Motley,VT,14,75,3,72,5.14,24,0,Rushing
Dakwa Nichols,NCST,11,66,0,66,6,18,0,Rushing
Cam Phillips,VT,5,65,0,65,13,29,0,Rushing
Jameis Winston,FSU,57,241,176,65,1.14,28t,3,Rushing
Tyler Boyd,PITT,12,72,9,63,5.25,19,0,Rushing
Kurt Fleming,CLEM,9,54,5,49,5.44,30,0,Rushing
Mitch Kimble,SYR,12,53,8,45,3.75,10,1,Rushing
Riley Dixon,SYR,1,42,0,42,42,42,0,Rushing
Bra'Lon Cherry,NCST,6,40,0,40,6.67,17t,2,Rushing
Miles Gooch,UVA,6,40,0,40,6.67,17,1,Rushing
Kermit Whitfield,FSU,3,40,0,40,13.33,21,0,Rushing
E.J. Scott,WF,6,47,8,39,6.5,26,1,Rushing
Ryan Green,FSU,6,31,0,31,5.17,8,0,Rushing
Stacy Coley,MIA,5,36,6,30,6,16,0,Rushing
Derek DiNardo,VT,1,30,0,30,30,30,0,Rushing
Mitch Trubisky,UNC,11,55,25,30,2.73,16,0,Rushing
Ryan Switzer,UNC,8,32,3,29,3.62,13,0,Rushing
Jordan Garside,WF,3,28,0,28,9.33,28,0,Rushing
Josh Taylor,NCST,4,28,0,28,7,12,0,Rushing
Darius Skinner,LOU,8,27,0,27,3.38,10,0,Rushing
