Player,Team,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Stat Type
James Conner,PITT,156,26,26,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Roberto Aguayo,FSU,136,0,0,0,0,0,0,0,0,0,0,55/55,27/30,0,0,Scoring
Ross Martin,DUKE,107,0,0,0,0,0,0,0,0,0,0,50/50,19/21,0,0,Scoring
Ammon Lakip,CLEM,106,0,0,0,0,0,0,0,0,0,0,43/44,21/28,0,0,Scoring
Ian Frye,UVA,100,0,0,0,0,0,0,0,0,0,0,34/35,22/27,0,0,Scoring
Chris Blewitt,PITT,98,0,0,0,0,0,0,0,0,0,0,50/51,16/21,0,0,Scoring
Harrison Butker,GT,98,0,0,0,0,0,0,0,0,0,0,65/66,18-Nov,0,0,Scoring
John Wallace,LOU,95,0,0,0,0,0,0,0,0,0,0,50/50,15/19,0,0,Scoring
Joey Slye,VT,93,0,0,0,0,0,0,0,0,0,0,33/34,20/28,0,0,Scoring
Marquise Williams,UNC,84,14,13,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Niklas Sade,NCST,82,0,0,0,0,0,0,0,0,0,0,46/48,17-Dec,0,0,Scoring
Matt Dayes,NCST,80,13,8,5,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Jon Hilliman,BC,78,13,13,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Duke Johnson,MIA,78,13,10,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Michael Badgley,MIA,76,0,0,0,0,0,0,0,0,0,0,34/38,14/18,0,0,Scoring
Brandon Radcliff,LOU,72,12,12,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Karlos Williams,FSU,72,12,11,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tyler Murphy,BC,66,11,11,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Mike Weaver,WF,64,0,0,0,0,0,0,0,0,0,0,19/19,15/19,0,0,Scoring
Synjyn Days,GT,60,10,9,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Phillip Dorsett,MIA,60,10,0,10,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Zach Laskey,GT,60,10,9,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Shadrach Thornton,NCST,60,10,9,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Bucky Hodges,VT,50,8,0,7,0,0,0,0,0,1,0,0/0,0/0,1,0,Scoring
Cole Murphy,SYR,50,0,0,0,0,0,0,0,0,0,0,12-Nov,13/16,0,0,Scoring
Nick Weiler,UNC,50,0,0,0,0,0,0,0,0,0,0,35/37,8-May,0,0,Scoring
Tyler Boyd,PITT,48,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Dalvin Cook,FSU,48,8,8,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jamison Crowder,DUKE,48,8,0,6,0,2,0,0,0,0,0,0/0,0/0,0,0,Scoring
Mack Hollins,UNC,48,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Artavis Scott,CLEM,48,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Thomas Sirk,DUKE,48,8,8,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
DeAndre Smelter,GT,48,8,1,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Justin Thomas,GT,48,8,8,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Issac Blakeney,DUKE,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tim Byerly,GT,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Rashad Greene,FSU,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Nick O'Leary,FSU,42,7,0,6,0,0,0,1,0,0,0,0/0,0/0,0,0,Scoring
Clive Walford,MIA,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Quinshad Davis,UNC,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Gus Edwards,MIA,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Isaiah Ford,VT,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Terrel Hunt,SYR,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
