Team,Rec,Yds,Avg,Lg,TD,Stat Type,,,Year,Team,Total_Receptions,Tot_Rec_Yds,Avg_Yds,Longest_Receipt,Total_TD,Stat_Type
BC,27,346,12.81,48,3,Receiving,,,2014,BC,118,1508,12.83,55,12,Receiving
BC,25,305,12.2,55,0,Receiving,,,2014,CLEM,241,2934,10.95,70,21,Receiving
BC,16,175,10.94,37,2,Receiving,,,2014,DUKE,253,"2,753",9.87,54,22,Receiving
BC,13,148,11.38,41,1,Receiving,,,2014,FSU,312,"4,002",12.39,74,24,Receiving
BC,13,149,11.46,35,1,Receiving,,,2014,GT,71,1335,18.41,71,14,Receiving
BC,13,282,21.69,49,4,Receiving,,,2014,LOU,182,2633,14.18,74,18,Receiving
BC,11,103,9.36,31,1,Receiving,,,2014,MIA,207,2909,13.35,79,25,Receiving
CLEM,76,965,12.7,70,8,Receiving,,,2014,NCST,198,2325,11.1,54,20,Receiving
CLEM,57,"1,030",18.07,56,6,Receiving,,,2014,PITT,154,"2,054",11.26,53,15,Receiving
CLEM,30,204,6.8,25,0,Receiving,,,2014,SYR,174,1972,10.49,51,5,Receiving
CLEM,27,331,12.26,74,3,Receiving,,,2014,UNC,296,3375,10.98,91,27,Receiving
CLEM,25,114,4.56,18,1,Receiving,,,2014,UVA,234,2707,11.62,54,17,Receiving
CLEM,14,161,11.5,21,1,Receiving,,,2014,VT,232,2546,10.78,50,19,Receiving
CLEM,12,129,10.75,30,2,Receiving,,,2014,WF,196,1842,7.77,36,11,Receiving
DUKE,85,"1,044",12.28,52,6,Receiving,,,,,,,,,,
DUKE,47,559,11.89,54,7,Receiving,,,,,,,,,,
DUKE,37,385,10.41,36,3,Receiving,,,,,,,,,,
DUKE,23,237,10.3,45,1,Receiving,,,,,,,,,,
DUKE,18,154,8.56,32,1,Receiving,,,,,,,,,,
DUKE,18,179,9.94,29,1,Receiving,,,,,,,,,,
DUKE,13,103,7.92,18,3,Receiving,,,,,,,,,,
DUKE,12,92,7.67,19,0,Receiving,,,,,,,,,,
FSU,99,"1,365",13.79,74,7,Receiving,,,,,,,,,,
FSU,48,619,12.9,46,6,Receiving,,,,,,,,,,
FSU,42,527,12.55,39,4,Receiving,,,,,,,,,,
FSU,38,555,14.61,68,4,Receiving,,,,,,,,,,
FSU,29,265,9.14,27,1,Receiving,,,,,,,,,,
FSU,22,203,9.23,30,0,Receiving,,,,,,,,,,
FSU,13,267,20.54,59,1,Receiving,,,,,,,,,,
FSU,11,145,13.18,29,0,Receiving,,,,,,,,,,
FSU,10,56,5.6,11,1,Receiving,,,,,,,,,,
GT,35,715,20.43,71,7,Receiving,,,,,,,,,,
GT,26,442,17,55,6,Receiving,,,,,,,,,,
GT,10,178,17.8,47,1,Receiving,,,,,,,,,,
LOU,45,525,11.67,28,3,Receiving,,,,,,,,,,
LOU,43,855,19.88,71,5,Receiving,,,,,,,,,,
LOU,36,566,15.72,74,3,Receiving,,,,,,,,,,
LOU,32,384,12,45,5,Receiving,,,,,,,,,,
LOU,26,303,11.65,52,2,Receiving,,,,,,,,,,
MIA,44,676,15.36,61,7,Receiving,,,,,,,,,,
MIA,38,421,11.08,37,3,Receiving,,,,,,,,,,
MIA,36,871,24.19,79,10,Receiving,,,,,,,,,,
MIA,25,248,9.92,48,1,Receiving,,,,,,,,,,
MIA,23,184,8,22,0,Receiving,,,,,,,,,,
MIA,21,232,11.05,33,3,Receiving,,,,,,,,,,
MIA,20,277,13.85,28,1,Receiving,,,,,,,,,,
NCST,45,616,13.69,54,1,Receiving,,,,,,,,,,
NCST,32,321,10.03,39,5,Receiving,,,,,,,,,,
NCST,27,354,13.11,49,3,Receiving,,,,,,,,,,
NCST,26,345,13.27,45,5,Receiving,,,,,,,,,,
NCST,22,257,11.68,42,1,Receiving,,,,,,,,,,
NCST,21,224,10.67,37,2,Receiving,,,,,,,,,,
NCST,15,133,8.87,18,1,Receiving,,,,,,,,,,
NCST,10,75,7.5,21,2,Receiving,,,,,,,,,,
PITT,78,"1,261",16.17,53,8,Receiving,,,,,,,,,,
PITT,21,199,9.48,22,4,Receiving,,,,,,,,,,
PITT,17,201,11.82,22,2,Receiving,,,,,,,,,,
PITT,15,195,13,39,0,Receiving,,,,,,,,,,
PITT,12,125,10.42,35,1,Receiving,,,,,,,,,,
PITT,11,73,6.64,26,0,Receiving,,,,,,,,,,
SYR,49,695,14.18,51,0,Receiving,,,,,,,,,,
SYR,27,415,15.37,46,3,Receiving,,,,,,,,,,
SYR,24,275,11.46,48,1,Receiving,,,,,,,,,,
SYR,21,107,5.1,23,0,Receiving,,,,,,,,,,
SYR,15,57,3.8,9,0,Receiving,,,,,,,,,,
SYR,15,174,11.6,24,0,Receiving,,,,,,,,,,
SYR,13,109,8.38,17,0,Receiving,,,,,,,,,,
SYR,10,140,14,38,1,Receiving,,,,,,,,,,
UNC,61,762,12.49,75,4,Receiving,,,,,,,,,,
UNC,42,455,10.83,35,2,Receiving,,,,,,,,,,
UNC,41,470,11.46,26,6,Receiving,,,,,,,,,,
UNC,35,613,17.51,91,8,Receiving,,,,,,,,,,
UNC,26,144,5.54,22,0,Receiving,,,,,,,,,,
UNC,26,257,9.88,22,3,Receiving,,,,,,,,,,
UNC,21,178,8.48,26,0,Receiving,,,,,,,,,,
UNC,16,237,14.81,43,3,Receiving,,,,,,,,,,
UNC,15,106,7.07,20,0,Receiving,,,,,,,,,,
UNC,13,153,11.77,34,1,Receiving,,,,,,,,,,
UVA,42,578,13.76,32,5,Receiving,,,,,,,,,,
UVA,39,271,6.95,54,0,Receiving,,,,,,,,,,
UVA,30,179,5.97,21,2,Receiving,,,,,,,,,,
UVA,26,403,15.5,50,1,Receiving,,,,,,,,,,
UVA,25,489,19.56,45,2,Receiving,,,,,,,,,,
UVA,17,141,8.29,16,0,Receiving,,,,,,,,,,
UVA,15,248,16.53,29,2,Receiving,,,,,,,,,,
UVA,14,185,13.21,28,2,Receiving,,,,,,,,,,
UVA,13,75,5.77,25,3,Receiving,,,,,,,,,,
UVA,13,138,10.62,22,0,Receiving,,,,,,,,,,
VT,56,709,12.66,33,6,Receiving,,,,,,,,,,
VT,47,388,8.26,44,0,Receiving,,,,,,,,,,
VT,45,526,11.69,50,7,Receiving,,,,,,,,,,
VT,40,498,12.45,36,3,Receiving,,,,,,,,,,
VT,24,195,8.12,21,2,Receiving,,,,,,,,,,
VT,20,230,11.5,26,1,Receiving,,,,,,,,,,
WF,54,531,9.83,32,5,Receiving,,,,,,,,,,
WF,50,513,10.26,36,4,Receiving,,,,,,,,,,
WF,40,401,10.03,36,0,Receiving,,,,,,,,,,
WF,32,339,10.59,28,1,Receiving,,,,,,,,,,
WF,11,28,2.55,7,0,Receiving,,,,,,,,,,
WF,9,30,3.33,6,1,Receiving,,,,,,,,,,
