Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Dalvin Cook,FSU,229,"1,749",58,"1,691",7.38,94t,19,Rushing
Wayne Gallman,CLEM,282,"1,552",38,"1,514",5.37,66t,13,Rushing
Elijah Hood,UNC,218,"1,488",25,"1,463",6.71,67,17,Rushing
Qadree Ollison,PITT,212,"1,158",37,"1,121",5.29,71t,11,Rushing
Deshaun Watson,CLEM,206,"1,215",114,"1,101",5.34,63,12,Rushing
Travon McMillian,VT,200,"1,099",56,"1,043",5.21,63,7,Rushing
Joseph Yearby,MIA,205,"1,042",40,"1,002",4.89,41t,6,Rushing
Lamar Jackson,LOU,163,"1,188",228,960,5.89,73,11,Rushing
Marquise Williams,UNC,158,"1,083",135,948,6,46,13,Rushing
Matt Dayes,NCST,134,883,18,865,6.46,85t,12,Rushing
Thomas Sirk,DUKE,163,883,74,809,4.96,73t,8,Rushing
Taquan Mizzell,UVA,164,723,59,664,4.05,36,4,Rushing
Marcus Marshall,GT,85,654,5,649,7.64,64t,4,Rushing
Brandon Radcliff,LOU,139,689,55,634,4.56,46,7,Rushing
Jordan Fredericks,SYR,107,634,27,607,5.67,75t,4,Rushing
Shaquille Powell,DUKE,124,553,15,538,4.34,30t,3,Rushing
Justin Thomas,GT,144,675,190,485,3.37,60t,6,Rushing
Jela Duncan,DUKE,68,469,10,459,6.75,52t,4,Rushing
Clinton Lynch,GT,48,474,17,457,9.52,49t,5,Rushing
Jeff Smith,BC,72,552,98,454,6.31,80t,6,Rushing
Tyler Bell,WF,129,492,41,451,3.5,33,1,Rushing
Mark Walton,MIA,129,485,35,450,3.49,27,9,Rushing
Shaun Wilson,DUKE,84,432,8,424,5.05,85t,3,Rushing
Tyler Rouse,BC,100,470,48,422,4.22,45t,7,Rushing
T.J. Logan,UNC,66,416,16,400,6.06,42t,5,Rushing
Kendall Hinton,WF,93,504,114,390,4.19,69t,7,Rushing
Patrick Skov,GT,94,380,0,380,4.04,21t,6,Rushing
Jacoby Brissett,NCST,139,615,245,370,2.66,31,6,Rushing
Jaylen Samuels,NCST,56,383,15,368,6.57,66,9,Rushing
Albert Reid,UVA,66,375,15,360,5.45,71,3,Rushing
Eric Dungey,SYR,91,459,108,351,3.86,31,5,Rushing
Tyler Boyd,PITT,40,355,6,349,8.72,37,0,Rushing
George Morris III,SYR,66,351,25,326,4.94,51,0,Rushing
Reggie Gallaspy II,NCST,66,328,6,322,4.88,35t,4,Rushing
Jacques Patrick,FSU,63,328,14,314,4.98,28t,5,Rushing
Jeremy Smith,LOU,60,286,16,270,4.5,49,3,Rushing
Olamide Zaccheaus,UVA,33,275,13,262,7.94,35,1,Rushing
Sam Rogers,VT,61,271,11,260,4.26,29,2,Rushing
Myles Willis,BC,67,285,26,259,3.87,45,0,Rushing
Chris James,PITT,55,266,14,252,4.58,48,0,Rushing
Daniel Hamm,UVA,56,254,5,249,4.45,53,1,Rushing
Matt Colburn,WF,66,255,10,245,3.71,21,1,Rushing
Nyheim Hines,NCST,48,262,19,243,5.06,38,1,Rushing
Zac Brooks,CLEM,42,246,4,242,5.76,35t,3,Rushing
Marcus Outlow,BC,53,253,12,241,4.55,32t,1,Rushing
Nathan Peterman,PITT,85,396,164,232,2.73,28,1,Rushing
Ervin Philips,SYR,40,245,13,232,5.8,31,2,Rushing
Brenden Motley,VT,88,367,143,224,2.55,22,3,Rushing
J.C. Coleman,VT,48,214,4,210,4.38,13,1,Rushing
Shadrach Thornton,NCST,30,208,5,203,6.77,39t,3,Rushing
Dakwa Nichols,NCST,43,209,8,201,4.67,19,1,Rushing
Jon Hilliman,BC,51,214,16,198,3.88,21t,2,Rushing
Trey Edmunds,VT,47,196,11,185,3.94,35,3,Rushing
Parker Boehme,DUKE,45,225,44,181,4.02,77,5,Rushing
Broderick Snoddy,GT,20,184,3,181,9.05,48,1,Rushing
Reggie Bonnafon,LOU,45,223,48,175,3.89,29,0,Rushing
C.J. Fuller,CLEM,42,172,1,171,4.07,18,1,Rushing
Isiah Willis,GT,32,182,13,169,5.28,14,1,Rushing
Darrin Hall,PITT,38,180,13,167,4.39,35t,1,Rushing
Marcus Allen,GT,35,168,2,166,4.74,17t,2,Rushing
Matthew Jordan,GT,37,196,35,161,4.35,65t,2,Rushing
Kelly Bryant,CLEM,23,172,16,156,6.78,59t,2,Rushing
