Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type
Artie Burns,MIA,6,34,5.67,19,0,26,10,36,0,0,Defense
Justin Simmons,BC,5,28,5.6,28,0,49,18,67,0,0,Defense
Cordrea Tankersley,CLEM,5,50,10,36t,1,39,9,48,1,3,Defense
Adonis Alexander,VT,4,-4,-1,0,0,37,18,55,0,0,Defense
M.J. Stewart,UNC,4,21,5.25,15,0,34,28,62,1,6,Defense
Trumaine Washington,LOU,4,57,14.25,39t,1,47,8,55,2,20,Defense
John Johnson,BC,3,0,0,0,0,44,17,61,0,0,Defense
Breon Borders,DUKE,3,6,2,3,0,40,17,57,1,2,Defense
Josh Harvey-Clemons,LOU,3,7,2.33,7,0,50,38,88,1,6,Defense
Avonte Maddox,PITT,3,30,10,30t,1,52,23,75,0.5,4,Defense
Rayshawn Jenkins,MIA,3,40,13.33,37,0,30,22,52,0,0,Defense
Chucky Williams,LOU,3,79,26.33,59,0,39,23,62,0,0,Defense
Lamarcus Brutus,FSU,3,94,31.33,57,0,46,22,68,0,0,Defense
Greg Stroman,VT,2,-2,-1,0,0,16,8,24,0,0,Defense
Niles Clark,NCST,2,0,0,0,0,19,5,24,0,0,Defense
Antwan Cordy,SYR,2,0,0,0,0,50,18,68,2,21,Defense
Hakim Jones,NCST,2,0,0,0,0,36,23,59,0,0,Defense
D.J. White,GT,2,0,0,0,0,36,5,41,0,0,Defense
B.J. Goodson,CLEM,2,1,0.5,1,0,59,49,108,5.5,42,Defense
Shakeel Rashad,UNC,2,5,2.5,5,0,82,44,126,1.5,8,Defense
Malik Simmons,UNC,2,5,2.5,5,0,26,8,34,0,0,Defense
Adrian Baker,CLEM,2,7,3.5,7,0,8,2,10,0,0,Defense
Darious Latimore,UVA,2,8,4,8,0,12,2,14,0,0,Defense
Ben Boulware,CLEM,2,15,7.5,9,0,45,36,81,3,20,Defense
Jadar Johnson,CLEM,2,16,8,9,0,14,3,17,0,0,Defense
Connor Strachan,BC,2,16,8,16t,1,48,27,75,2,19,Defense
Brad Watson,WF,2,18,9,12,0,47,25,72,1,7,Defense
Dominquie Green,UNC,2,20,10,12,0,26,15,41,0,0,Defense
Des Lawrence,UNC,2,21,10.5,21,0,43,16,59,0,0,Defense
Corey Winfield,SYR,2,24,12,24t,1,26,4,30,2,13,Defense
Terrish Webb,PITT,2,32,16,23,0,15,13,28,0,0,Defense
Jerod Fernandez,NCST,2,39,19.5,27,0,13,34,47,0.5,5,Defense
Cordell Hudson,SYR,2,40,20,22,0,34,7,41,0,0,Defense
Brant Mitchell,GT,2,46,23,32t,1,25,11,36,1,5,Defense
Corn Elder,MIA,2,47,23.5,47,0,31,10,41,2,20,Defense
Shaq Wiggins,LOU,2,52,26,36,0,19,11,30,0,0,Defense
Matt Galambos,PITT,2,53,26.5,51,0,51,37,88,5,42,Defense
Jeff Schoettmer,UNC,2,63,31.5,60,0,47,50,97,0,0,Defense
Lawrence Austin,GT,1,0,0,0,0,24,16,40,0,0,Defense
Quin Blanding,UVA,1,0,0,0,0,68,47,115,0,0,Defense
James Burgess,LOU,1,0,0,0,0,51,38,89,0,0,Defense
Deon Bush,MIA,1,0,0,0,0,33,17,50,1,8,Defense
Zavier Carmichael,DUKE,1,0,0,0,0,16,16,32,1,17,Defense
Phillip Carter,DUKE,1,0,0,0,0,14,2,16,0,0,Defense
Bradley Chubb,NCST,1,0,0,0,0,27,39,66,5,26,Defense
Chuck Clark,VT,1,0,0,0,0,65,42,107,1,8,Defense
Desmond Frye,VT,1,0,0,0,0,18,10,28,0,0,Defense
Cameron Glenn,WF,1,0,0,0,0,24,14,38,0,0,Defense
Jamal Golden,GT,1,0,0,0,0,46,18,64,0,0,Defense
Tim Harris,UVA,1,0,0,0,0,26,8,34,0,0,Defense
Sean Huelskamp,VT,1,0,0,0,0,7,6,13,1,8,Defense
Tyler Hunter,FSU,1,0,0,0,0,11,15,26,0,0,Defense
Allen Jackson,DUKE,1,0,0,0,0,0,4,4,0,0,Defense
Jaquan Johnson,MIA,1,0,0,0,0,17,9,26,0,0,Defense
Nazair Jones,UNC,1,0,0,0,0,19,21,40,0,0,Defense
Josh Jones,NCST,1,0,0,0,0,35,29,64,0.5,4,Defense
Jayron Kearse,CLEM,1,0,0,0,0,41,21,62,0,0,Defense
Corbin McCarthy,DUKE,1,0,0,0,0,8,7,15,0,0,Defense
Chris Milton,GT,1,0,0,0,0,27,1,28,0,0,Defense
George Morris III,SYR,1,0,0,0,0,4,0,4,0,0,Defense
Alonzo Saxton II,DUKE,1,0,0,0,0,24,14,38,0,0,Defense
Dee Smith,LOU,1,0,0,0,0,2,5,7,0,0,Defense
Mike Stevens,NCST,1,0,0,0,0,18,3,21,0,0,Defense
DeMarcus Walker,FSU,1,0,0,0,0,25,31,56,9,50,Defense
Marquez White,FSU,1,0,0,0,0,20,5,25,0,0,Defense
Jordan Whitehead,PITT,1,0,0,0,0,75,35,110,1.5,21,Defense
Isaac Yiadom,BC,1,0,0,0,0,15,3,18,0,0,Defense
William Harris,BC,1,1,1,1,0,17,3,20,0,0,Defense
Dwayne Norman,DUKE,1,2,2,2,0,63,51,114,1,10,Defense
Jermaine Reve,LOU,1,2,2,2,0,24,14,38,0,0,Defense
Mike Caprara,PITT,1,3,3,3,0,32,16,48,4,21,Defense
Qaadir Sheppard,SYR,1,3,3,3,0,1,0,1,0,0,Defense
Juwon Young,MIA,1,3,3,3,0,36,21,57,0,0,Defense
Chris Calhoun,WF,1,4,4,4,0,11,9,20,0,0,Defense
Javien Elliott,FSU,1,4,4,4,0,29,8,37,1,6,Defense
Germaine Pratt,NCST,1,4,4,4,0,13,17,30,0,0,Defense
Jaire Alexander,LOU,1,5,5,5,0,14,5,19,0,0,Defense
Parris Bennett,SYR,1,5,5,5,0,32,12,44,0,0,Defense
Juston Burris,NCST,1,6,6,6,0,29,9,38,0,0,Defense
Josh Sweat,FSU,1,6,6,6,0,21,20,41,2,16,Defense
Demetrius Kemp,WF,1,7,7,7,0,11,7,18,0,0,Defense
A.J. Gray,GT,1,8,8,8,0,15,6,21,0,0,Defense
Jack Tocho,NCST,1,8,8,8,0,15,5,20,0,0,Defense
Carlos Watkins,CLEM,1,15,15,15t,1,18,16,34,3.5,18,Defense
Roderick Rook-Chungong,GT,1,16,16,16,0,9,4,13,0,0,Defense
Lafayette Pitts,PITT,1,17,17,17,0,29,5,34,1,9,Defense
Hunter Williams,WF,1,17,17,17,0,32,28,60,2,13,Defense
Steven Daniels,BC,1,18,18,18,0,51,31,82,6,51,Defense
Andrew Motuapuaka,VT,1,18,18,18t,1,41,32,73,4,39,Defense
Darian Roseboro,NCST,1,20,20,20t,1,7,11,18,4,27,Defense
Zaire Franklin,SYR,1,21,21,21,0,58,22,80,3,16,Defense
DeVon Edwards,DUKE,1,24,24,24,0,51,51,102,1,2,Defense
Jeremy McDuffie,DUKE,1,25,25,25,0,12,5,17,0,0,Defense
Trevon Young,LOU,1,27,27,27,0,19,12,31,7.5,63,Defense
Andre Smith,UNC,1,28,28,28,0,24,29,53,1,11,Defense
Van Smith,CLEM,1,33,33,33,0,14,5,19,0,0,Defense
Donnie Simmons,SYR,1,41,41,41t,1,25,10,35,1,8,Defense
Sam Smiley,UNC,1,41,41,41,0,25,23,48,0,0,Defense
Jamal Carter,MIA,1,48,48,48,0,23,25,48,0,0,Defense
Mehdi Abdesmad,BC,0,0,0,0,0,35,14,49,5.5,34,Defense
