Team,Rec,Yds,Avg,Lg,TD,Stat Type,,,Year,Team,Total_Receptions,Tot_Rec_Yds,Avg_Yds,Longest_Receipt,Total_TD,Stat_Type
BC,33,413,12.52,49,4,Receiving,,,2016,BC,129,1671,12.28833333,58,12,Receiving
BC,27,395,14.63,58,3,Receiving,,,2016,CLEM,392,4745,11.45333333,65,41,Receiving
BC,26,353,13.58,24,3,Receiving,,,2016,DUKE,256,2728,10.79666667,64,18,Receiving
BC,24,325,13.54,54,1,Receiving,,,2016,FSU,234,3372,14.65625,92,22,Receiving
BC,10,99,9.9,38,0,Receiving,,,2016,GT,71,1522,21.7475,83,7,Receiving
BC,9,86,9.56,39,1,Receiving,,,2016,LOU,227,3544,14.91777778,74,31,Receiving
CLEM,99,1364,13.78,50,11,Receiving,,,2016,MIA,258,3504,12.42444444,77,26,Receiving
CLEM,75,614,8.19,28,5,Receiving,,,2016,NCST,1637,3084,13.39285714,80,17,Receiving
CLEM,48,468,9.75,36,2,Receiving,,,2016,PITT,169,2636,14.64857143,79,28,Receiving
CLEM,46,736,16,56,7,Receiving,,,2016,SYR,301,3513,10.74,84,24,Receiving
CLEM,44,495,11.25,35,6,Receiving,,,2016,UNC,288,3547,12.33875,75,29,Receiving
CLEM,38,724,19.05,65,9,Receiving,,,2016,UVA,211,2168,10.024,82,17,Receiving
CLEM,20,152,7.6,18,0,Receiving,,,2016,VT,251,3338,12.72,55,26,Receiving
CLEM,11,84,7.64,18,0,Receiving,,,2016,WF,182,2113,11.07375,62,9,Receiving
CLEM,11,108,9.82,25,1,Receiving,,,,,,,,,,
DUKE,70,742,10.6,51,1,Receiving,,,,,,,,,,
DUKE,34,301,8.85,55,3,Receiving,,,,,,,,,,
DUKE,30,269,8.97,26,3,Receiving,,,,,,,,,,
DUKE,29,315,10.86,59,1,Receiving,,,,,,,,,,
DUKE,29,398,13.72,64,2,Receiving,,,,,,,,,,
DUKE,21,235,11.19,25,2,Receiving,,,,,,,,,,
DUKE,17,157,9.24,31,2,Receiving,,,,,,,,,,
DUKE,15,187,12.47,43,2,Receiving,,,,,,,,,,
DUKE,11,124,11.27,30,2,Receiving,,,,,,,,,,
FSU,56,840,15,58,7,Receiving,,,,,,,,,,
FSU,34,395,11.62,28,1,Receiving,,,,,,,,,,
FSU,33,488,14.79,59,1,Receiving,,,,,,,,,,
FSU,30,390,13,34,1,Receiving,,,,,,,,,,
FSU,27,441,16.33,92,5,Receiving,,,,,,,,,,
FSU,25,409,16.36,39,6,Receiving,,,,,,,,,,
FSU,19,227,11.95,39,1,Receiving,,,,,,,,,,
FSU,10,182,18.2,33,0,Receiving,,,,,,,,,,
GT,26,467,17.96,42,1,Receiving,,,,,,,,,,
GT,19,382,20.11,64,0,Receiving,,,,,,,,,,
GT,16,490,30.62,83,6,Receiving,,,,,,,,,,
GT,10,183,18.3,39,0,Receiving,,,,,,,,,,
LOU,50,668,13.36,67,8,Receiving,,,,,,,,,,
LOU,45,769,17.09,72,6,Receiving,,,,,,,,,,
LOU,36,615,17.08,55,2,Receiving,,,,,,,,,,
LOU,27,599,22.19,74,6,Receiving,,,,,,,,,,
LOU,18,227,12.61,30,1,Receiving,,,,,,,,,,
LOU,18,230,12.78,38,1,Receiving,,,,,,,,,,
LOU,13,159,12.23,24,5,Receiving,,,,,,,,,,
LOU,11,191,17.36,53,1,Receiving,,,,,,,,,,
LOU,9,86,9.56,17,1,Receiving,,,,,,,,,,
MIA,63,754,11.97,55,9,Receiving,,,,,,,,,,
MIA,49,934,19.06,77,3,Receiving,,,,,,,,,,
MIA,43,698,16.23,76,8,Receiving,,,,,,,,,,
MIA,28,334,11.93,48,2,Receiving,,,,,,,,,,
MIA,27,240,8.89,30,1,Receiving,,,,,,,,,,
MIA,17,211,12.41,44,1,Receiving,,,,,,,,,,
MIA,12,178,14.83,38,2,Receiving,,,,,,,,,,
MIA,10,65,6.5,14,0,Receiving,,,,,,,,,,
MIA,9,90,10,14,0,Receiving,,,,,,,,,,
NCST,55,565,10.27,55,7,Receiving,,,,,,,,,,
NCST,43,525,12.21,56,0,Receiving,,,,,,,,,,
NCST,35,678,19.37,80,2,Receiving,,,,,,,,,,
NCST,32,267,8.34,38,0,Receiving,,,,,,,,,,
NCST,30,429,14.3,79,3,Receiving,,,,,,,,,,
NCST,27,462,17.11,68,5,Receiving,,,,,,,,,,
NCST,13,158,12.15,32,0,Receiving,,,,,,,,,,
PITT,36,870,24.17,75,10,Receiving,,,,,,,,,,
PITT,35,579,16.54,74,5,Receiving,,,,,,,,,,
PITT,26,286,11,37,1,Receiving,,,,,,,,,,
PITT,22,169,7.68,23,5,Receiving,,,,,,,,,,
PITT,21,302,14.38,55,4,Receiving,,,,,,,,,,
PITT,17,288,16.94,79,2,Receiving,,,,,,,,,,
PITT,12,142,11.83,25,1,Receiving,,,,,,,,,,
SYR,93,1483,15.95,81,14,Receiving,,,,,,,,,,
SYR,91,821,9.02,58,6,Receiving,,,,,,,,,,
SYR,48,518,10.79,84,3,Receiving,,,,,,,,,,
SYR,48,559,11.65,39,1,Receiving,,,,,,,,,,
SYR,21,132,6.29,18,0,Receiving,,,,,,,,,,
UNC,96,1112,11.58,75,6,Receiving,,,,,,,,,,
UNC,46,718,15.61,68,7,Receiving,,,,,,,,,,
UNC,43,597,13.88,46,3,Receiving,,,,,,,,,,
UNC,29,244,8.41,46,3,Receiving,,,,,,,,,,
UNC,25,142,5.68,31,0,Receiving,,,,,,,,,,
UNC,23,418,18.17,71,5,Receiving,,,,,,,,,,
UNC,17,186,10.94,34,4,Receiving,,,,,,,,,,
UNC,9,130,14.44,54,1,Receiving,,,,,,,,,,
UVA,52,404,7.77,53,2,Receiving,,,,,,,,,,
UVA,51,584,11.45,82,7,Receiving,,,,,,,,,,
UVA,50,626,12.52,44,4,Receiving,,,,,,,,,,
UVA,49,476,9.71,34,3,Receiving,,,,,,,,,,
UVA,9,78,8.67,16,1,Receiving,,,,,,,,,,
VT,79,1094,13.85,53,7,Receiving,,,,,,,,,,
VT,76,983,12.93,55,5,Receiving,,,,,,,,,,
VT,48,691,14.4,42,7,Receiving,,,,,,,,,,
VT,22,272,12.36,52,4,Receiving,,,,,,,,,,
VT,15,178,11.87,29,0,Receiving,,,,,,,,,,
VT,11,120,10.91,31,3,Receiving,,,,,,,,,,
WF,38,447,11.76,48,3,Receiving,,,,,,,,,,
WF,32,415,12.97,37,1,Receiving,,,,,,,,,,
WF,30,426,14.2,41,3,Receiving,,,,,,,,,,
WF,24,245,10.21,51,1,Receiving,,,,,,,,,,
WF,23,248,10.78,62,1,Receiving,,,,,,,,,,
WF,13,143,11,21,0,Receiving,,,,,,,,,,
WF,12,74,6.17,15,0,Receiving,,,,,,,,,,
WF,10,115,11.5,26,0,Receiving,,,,,,,,,,
