Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type
Tarvarus McFadden,FSU,7,16,2.29,15,0,16,3,19,0,0,Defense
Jadar Johnson,CLEM,5,44,8.8,41,0,41,19,60,0,0,Defense
Cordrea Tankersley,CLEM,4,22,5.5,18,0,39,13,52,0,0,Defense
Terrell Edmunds,VT,4,28,7,15,0,45,44,89,0,0,Defense
Jaire Alexander,LOU,4,37,9.25,25,0,31,8,39,0,0,Defense
Jessie Bates,WF,4,158,39.5,55t,2,70,30,100,0,0,Defense
Andrew Motuapuaka,VT,3,0,0,0,0,52,62,114,2,11,Defense
Deondre Singleton,DUKE,3,0,0,0,0,39,21,60,0,0,Defense
Greg Stroman,VT,3,0,0,0,0,7,6,13,0,0,Defense
Lawrence Austin,GT,3,3,1,3,0,31,16,47,0,0,Defense
Lance Austin,GT,3,24,8,24t,1,39,11,50,0,0,Defense
Juan Thornhill,UVA,3,32,10.67,17,0,30,15,45,1,10,Defense
Avonte Maddox,PITT,3,33,11,33t,1,39,10,49,2.5,21,Defense
Josh Jones,NCST,3,34,11.33,25,0,62,47,109,1,8,Defense
John Johnson,BC,3,47,15.67,22,0,56,21,77,1,16,Defense
Chucky Williams,LOU,3,56,18.67,36,0,49,25,74,0,0,Defense
Bryce Hall,UVA,2,-4,-2,0,0,17,8,25,0,0,Defense
Adonis Alexander,VT,2,-1,-0.5,0,0,30,12,42,0,0,Defense
Kamrin Moore,BC,2,-1,-0.5,0,0,33,10,43,0,0,Defense
Breon Borders,DUKE,2,0,0,0,0,20,7,27,0,0,Defense
Rayshawn Jenkins,MIA,2,0,0,0,0,56,20,76,1.5,6,Defense
Ryan Lewis,PITT,2,0,0,0,0,59,20,79,1,4,Defense
Jack Tocho,NCST,2,0,0,0,0,33,4,37,1,4,Defense
Rodney Williams,SYR,2,0,0,0,0,44,16,60,1,2,Defense
Brant Mitchell,GT,2,2,1,2,0,39,32,71,0,0,Defense
Mook Reynolds,VT,2,4,2,3,0,36,29,65,2,19,Defense
Brad Watson,WF,2,7,3.5,7,0,49,14,63,0,0,Defense
Marquez White,FSU,2,14,7,14,0,19,6,25,0,0,Defense
Quin Blanding,UVA,2,30,15,30,0,70,48,118,0,0,Defense
Trumaine Washington,LOU,2,31,15.5,18,0,27,3,30,0,0,Defense
Bryon Fields,DUKE,2,36,18,36t,1,24,6,30,0,0,Defense
Corey Griffin,GT,2,44,22,33,0,62,20,82,1,11,Defense
William Harris,BC,2,64,32,64,0,34,13,47,0,0,Defense
Van Smith,CLEM,2,94,47,86,0,65,31,96,0,0,Defense
Mike Smith,MIA,1,-3,-3,0,0,5,6,11,0,0,Defense
Nate Andrews,FSU,1,0,0,0,0,13,5,18,0,0,Defense
Carlos Becker III,FSU,1,0,0,0,0,2,3,5,0,0,Defense
Paris Black,WF,1,0,0,0,0,4,3,7,0,0,Defense
Ben Boulware,CLEM,1,0,0,0,0,58,58,116,4,32,Defense
Dalvin Cook,FSU,1,0,0,0,0,1,1,2,0,0,Defense
Lukas Denis,BC,1,0,0,0,0,5,2,7,0,0,Defense
Marcus Edmond,CLEM,1,0,0,0,0,16,4,20,0,0,Defense
Devonte Fields,LOU,1,0,0,0,0,24,21,45,6,66,Defense
Amari Henderson,WF,1,0,0,0,0,13,7,20,0,0,Defense
Derwin James,FSU,1,0,0,0,0,9,2,11,0,0,Defense
Ryan Janvion,WF,1,0,0,0,0,32,14,46,0,0,Defense
Kendall Joseph,CLEM,1,0,0,0,0,59,47,106,2.5,25,Defense
Marcus Lewis,FSU,1,0,0,0,0,18,3,21,0,0,Defense
Trae Meadows,NCST,1,0,0,0,0,2,2,4,0,0,Defense
Jake Pickard,SYR,1,0,0,0,0,5,7,12,1,6,Defense
Alonzo Saxton II,DUKE,1,0,0,0,0,32,21,53,1,4,Defense
Ty Schwab,BC,1,0,0,0,0,33,28,61,1,3,Defense
Anthony Shegog,VT,1,0,0,0,0,9,12,21,1.5,9,Defense
Taj-Amir Torres,BC,1,0,0,0,0,9,4,13,0,0,Defense
Terrish Webb,PITT,1,0,0,0,0,46,20,66,0,0,Defense
Kielan Whitner,SYR,1,0,0,0,0,20,15,35,0,0,Defense
Corey Winfield,SYR,1,0,0,0,0,31,10,41,1,6,Defense
Malek Young,MIA,1,0,0,0,0,17,6,23,0,0,Defense
Zykiesis Cannon,LOU,1,1,1,1,0,36,31,67,0.5,3,Defense
Duke Ejiofor,WF,1,1,1,1,0,30,20,50,10.5,93,Defense
Christopher Fredrick,SYR,1,1,1,1,0,14,7,21,0,0,Defense
Dorian O'Daniel,CLEM,1,1,1,1,0,37,17,54,2.5,15,Defense
Corn Elder,MIA,1,2,2,2,0,55,21,76,3,29,Defense
Michael Pinckney,MIA,1,2,2,2,0,33,28,61,2.5,19,Defense
Joe Giles-Harris,DUKE,1,3,3,3,0,55,52,107,4,12,Defense
Kareem Gibson,UVA,1,5,5,5,0,10,4,14,0,0,Defense
Grant Dawson,WF,1,6,6,6,0,21,14,35,0,0,Defense
Parris Bennett,SYR,1,7,7,7,0,56,54,110,0,0,Defense
Micah Kiser,UVA,1,7,7,7,0,65,68,133,6.5,41,Defense
Ermon Lane,FSU,1,7,7,7,0,26,11,37,0,0,Defense
Shaq Wiggins,LOU,1,7,7,7,0,6,2,8,0,0,Defense
Tremaine Edmunds,VT,1,9,9,9,0,56,50,106,4.5,27,Defense
Jerod Fernandez,NCST,1,11,11,11,0,29,60,89,0,0,Defense
Ben Humphreys,DUKE,1,11,11,11,0,52,55,107,4.5,33,Defense
Jaquan Johnson,MIA,1,11,11,11,0,24,14,38,1.5,5,Defense
Jalen Williams,CLEM,1,12,12,12,0,13,12,25,0,0,Defense
Zaire Franklin,SYR,1,13,13,13,0,56,45,101,2,17,Defense
K'Von Wallace,CLEM,1,13,13,13,0,3,3,6,0,0,Defense
Ryan Carter,CLEM,1,17,17,17,0,20,10,30,1,16,Defense
Matt Milano,BC,1,19,19,19t,1,42,17,59,6.5,53,Defense
Dane Jackson,PITT,1,20,20,20t,1,9,9,18,0,0,Defense
Harold Landry,BC,1,20,20,20,0,34,16,50,16.5,143,Defense
Cordell Hudson,SYR,1,22,22,22t,1,30,13,43,0,0,Defense
Stacy Thomas,LOU,1,23,23,23,0,49,36,85,1,8,Defense
Jarius Morehead,NCST,1,25,25,25,0,8,5,13,0,0,Defense
Mike Stevens,NCST,1,28,28,28t,1,24,4,28,1,7,Defense
Ronald Walker,LOU,1,31,31,31t,1,13,10,23,0,0,Defense
Niles Clark,NCST,1,32,32,32t,1,19,8,27,0,0,Defense
Cameron Glenn,WF,1,41,41,41,0,26,9,35,0,0,Defense
Mark Fields,CLEM,1,42,42,42t,1,13,1,14,1,10,Defense
Jonathan Greenard,LOU,1,42,42,42,0,8,14,22,2.5,21,Defense
Adrian Colbert,MIA,1,46,46,46,0,13,9,22,0,0,Defense
Daivon Ellison,SYR,1,50,50,50,0,57,33,90,0,0,Defense
Dominquie Green,UNC,1,58,58,58t,1,39,28,67,0,0,Defense
Jordan Whitehead,PITT,1,59,59,59t,1,46,19,65,0,0,Defense
Tanner Muse,CLEM,1,64,64,64t,1,9,10,19,0,0,Defense
Dorian Walker,GT,1,64,64,64,0,1,2,3,0,0,Defense
