Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Dalvin Cook,FSU,288,"1,845",80,"1,765",6.13,75t,19,Rushing
Lamar Jackson,LOU,260,"1,952",381,"1,571",6.04,72t,21,Rushing
Matt Dayes,NCST,249,"1,210",44,"1,166",4.68,54,10,Rushing
Wayne Gallman,CLEM,232,"1,171",38,"1,133",4.88,59t,17,Rushing
Mark Walton,MIA,209,"1,179",62,"1,117",5.34,80t,14,Rushing
James Conner,PITT,216,"1,152",60,"1,092",5.06,40,16,Rushing
Taquan Mizzell,UVA,187,994,54,940,5.03,44t,5,Rushing
Brandon Radcliff,LOU,138,940,37,903,6.54,55t,6,Rushing
Elijah Hood,UNC,145,908,50,858,5.92,62t,8,Rushing
Jerod Evans,VT,204,"1,066",220,846,4.15,55t,12,Rushing
Dedrick Mills,GT,152,781,10,771,5.07,39,12,Rushing
Travon McMillian,VT,145,717,46,671,4.63,69t,7,Rushing
T.J. Logan,UNC,120,675,25,650,5.42,35,7,Rushing
Quadree Henderson,PITT,60,681,50,631,10.52,66t,5,Rushing
Matt Colburn,WF,151,651,25,626,4.15,29,2,Rushing
Marcus Marshall,GT,96,639,15,624,6.5,67t,4,Rushing
Deshaun Watson,CLEM,164,741,117,624,3.8,33,9,Rushing
Shaun Wilson,DUKE,151,642,19,623,4.13,57,4,Rushing
Joseph Yearby,MIA,102,625,17,608,5.96,64t,7,Rushing
Justin Thomas,GT,137,802,198,604,4.41,82t,6,Rushing
Cade Carney,WF,156,603,14,589,3.78,55t,6,Rushing
Dontae Strickland,SYR,162,588,22,566,3.49,49,4,Rushing
Jon Hilliman,BC,184,604,62,542,2.95,73t,6,Rushing
John Wolford,WF,130,735,214,521,4.01,64t,6,Rushing
Daniel Jones,DUKE,141,683,197,486,3.45,29,7,Rushing
Albert Reid,UVA,98,491,11,480,4.9,28,6,Rushing
Jela Duncan,DUKE,88,458,8,450,5.11,50t,6,Rushing
Clinton Lynch,GT,37,421,6,415,11.22,45t,2,Rushing
Jeremy Smith,LOU,57,387,5,382,6.7,80t,8,Rushing
Davon Jones,BC,91,371,10,361,3.97,28,2,Rushing
Moe Neal,SYR,68,376,19,357,5.25,49t,2,Rushing
Jacques Patrick,FSU,58,361,9,352,6.07,41,4,Rushing
Mitch Trubisky,UNC,93,463,155,308,3.31,39,5,Rushing
Eric Dungey,SYR,125,473,168,305,2.44,31,6,Rushing
Myles Willis,BC,49,316,15,301,6.14,43,1,Rushing
Patrick Towles,BC,115,484,190,294,2.56,75t,4,Rushing
Gus Edwards,MIA,59,300,10,290,4.92,74t,1,Rushing
Nathan Peterman,PITT,72,381,95,286,3.97,42,3,Rushing
Qua Searcy,GT,46,316,43,273,5.93,60t,2,Rushing
Marshawn Williams,VT,59,247,3,244,4.14,19,2,Rushing
Matthew Jordan,GT,65,265,22,243,3.74,53t,6,Rushing
Reggie Gallaspy II,NCST,49,241,7,234,4.78,37t,2,Rushing
Chawntez Moss,PITT,42,232,5,227,5.4,41,1,Rushing
Tavien Feaster,CLEM,37,234,13,221,5.97,45t,2,Rushing
C.J. Fuller,CLEM,47,212,1,211,4.49,27,0,Rushing
Jeff Smith,BC,35,216,17,199,5.69,60t,1,Rushing
Deondre Francois,FSU,108,526,328,198,1.83,35t,5,Rushing
Jaylen Samuels,NCST,33,196,7,189,5.73,24,6,Rushing
Sam Rogers,VT,52,179,1,178,3.42,9,0,Rushing
Joseph Ajeigbe,DUKE,42,167,6,161,3.83,28,1,Rushing
Darrin Hall,PITT,36,167,7,160,4.44,20,0,Rushing
Adam Choice,CLEM,45,168,10,158,3.51,16,0,Rushing
J.J. Green,GT,25,158,4,154,6.16,23,1,Rushing
Jalan McClendon,NCST,35,169,24,145,4.14,20,2,Rushing
Malik Williams,LOU,19,147,2,145,7.63,50,1,Rushing
Cam Phillips,VT,30,147,7,140,4.67,20,0,Rushing
Jordan Fredericks,SYR,28,148,9,139,4.96,29,0,Rushing
Richard Wilson,BC,40,142,6,136,3.4,19,2,Rushing
Qadree Ollison,PITT,33,138,11,127,3.85,19,2,Rushing
Kendall Hinton,WF,25,142,17,125,5,32,2,Rushing
Brenden Motley,VT,20,126,2,124,6.2,26t,2,Rushing
Maurice Ffrench,PITT,12,127,5,122,10.17,77t,2,Rushing
Tyshon Dye,CLEM,21,112,3,109,5.19,17,1,Rushing
Chuck Clark,VT,15,105,0,105,7,32t,2,Rushing
Dakwa Nichols,NCST,19,100,2,98,5.16,11,1,Rushing
Jordan Whitehead,PITT,9,98,0,98,10.89,28,0,Rushing
Tyler Bell,WF,20,97,0,97,4.85,15t,1,Rushing
