Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,Stat Type
Lamar Jackson,LOU,430,254,59.1,"3,660",8.5,27,6.3,10,2.3,78,28,159,146.6,Passing
Ryan Finley,NCST,478,311,65.1,"3,514",7.4,17,3.6,6,1.3,79,13,79,136,Passing
Kurt Benkert,UVA,509,298,58.5,"3,207",6.3,25,4.9,9,1.8,81t,31,194,124.1,Passing
John Wolford,WF,374,239,63.9,"3,192",8.5,29,7.8,6,1.6,52t,14,84,158,Passing
Malik Rosier,MIA,414,223,53.9,"3,111",7.5,26,6.3,14,3.4,78t,27,139,130.9,Passing
Josh Jackson,VT,396,236,59.6,"2,991",7.6,20,5.1,9,2.3,70t,22,142,135.2,Passing
Kelly Bryant,CLEM,398,262,65.8,"2,802",7,13,3.3,8,2,79t,26,175,131.7,Passing
Daniel Jones,DUKE,453,257,56.7,"2,691",5.9,14,3.1,11,2.4,58t,28,198,112,Passing
Eric Dungey,SYR,378,225,59.5,"2,495",6.6,14,3.7,9,2.4,66t,26,154,122.4,Passing
James Blackman,FSU,297,173,58.2,"2,230",7.5,19,6.4,11,3.7,60t,29,195,135,Passing
Chazz Surratt,UNC,183,107,58.5,"1,340",7.3,8,4.4,3,1.6,54,14,109,131.1,Passing
Anthony Brown,BC,228,120,52.6,"1,234",5.4,11,4.8,8,3.5,76t,5,34,107,Passing
Ben DiNucci,PITT,158,88,55.7,"1,091",6.9,5,3.2,5,3.2,74,14,108,117.8,Passing
Max Browne,PITT,135,96,71.1,997,7.4,5,3.7,2,1.5,55t,12,99,142.4,Passing
TaQuon Marshall,GT,116,43,37.1,927,8,10,8.6,5,4.3,80t,19,103,124,Passing
Nathan Elliott,UNC,146,75,51.4,925,6.3,10,6.8,5,3.4,51t,10,64,120.3,Passing
Darius Wade,BC,102,62,60.8,736,7.2,3,2.9,3,2.9,48,8,52,125.2,Passing
Rex Culpepper,SYR,75,45,60,518,6.9,2,2.7,3,4,44,3,23,118.8,Passing
Kenny Pickett,PITT,66,39,59.1,509,7.7,1,1.5,1,1.5,74,5,14,125.8,Passing
Zack Mahoney,SYR,89,46,51.7,471,5.3,3,3.4,4,4.5,36,2,8,98.3,Passing
Kendall Hinton,WF,47,27,57.4,399,8.5,4,8.5,0,0,43,5,25,156.8,Passing
Brandon Harris,UNC,71,35,49.3,346,4.9,1,1.4,8,11.3,27,7,67,72.3,Passing
Zerrick Cooper,CLEM,41,25,61,256,6.2,2,4.9,0,0,39,3,18,129.5,Passing
Jawon Pass,LOU,33,23,69.7,238,7.2,2,6.1,0,0,31,4,21,150.3,Passing
Hunter Johnson,CLEM,27,21,77.8,234,8.7,2,7.4,1,3.7,78t,1,8,167.6,Passing
Deondre Francois,FSU,33,19,57.6,210,6.4,1,3,2,6.1,38,3,20,108.9,Passing
Connor Strachan,BC,30,14,46.7,133,4.4,0,0,1,3.3,37,1,6,77.2,Passing
A.J. Bush,VT,11,7,63.6,99,9,1,9.1,0,0,20,0,0,169.2,Passing
Anthony Ratliff-Williams,UNC,4,3,75,86,21.5,2,50,0,0,35t,0,0,420.6,Passing
Quentin Harris,DUKE,10,7,70,73,7.3,1,10,0,0,17,1,5,164.3,Passing
