Team,Rec,Yds,Avg,Lg,TD,Stat Type,,,Year,Team,Total_Receptions,Tot_Rec_Yds,Avg_Yds,Longest_Receipt,Total_TD
BC,36,512,14.22,48,4,Receiving,,,2017,BC,182,1993,10.46,76,13
BC,34,423,12.44,76,2,Receiving,,,2017,CLEM,255,2869,11.33,79,14
BC,25,296,11.84,33,0,Receiving,,,2017,DUKE,234,2552,11.04,58,14
BC,24,155,6.46,29,2,Receiving,,,2017,FSU,164,2034,11.77,60,18
BC,19,168,8.84,46,1,Receiving,,,2017,GT,25,545,21.8,80,6
BC,15,152,10.13,21,1,Receiving,,,2017,LOU,227,2369,13.17,79,14
BC,15,153,10.2,46,1,Receiving,,,2017,MIA,190,2717,14.98,78,26
BC,14,134,9.57,22,2,Receiving,,,2017,NCST,296,3143,10.33,79,16
CLEM,60,602,10.03,61,3,Receiving,,,2017,PITT,214,2509,10.92,74,10
CLEM,58,734,12.66,61,6,Receiving,,,2017,SYR,286,"3,153",10.67,66,19
CLEM,46,471,10.24,79,1,Receiving,,,2017,UNC,176,2126,11.63,54,16
CLEM,19,123,6.47,16,0,Receiving,,,2017,UVA,284,3098,10.6,81,24
CLEM,18,210,11.67,44,1,Receiving,,,2017,VT,187,2364,12.65,70,17
CLEM,17,345,20.29,78t,2,Receiving,,,2017,WF,245,3341,13.02,52,32
CLEM,14,178,12.71,33,0,Receiving,,,,,,,,,
CLEM,12,112,9.33,60,1,Receiving,,,,,,,,,
CLEM,11,94,8.55,16,0,Receiving,,,,,,,,,
DUKE,65,795,12.23,57,2,Receiving,,,,,,,,,
DUKE,39,367,9.41,41,1,Receiving,,,,,,,,,
DUKE,36,263,7.31,58,4,Receiving,,,,,,,,,
DUKE,25,332,13.28,52,1,Receiving,,,,,,,,,
DUKE,22,261,11.86,33,2,Receiving,,,,,,,,,
DUKE,17,154,9.06,28,3,Receiving,,,,,,,,,
DUKE,16,219,13.69,54,1,Receiving,,,,,,,,,
DUKE,14,161,11.5,40,0,Receiving,,,,,,,,,
FSU,40,548,13.7,51,10,Receiving,,,,,,,,,
FSU,40,604,15.1,51,4,Receiving,,,,,,,,,
FSU,28,289,10.32,43,0,Receiving,,,,,,,,,
