Team,Rec,Yds,Avg,Lg,TD,Stat Type,,Year,Team,Total_Receptions,Tot_Rec_Yds,Avg_Yds,Longest_Receipt,Total_TD
BC,32,0,10.88,37,3,Receiving,,2018,BC,158,1762,13.19,71,18
BC,32,510,15.94,42,3,Receiving,,2018,CLEM,294,3898,11.72,74,34
BC,21,403,19.19,71,6,Receiving,,2018,DUKE,243,2707,10.89,74,28
BC,19,160,8.42,31,0,Receiving,,2018,FSU,243,3030,11.69,78,20
BC,17,218,12.82,46,0,Receiving,,2018,GT,26,454,17.39,37,3
BC,13,158,12.15,34,1,Receiving,,2018,LOU,181,2354,12.09,53,8
BC,12,143,11.92,38,1,Receiving,,2018,MIA,151,1889,11.39,67,16
BC,12,170,14.17,40,4,Receiving,,2018,NCST,300,"3,701",12.16,74,21
CLEM,59,936,15.86,64,12,Receiving,,2018,PITT,138,1652,10.37,78,12
CLEM,54,570,10.56,68,4,Receiving,,2018,SYR,224,2891,11.14,74,22
CLEM,49,544,11.1,40,1,Receiving,,2018,UNC,256,3203,10.38,85,26
CLEM,46,"1,000",21.74,74,9,Receiving,,2018,UVA,109,"1,699",12.41,74,15
CLEM,21,189,9,21,1,Receiving,,2018,VT,229,3098,12.79,72,27
CLEM,15,210,14,38,0,Receiving,,2018,WF,191,"2,074",10.23,38,20
CLEM,14,199,14.21,61,3,Receiving,,,,,,,,
CLEM,13,101,7.77,20,2,Receiving,,,,,,,,
CLEM,12,78,6.5,24,2,Receiving,,,,,,,,
CLEM,11,71,6.45,26,0,Receiving,,,,,,,,
DUKE,75,811,10.81,85,8,Receiving,,,,,,,,
DUKE,51,604,11.84,68,5,Receiving,,,,,,,,
DUKE,31,419,13.52,52,3,Receiving,,,,,,,,
DUKE,26,253,9.73,74,2,Receiving,,,,,,,,
DUKE,26,271,10.42,37,2,Receiving,,,,,,,,
DUKE,20,234,11.7,26,1,Receiving,,,,,,,,
DUKE,14,115,8.21,22,7,Receiving,,,,,,,,
FSU,54,744,13.78,58,3,Receiving,,,,,,,,
FSU,42,382,9.1,31,1,Receiving,,,,,,,,
FSU,35,744,21.26,78,8,Receiving,,,,,,,,
FSU,26,256,9.85,32,2,Receiving,,,,,,,,
FSU,26,415,15.96,49,1,Receiving,,,,,,,,
FSU,23,145,6.3,25,2,Receiving,,,,,,,,
FSU,16,102,6.38,20,1,Receiving,,,,,,,,
FSU,11,176,16,73,1,Receiving,,,,,,,,
FSU,10,66,6.6,21,1,Receiving,,,,,,,,
GT,15,268,17.87,37,3,Receiving,,,,,,,,
GT,11,186,16.91,37,0,Receiving,,,,,,,,
LOU,36,550,15.28,42,1,Receiving,,,,,,,,
LOU,31,422,13.61,43,3,Receiving,,,,,,,,
LOU,25,329,13.16,47,1,Receiving,,,,,,,,
LOU,24,406,16.92,53,2,Receiving,,,,,,,,
LOU,22,224,10.18,25,1,Receiving,,,,,,,,
LOU,21,250,11.9,37,0,Receiving,,,,,,,,
LOU,12,99,8.25,15,0,Receiving,,,,,,,,
LOU,10,74,7.4,27,0,Receiving,,,,,,,,
MIA,35,563,16.09,67,3,Receiving,,,,,,,,
MIA,32,287,8.97,41,4,Receiving,,,,,,,,
MIA,21,240,11.43,42,0,Receiving,,,,,,,,
MIA,21,374,17.81,36,6,Receiving,,,,,,,,
MIA,19,186,9.79,24,0,Receiving,,,,,,,,
MIA,13,154,11.85,38,3,Receiving,,,,,,,,
MIA,10,85,8.5,26,0,Receiving,,,,,,,,
NCST,92,"1,047",11.38,39,4,Receiving,,,,,,,,
NCST,81,"1,186",14.64,74,7,Receiving,,,,,,,,
NCST,53,616,11.62,67,5,Receiving,,,,,,,,
NCST,34,383,11.26,29,3,Receiving,,,,,,,,
NCST,28,315,11.25,37,2,Receiving,,,,,,,,
NCST,12,154,12.83,32,0,Receiving,,,,,,,,
PITT,37,380,10.27,68,4,Receiving,,,,,,,,
PITT,35,515,14.71,78,6,Receiving,,,,,,,,
PITT,25,557,22.28,63,1,Receiving,,,,,,,,
PITT,15,66,4.4,24,0,Receiving,,,,,,,,
PITT,15,68,4.53,14,1,Receiving,,,,,,,,
PITT,11,66,6,16,0,Receiving,,,,,,,,
SYR,64,756,11.81,75,3,Receiving,,,,254,3245,11.14,82,19
SYR,51,906,17.76,68,6,Receiving,,,,,,,,
SYR,41,565,13.78,82,4,Receiving,,,,,,,,
SYR,40,565,14.12,51,3,Receiving,,,,,,,,
SYR,16,105,6.56,22,3,Receiving,,,,,,,,
SYR,15,94,6.27,29,0,Receiving,,,,,,,,
