Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Amari Rodgers,CLEM,39,299,7.67,34,62,1,Punt Return
Dazz Newsome,UNC,19,286,15.05,16,75t,1,Punt Return
Greg Dortch,WF,25,276,11.04,15,70t,2,Punt Return
Michael Walker,BC,20,274,13.7,21,74t,1,Punt Return
Sean Riley,SYR,16,262,16.38,22,69t,1,Punt Return
D.J. Matthews,FSU,19,257,13.53,20,74t,1,Punt Return
Jeff Thomas,MIA,9,221,24.56,10,51t,1,Punt Return
Rodjay Burns,LOU,13,197,15.15,7,55t,1,Punt Return
DeeJay Dallas,MIA,11,191,17.36,19,65t,1,Punt Return
Rafael Araujo-Lopes,PITT,19,159,8.37,18,86t,1,Punt Return
T.J. Rahming,DUKE,25,146,5.84,16,32,0,Punt Return
Tavares Kelly,UVA,13,143,11,1,43,0,Punt Return
Thayer Thomas,NCST,15,140,9.33,21,40,0,Punt Return
Damon Hazelton,VT,14,75,5.36,9,18,0,Punt Return
Chuck Davis,UVA,19,73,3.84,8,27,0,Punt Return
Antwan Cordy,SYR,6,63,10.5,7,34,0,Punt Return
C.J. Carroll,VT,8,54,6.75,4,20,0,Punt Return
Alex Bachman,WF,5,49,9.8,6,32,0,Punt Return
Brad Stewart,GT,7,47,6.71,12,15,0,Punt Return
Juanyeh Thomas,GT,5,43,8.6,3,25,0,Punt Return
Demetrius Kemp,WF,1,36,36,0,0,0,Punt Return
Billy Kemp,UVA,3,31,10.33,2,11,0,Punt Return
Tre Turner,VT,1,23,23,0,0,0,Punt Return
Mike Palmer,BC,1,22,22,0,0,0,Punt Return
Trill Williams,SYR,1,21,21,0,19,1,Punt Return
Nolan Borgersen,BC,1,20,20,0,0,0,Punt Return
Nesta Jade Silvera,MIA,1,15,15,0,0,0,Punt Return
Jake Bobo,DUKE,3,14,4.67,4,7,0,Punt Return
Chris Cunningham,VT,1,11,11,0,0,0,Punt Return
Scott Patchan,MIA,0,10,0,0,10t,1,Punt Return
Nykeim Johnson,SYR,1,10,10,3,10,0,Punt Return
Jason Maitre,BC,1,6,6,1,6,0,Punt Return
Bryce Watts,VT,2,4,2,1,6,0,Punt Return
Eric Kumah,VT,0,3,0,0,3t,1,Punt Return
Sean Savoy,VT,1,3,3,0,3,0,Punt Return
Hezekiah Grimsley,VT,1,2,2,0,2,0,Punt Return
Nate Cottrell,GT,1,1,1,0,1,0,Punt Return
Will Swinney,CLEM,3,1,0.33,1,3,0,Punt Return
Dez Fitzpatrick,LOU,0,0,0,3,0,0,Punt Return
Paris Ford,PITT,0,0,0,1,0,0,Punt Return
Jaquan Johnson,MIA,0,0,0,1,0,0,Punt Return
Jakobi Meyers,NCST,0,0,0,2,0,0,Punt Return
Mark Pope,MIA,0,0,0,1,0,0,Punt Return
Germaine Pratt,NCST,0,0,0,1,0,0,Punt Return
Hunter Renfrow,CLEM,0,0,0,1,0,0,Punt Return
Waynmon Steed,MIA,0,0,0,1,0,0,Punt Return
Darrius Bratton,UVA,1,0,0,0,0,0,Punt Return
Patrice Rene,UNC,1,0,0,0,0,0,Punt Return
Asante Samuel Jr.,FSU,1,0,0,0,0,0,Punt Return
Sage Surratt,WF,1,0,0,1,0,0,Punt Return
Maurice Ffrench,PITT,1,-2,-2,0,0,0,Punt Return
