Year,Team,Rec_Rec,Rec_Yds,Rec_Avg,Rec_Lg,Rec_TD,Def_Int,Def_Yds,Def_Avg,Def_Lg,Def_TD,Def_Solo,Def_Ast,Def_Tot,Def_Sack,Def_YdsL,Kick_PAT_Comp,Kick_PAT_Att,Kick_FG_Comp,Kick_FG_Att,Kick_0-19_Comp,Kick_0-19_Att,Kick_20-29_Comp,Kick_20-29_Att,Kick_30-39_Comp,Kick_30-39_Att,Kick_40-49_Comp,Kick_40-49_Att,Kick_50+_Comp,Kick_50+_Att,Kick_Lg,Kick_Pts,KReturn_Num,KReturn_Yds,KReturn_Avg,KReturn_FC,KReturn_Lg,KReturn_TD,Kickoff_Num,Kickoff_Yds,Kickoff_Avg,Kickoff_Lg,Kickoff_TB,Kickoff_OB,Kickoff_Ret,Kickoff_RYds,Kickoff_TD,Pass_Att,Pass_Cmp,Pass_Pct,Pass_Yds,Pass_YPA,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_Lg,Pass_Sack,Pass_Loss,Pass_Rate,PReturn_Num,PReturn_Yds,PReturn_Avg,PReturn_FC,PReturn_Lg,PReturn_TD,Rush_Att,Rush_Gain,Rush_Loss,Rush_Yds,Rush_Avg,Rush_Lg,Rush_TD,Scor_Pts,Scor_Tot,Scor_R,Scor_P,Scor_KR,Scor_PR,Scor_IR,Scor_FR,Scor_BK,Scor_BP,Scor_FGR,Scor_PAT_Comp,Scor_PAT_Att,Scor_FG_Comp,Scor_FG_Att,Scor_Conv,Scor_Saf,Punt_Punts,Punt_Yds,Punt_Avg,Punt_Lg,Punt_TB,Punt_In20,Punt_Blk,Punt_Net,Punt_Ret,Punt_RYds,Wins,Losses
2018,BC,158,2110,13.35,71,18,18,331,18.39,81,2,226,176,402,10,65,46,50,6,9,0,0,4,5,2,3,0,1,0,0,38,64,47,1117,23.77,1,60,0,68,4155,61.1,65,14,5,43,907,0,337,195,57.86,2583,7.66,25,7.42,9,2.67,71,23,137,203.28,23,322,14,22,74,1,504,2539,229,2310,4.58,74,20,256,35,19,14,0,0,0,0,0,2,0,29,29,5,8,1,0,69,2774,40.2,54,2,25,1,35.9,28,223,7,5
2018,CLEM,294,3898,13.26,74,34,12,328,27.33,46,2,285,172,457,11,69,88,90,12,18,0,0,4,4,5,8,3,6,0,0,49,124,20,454,22.7,4,43,0,117,7386,63.13,71,81,0,32,657,1,506,327,64.62,4180,8.26,37,7.31,8,1.58,74,18,122,86.45,42,300,7.14,36,62,1,547,3914,220,3694,6.75,75,45,547,73,42,30,0,1,0,0,0,0,0,76,78,11,16,0,0,64,2541,39.7,63,4,19,0,36.6,16,121,15,0
2018,DUKE,243,2707,11.14,85,28,4,76,19,53,1,130,56,186,2,13,49,51,9,13,0,0,3,4,6,6,0,3,0,0,35,76,37,720,19.46,1,46,0,72,4150,57.64,65,18,2,43,845,0,474,278,58.65,3199,6.75,31,6.54,10,2.11,85,30,184,237.86,28,160,5.71,20,32,0,454,2275,252,2023,4.46,75,19,322,41,18,23,0,0,0,0,0,0,0,49,51,9,13,0,0,67,2772,41.37,57,4,23,0,37.5,24,178,8,5
2018,FSU,243,3030,12.47,78,20,12,125,10.42,63,1,220,132,352,3.5,20,30,31,11,17,0,0,2,2,3,5,4,8,2,2,53,63,33,648,19.64,3,35,0,53,3275,61.79,71,37,2,12,305,0,451,260,57.65,3241,7.19,20,4.43,13,2.88,78,36,237,59.76,20,257,12.85,20,74,1,279,1241,111,1130,4.05,85,8,197,22,9,13,0,0,0,0,0,0,0,30,31,11,17,1,0,82,3545,43.23,61,5,14,1,37.1,33,364,5,7
2018,GT,26,454,17.46,37,3,11,231,21,95,2,199,139,338,6,44,53,55,10,13,0,0,4,4,2,2,4,5,0,2,48,83,28,689,24.61,6,100,2,78,4643,59.53,70,20,1,48,1261,2,126,56,44.44,1089,8.64,7,5.56,4,3.17,86,16,90,192.9,13,91,7,15,25,0,724,4402,251,4151,5.73,65,46,352,47,44,3,0,0,0,0,0,0,0,39,39,9,9,2,0,35,1447,41.34,62,2,14,0,38.5,10,60,7,6
2018,LOU,181,2354,13.01,53,8,6,81,13.5,34,0,107,59,166,0.5,1,27,30,10,12,0,0,4,4,3,4,3,3,0,1,46,57,44,997,22.66,5,93,1,51,2981,58.45,74,11,1,33,685,1,394,210,53.3,2533,6.43,10,2.54,15,3.81,53,43,244,69.04,13,197,15.15,10,55,1,389,2047,343,1704,4.38,75,17,153,16,12,3,1,0,0,0,0,0,0,27,30,10,12,0,0,69,2798,40.55,64,2,19,0,36.5,25,239,2,10
2018,MIA,151,1889,12.51,67,16,16,230,14.38,83,2,226,214,440,21.5,138,47,48,9,12,0,0,2,3,6,6,1,3,0,0,47,74,29,673,23.21,0,53,0,71,4356,61.35,65,42,4,24,540,0,354,182,51.41,2175,6.14,19,5.37,14,3.95,67,26,180,82.68,21,437,20.81,32,65,3,460,2705,249,2456,5.34,83,23,294,37,18,17,0,2,0,0,0,0,0,45,46,9,12,0,0,34,1282,37.71,53,0,11,0,32.9,13,163,7,6
2018,NCST,300,3701,12.34,74,21,10,113,11.3,57,1,176,140,316,7,35,51,51,23,26,0,1,15,15,5,6,3,4,0,0,49,120,20,411,20.55,5,47,0,84,4874,58.02,67,23,0,46,950,0,496,334,67.34,4071,8.21,25,5.04,11,2.22,74,12,85,153,15,140,9.33,24,40,0,403,1918,124,1794,4.45,86,24,368,41,23,18,0,0,0,0,0,0,0,51,51,23,26,1,0,49,2076,42.37,72,4,22,0,38.9,15,88,9,4
2018,PITT,138,1652,11.97,78,12,9,148,16.44,79,0,139,63,202,2,13,40,43,13,17,0,0,3,3,2,4,4,5,4,5,55,79,26,634,24.38,9,99,2,73,4549,62.32,65,44,2,26,532,0,315,182,57.78,1985,6.3,12,3.81,6,1.9,78,32,240,95.6,20,157,7.85,19,86,1,551,3534,362,3172,5.76,97,28,297,36,23,10,2,1,0,0,0,0,0,40,42,13,17,1,0,74,3067,41.45,73,4,19,0,37.4,31,222,7,7
2018,SYR,254,3245,12.78,82,19,18,93,5.17,39,0,264,138,402,6.5,37,61,61,30,34,1,1,10,11,12,12,4,7,3,3,54,151,29,560,19.31,7,43,0,101,6085,60.25,65,61,2,22,403,0,461,271,58.79,3441,7.46,22,4.77,12,2.6,82,37,243,149.94,24,356,14.83,32,69,2,532,2799,238,2561,4.81,68,33,451,50,33,16,0,1,0,0,0,0,0,61,61,30,34,0,0,67,2874,42.9,58,4,26,0,39.3,16,158,10,3
