Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,,,,,,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Parameters: year=2011-2023; GHGs=ALL; data type=All Direct Emitters; ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021","TOTAL REPORTED EMISSIONS, 2022","TOTAL REPORTED EMISSIONS, 2023",CHANGE IN EMISSIONS (2022 TO 2023),CHANGE IN EMISSIONS (2011 TO 2023),SECTORS,
#540 BONANZA CREEK ENERGY - DENVER BASIN,1000355,555 17th St. Suite 3700,39.74431,-104.98858,Denver,Denver,CO,80202,CIVITAS RESOURCES INC (100%),W,"17,728","151,519","163,014","243,117","354,851",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
(430) Civitas Resources - Permian Basin,1014785,555 17th St. Suite 3700,39.74522001,-104.989197,Denver,Denver,CO,80202,CIVITAS RESOURCES INC (100%),W,0,0,0,0,0,0,0,0,0,0,0,0,"844,548",0,0,Petroleum and Natural Gas Systems,
(540) Civitas Resources - Denver Basin,1000355,555 17th St. Suite 3700,39.74431,-104.98858,Denver,Denver,CO,80202,CIVITAS RESOURCES INC (100%),W,0,0,0,0,0,"261,383","242,959","273,070","308,515","390,783","361,264","1,171,209","887,487","283,722",0,Petroleum and Natural Gas Systems,
(540) Civitas Resources - GB - Denver Basin,1014558,555 17th St. Suite 3700,39.74582152,-104.9892427,Denver,Denver,CO,80202,CIVITAS RESOURCES INC (100%),W,0,0,0,0,0,0,0,0,0,0,0,"79,593","110,747","31,153",0,Petroleum and Natural Gas Systems,
121 REGIONAL DISPOSAL FACILITY,1004377,3820 SAM RAYBURN HIGHWAY,33.29857,-96.53586,MELISSA,COLLIN COUNTY,TX,75454,NORTH TEXAS MUNICIPAL WATER DISTRICT (100%),HH,"194,000","204,000","289,953","241,884","199,012","221,015","250,498","653,854","518,680","504,064","314,494","325,416","288,302","37,115","94,302",Waste,
15-18565/15-18662,1010040,1021 Tori Drive,37.274127,-83.239034,Hazard,PERRY COUNTY,KY,40701,CAMBRIAN COAL LLC (100%),FF,"390,394","348,451","306,681","225,708","118,205","141,440","218,699","125,982",0,"144,098","112,349","51,539","122,327","70,788","268,067",Other,
15-19015,1010085,1845 S. KY HWY 15,37.236617,-83.18126,Hazard,PERRY COUNTY,KY,41701,CAMBRIAN COAL LLC (100%),,"64,665","41,513","57,767","68,761","55,873","35,907","70,265","93,919",0,0,0,0,0,0,0,Other,
1500 South Tibbs LLC d/b/a Aurorium Indianapolis LLC,1001155,1500 South Tibbs Avenue,39.73,-86.26,Indianapolis,MARION COUNTY,IN,46242,VERTELLUS HOLDINGS LLC (100%),C,0,0,0,0,0,0,0,"72,164","63,624","65,868","64,820",0,"64,807",0,0,Chemicals,
17Z Gas Plant - Chevron USA Inc.,1012147,22845 Highway 33,35.3181871,-119.6338842,McKittrick,,CA,93251,CHEVRON CORP (100%),,0,0,0,0,0,"10,208","9,299","3,564",0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
1876 CO DJ Basin,1014874,"1290 Broadway, Ste 1650",39.73652198,-104.98676,Denver,,CO,80203,"1876 Resources, LLC (100%)",W,0,0,0,0,0,0,0,0,0,0,0,0,"27,277",0,0,Petroleum and Natural Gas Systems,
"1876 Resources, LLC - Denver Basin",1013369,"1290 Broadway, Ste 1650",39.73652198,-104.98676,Denver,,CO,80203,CUB CREEK ENERGY LLC (100%),W,0,0,0,0,0,0,0,"46,110","42,998","41,833","45,789","58,106","27,277","30,829",0,Petroleum and Natural Gas Systems,
220 Gulf Coast,1009263,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,CHAPARRAL ENERGY INC (100%),,"84,923","30,757","26,409","3,803","4,448","3,182",0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
220 Gulf Coast Basin,1012507,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),W,0,0,0,0,0,"44,304","94,791","118,833","108,171","103,393","52,328","228,166","286,498","58,332",0,Petroleum and Natural Gas Systems,
