month,month_open,month_close,month_avg_price,month_price_std,month_avg_volume,monthly_return,volatility
2008-01,26.01,25.08,25.88,0.9,5590328.57,-3.58,3.48
2008-02,25.2,24.41,24.89,0.22,3024850,-3.13,0.88
2008-03,24.4,23.3,23.5,0.47,3775715,-4.51,2
2008-04,23.68,23.53,23.61,0.17,2231790.91,-0.63,0.72
2008-05,23.95,23.98,23.72,0.18,1617957.14,0.13,0.76
2008-06,23.7,22.97,23.11,0.45,2183409.52,-3.08,1.95
2008-07,22.97,24,23.51,0.39,4620363.64,4.48,1.66
2008-08,23.82,24.49,24.76,0.35,3750709.52,2.81,1.41
2008-09,24.45,22.67,23.65,0.6,6115714.29,-7.28,2.54
2008-10,22.82,20.07,20.25,1.25,8315913.04,-12.05,6.17
2008-11,20.22,18.8,19.14,0.85,6498226.32,-7.02,4.44
2008-12,17.84,20.15,19.22,0.6,6049427.27,12.95,3.12
2009-01,20.56,19.91,19.91,0.33,5366795,-3.16,1.66
2009-02,20.04,17.44,19.85,0.87,5873794.74,-12.97,4.38
2009-03,16.69,18.49,17.8,0.78,7240977.27,10.78,4.38
2009-04,18.48,18.47,18.43,0.18,5242152.38,-0.05,0.98
2009-05,18.44,19.73,19.29,0.32,5586930,7,1.66
2009-06,19.86,20.2,19.72,0.37,8247822.73,1.71,1.88
2009-07,20.25,21.39,20.55,0.66,5249931.82,5.63,3.21
2009-08,21.53,21.97,21.65,0.36,5579604.76,2.04,1.66
2009-09,21.62,22.11,22.06,0.24,5269095.24,2.27,1.09
2009-10,21.79,21.64,22.14,0.31,6323595.45,-0.69,1.4
2009-11,21.74,23.66,23.03,0.66,5438380,8.83,2.87
2009-12,24.07,24.09,24.17,0.24,6304377.27,0.08,0.99
2010-01,24.51,24.25,24.71,0.36,9439705.26,-1.06,1.46
2010-02,24.39,24.34,24.21,0.29,7166515.79,-0.21,1.2
2010-03,24.58,24.99,24.88,0.23,6062647.83,1.67,0.92
2010-04,25.13,24.02,24.62,0.4,7483719.05,-4.42,1.62
2010-05,24.14,22.46,23.15,0.67,12440110,-6.96,2.89
2010-06,22.21,22.05,22.62,0.39,8390050,-0.72,1.72
2010-07,21.86,22.34,22.42,0.3,8935690.48,2.2,1.34
2010-08,22.76,21.97,22.68,0.43,7856036.36,-3.47,1.9
2010-09,22.48,23.96,23.46,0.53,6450966.67,6.58,2.26
