Organization_Type,Job_Performance,Empowerment,Innovative_org_culture,Ethical_leadership,OCB,Perceived_org_goal_clarity,Diffficulty_of_work_life_balance,Training_opportunity,Org_commitment,Teamwork,Overall_job_satisfaction,Turnover_intention,Sex,Age,Education,Tenure
Public,10,10,10,30,20,15,8,15,15,10,5,No,Male,47,Graduate school,20
Public,10,9,10,30,15,11,6,12,15,8,5,No,Male,32,College,8
Public,6,5,4,14,14,9,7,12,12,6,4,No,Female,45,College,20
Public,7,7,6,26,15,12,7,11,11,7,3,No,Male,45,Graduate school,15
Public,6,4,4,16,11,9,6,9,9,6,3,No,Male,43,Graduate school,9
Public,8,5,5,26,18,8,5,9,15,10,5,No,Male,48,College,20
Public,10,8,8,23,18,15,8,12,15,8,4,No,Male,50,Graduate school,
Public,8,7,6,21,13,8,8,10,10,6,3,No,Male,40,College,11
Public,10,8,7,29,14,11,5,9,14,7,4,No,Male,49,College,22
Public,8,6,8,19,14,9,8,9,12,8,4,No,Male,35,College,9
Public,10,8,3,13,17,10,5,8,9,5,2,No,Male,33,College,8
Public,8,7,7,25,,7,7,10,10,8,5,No,Female,31,College,5
Public,9,7,7,13,13,9,8,9,12,6,3,No,Male,32,College,4
Public,6,6,8,23,16,12,8,9,12,8,3,No,Female,45,College,11
Public,7,6,6,21,17,12,6,7,15,6,3,No,Male,44,College,22
Public,8,9,8,15,17,10,5,,12,8,4,No,Male,40,College,13
Public,6,7,5,38,12,10,9,12,15,4,2,No,Male,45,College,100
Public,8,8,6,17,13,14,3,9,9,6,3,No,Male,30,High,4
Public,8,7,6,17,14,9,6,7,10,6,3,No,Male,39,College,12
Public,7,6,7,17,13,9,6,6,10,8,3,No,Male,42,College,15
Public,10,10,10,20,19,11,9,15,15,10,5,No,Female,44,High,25
Public,9,8,8,21,16,11,9,13,12,7,4,No,Male,34,College,6
Public,7,7,7,21,14,10,7,8,11,7,3,No,Male,34,College,3
Public,7,6,6,21,13,11,8,8,10,7,3,No,Male,39,College,15
Public,7,9,7,14,14,10,7,11,13,6,4,No,Female,47,College,25
Public,7,8,7,22,16,9,7,10,12,6,4,No,Male,43,College,20
Public,6,6,6,21,14,11,8,11,9,6,3,No,Female,33,College,5
Public,8,8,8,21,14,12,8,7,12,8,4,No,Female,27,College,4
Public,10,5,5,13,17,11,7,11,14,6,4,No,Female,49,College,28
Public,7,7,7,20,15,11,6,9,12,7,4,No,Male,44,College,13
Public,8,7,6,19,14,9,7,9,11,7,3,No,Female,31,College,5
Public,8,6,7,22,14,12,7,10,12,6,3,No,Male,33,College,10
Public,8,6,6,18,14,12,8,9,11,8,3,No,Female,42,College,18
Public,6,6,8,22,14,11,8,11,9,7,3,No,Male,35,College,10
Public,7,8,6,24,14,10,7,8,11,8,3,No,Male,33,College,4
Public,8,6,6,18,16,9,6,9,15,8,3,No,Female,41,High,20
Public,6,8,7,24,14,9,8,9,12,6,3,No,Male,42,College,19
Public,8,4,4,24,13,9,8,9,11,6,3,No,Male,29,College,3
Public,10,7,6,19,20,12,4,10,14,6,4,No,Male,42,College,13
Public,8,7,7,24,15,12,5,10,11,8,4,No,Male,46,Graduate school,19
