Ticker,Sector,Industry,Market Cap,EBITDA,EPS,PE Ratio,Revenue,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Debt to Equity Ratio,Book Value per Share,Operating Cash Flow,Price-Earnings Growth,Beta,Share Price
MMM,Industrials,Conglomerates,81182146560,8117000192,7.26,20.72796,32637999104,0.13451,0.21433,0.09032,1.1329399,295.441,8.524,1987000064,,1.001,150.4849896
AOS,Industrials,Specialty Industrial Machinery,10101801984,809100032,3.79,18.382586,3893799936,0.14413,0.17793,0.14337,0.29544002,7.471,13.219,591200000,,1.169,69.67000094
ABT,Healthcare,Medical Devices,2.22E+11,10824999936,7.64,16.771597,41216999424,0.13992,0.18749,0.06488,0.14840001,37.589,22.944,8728000512,,0.722,128.1350011
ABBV,Healthcare,Drug Manufacturers - General,3.11E+11,25629999104,2.87,61.371082,55532998656,0.09222999,0.28928,0.077199996,0.56407,1174.815,3.413,16510999552,,0.613,176.1350053
ACN,Technology,Information Technology Services,2.36E+11,11065912320,11.94,31.619349,64896462848,0.111940004,0.14597,0.11627,0.26674998,14.127,45.242,9131027456,,1.245,377.5350271
ADBE,Technology,Software - Infrastructure,1.93E+11,8134000128,12.37,35.809113,20946999296,0.25588,0.36834,0.15969,0.35355,41.788,32.685,6732000256,,1.299,442.9587278
AMD,Technology,Semiconductors,1.86E+11,4479000064,1.13,101.33629,24295000064,0.07516,0.10617,0.01249,0.03262,3.927,35.111,2123000064,,1.706,114.5100077
AES,Utilities,Utilities - Diversified,7746639360,3334000128,1.44,7.5659723,12284000256,0.08344,0.20158,0.028369999,-0.02549,352.879,4.627,2388999936,,1.09,10.89500011
AFL,Financial Services,Insurance - Life,59640041472,4779250176,6.73,15.952065,17301999616,0.22015,0.04815,0.0235,0.16038,50.141,44.601,2956000000,,0.958,107.3573975
A,,,43370459136,,,34.357464,,,,,,,,,,,
APD,Basic Materials,Specialty Chemicals,72680128512,4296600064,17.25,18.946667,12100599808,0.31636,0.25791,0.049689997,0.2258,79.822,76.534,3646700032,,0.826,326.8300058
ABNB,Consumer Cyclical,Travel Services,80745529344,1672999936,2.88,44.875,10840000512,0.16956,0.40862998,0.046630003,0.20873,26.614,13.304,4115000064,,1.156,129.24
AKAM,Technology,Software - Infrastructure,14970166272,1118397952,3.38,29.482336,3966245888,0.13266,0.15695,0.041890003,0.11541,96.999,31.828,1564576000,,0.678,99.65029568
ALB,Basic Materials,Specialty Chemicals,10050845696,-935078016,-16.76,,6501978112,-0.28798,-0.20657,-0.051760003,-0.17662,35.334,68.11,603174976,,1.551,
ARE,Real Estate,REIT - Office,16937059328,1905123968,1.8,53.841667,3085452032,0.09618,0.27855,0.01397,0.02132,58.757,105.766,1658962944,,1.176,96.9150006
