Year,Team,Total_Receptions,Tot_Rec_Yds,Avg_Yds,Longest_Receipt,Total_TD,Stat_Type,,,,,,,,,,
2018,BC,158,1762,13.19,71,18,Receiving,,,,,,,,,,
2018,CLEM,294,3898,11.72,74,34,Receiving,,,,,,,,,,
2018,DUKE,243,2707,10.89,74,28,Receiving,,,,,,,,,,
2018,FSU,243,3030,11.69,78,20,Receiving,,,,,,,,,,
2018,GT,26,454,17.39,37,3,Receiving,,,,,,,,,,
2018,LOU,181,2354,12.09,53,8,Receiving,,,,,,,,,,
2018,MIA,151,1889,11.39,67,16,Receiving,,,,,,,,,,
2018,NCST,300,3701,12.16,74,21,Receiving,,,,,,,,,,
2018,PITT,138,1652,10.37,78,12,Receiving,,,,,,,,,,
2018,SYR,224,2891,11.14,74,22,Receiving,,,,,,,,,,
2018,UNC,256,3203,10.38,85,26,Receiving,,,,,,,,,,
2018,UVA,109,1699,12.41,74,15,Receiving,,,,,,,,,,
2018,VT,229,3098,12.79,72,27,Receiving,,,,,,,,,,
2018,WF,191,2074,10.23,38,20,Receiving,,,,,,,,,,
2017,BC,182,1993,10.46,76,13,Receiving,,,,,,,,,,
2017,CLEM,255,2869,11.33,79,14,Receiving,,,,,,,,,,
2017,DUKE,234,2552,11.04,58,14,Receiving,,,,,,,,,,
2017,FSU,164,2034,11.77,60,18,Receiving,,,,,,,,,,
2017,GT,25,545,21.8,80,6,Receiving,,,,,,,,,,
2017,LOU,227,2369,13.17,79,14,Receiving,,,,,,,,,,
2017,MIA,190,2717,14.98,78,26,Receiving,,,,,,,,,,
2017,NCST,296,3143,10.33,79,16,Receiving,,,,,,,,,,
2017,PITT,214,2509,10.92,74,10,Receiving,,,,,,,,,,
2017,SYR,286,3153,10.67,66,19,Receiving,,,,,,,,,,
2017,UNC,176,2126,11.63,54,16,Receiving,,,,,,,,,,
2017,UVA,284,3098,10.6,81,24,Receiving,,,,,,,,,,
2017,VT,187,2364,12.65,70,17,Receiving,,,,,,,,,,
2017,WF,245,3341,13.02,52,32,Receiving,,,,,,,,,,
2016,BC,129,1671,12.29,58,12,Receiving,,,,,,,,,,
2016,CLEM,392,4745,11.46,65,41,Receiving,,,,,,,,,,
2016,DUKE,256,2728,10.8,64,18,Receiving,,,,,,,,,,
2016,FSU,234,3372,14.77,92,22,Receiving,,,,,,,,,,
2016,GT,71,1522,21.75,83,7,Receiving,,,,,,,,,,
2016,LOU,227,3544,14.92,74,31,Receiving,,,,,,,,,,
2016,MIA,258,3504,12.42,77,26,Receiving,,,,,,,,,,
2016,NCST,1637,3084,13.39,80,17,Receiving,,,,,,,,,,
2016,PITT,169,2636,14.65,79,28,Receiving,,,,,,,,,,
2016,SYR,301,3513,10.74,84,24,Receiving,,,,,,,,,,
2016,UNC,288,3547,12.34,75,29,Receiving,,,,,,,,,,
2016,UVA,211,2168,10.02,82,17,Receiving,,,,,,,,,,
2016,VT,251,3338,12.72,55,26,Receiving,,,,,,,,,,
2016,WF,182,2113,11.07,62,9,Receiving,,,,,,,,,,
2015,BC,57,663,11.5,66,4,Receiving,,,,,,,,,,
2015,CLEM,332,4125,12.74,67,32,Receiving,,,,,,,,,,
2015,DUKE,275,3017,10.49,89,18,Receiving,,,,,,,,,,
2015,FSU,221,2854,12.09,75,19,Receiving,,,,,,,,,,
2015,GT,47,965,20.26,58,9,Receiving,,,,,,,,,,
2015,LOU,194,2886,13.7,57,21,Receiving,,,,,,,,,,
2015,MIA,237,3263,13.23,67,15,Receiving,,,,,,,,,,
2015,NCST,220,2437,11.76,83,17,Receiving,,,,,,,,,,
2015,PITT,180,2273,13.78,55,19,Receiving,,,,,,,,,,
2015,SYR,125,1499,11.94,89,16,Receiving,,,,,,,,,,
2015,UNC,241,3410,13.46,89,30,Receiving,,,,,,,,,,
2015,UVA,239,2683,10.79,80,20,Receiving,,,,,,,,,,
2015,VT,213,"2,822",11.97,75,24,Receiving,,,,,,,,,,
2015,WF,218,2597,11.36,78,13,Receiving,,,,,,,,,,
2014,BC,118,1508,12.83,55,12,Receiving,,,,,,,,,,
2014,CLEM,241,2934,10.95,70,21,Receiving,,,,,,,,,,
2014,DUKE,253,"2,753",9.87,54,22,Receiving,,,,,,,,,,
2014,FSU,312,"4,002",12.39,74,24,Receiving,,,,,,,,,,
2014,GT,71,1335,18.41,71,14,Receiving,,,,,,,,,,
2014,LOU,182,2633,14.18,74,18,Receiving,,,,,,,,,,
2014,MIA,207,2909,13.35,79,25,Receiving,,,,,,,,,,
2014,NCST,198,2325,11.1,54,20,Receiving,,,,,,,,,,
2014,PITT,154,"2,054",11.26,53,15,Receiving,,,,,,,,,,
2014,SYR,174,1972,10.49,51,5,Receiving,,,,,,,,,,
2014,UNC,296,3375,10.98,91,27,Receiving,,,,,,,,,,
2014,UVA,234,2707,11.62,54,17,Receiving,,,,,,,,,,
2014,VT,232,2546,10.78,50,19,Receiving,,,,,,,,,,
2014,WF,196,1842,7.77,36,11,Receiving,,,,,,,,,,
