Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Ryan Williams,VT,293,"1,720",65,"1,655",5.65,--,21,Rushing
Montel Harris,BC,308,"1,554",97,"1,457",4.73,--,14,Rushing
Jonathan Dwyer,GT,235,"1,438",43,"1,395",5.94,--,14,Rushing
C.J. Spiller,CLEM,216,"1,271",59,"1,212",5.61,--,12,Rushing
Joshua Nesbitt,GT,279,"1,205",168,"1,037",3.72,--,18,Rushing
Jermaine Thomas,FSU,163,876,44,832,5.1,--,9,Rushing
Toney Baker,NCST,160,801,28,773,4.83,--,6,Rushing
Ryan Houston,UNC,191,733,20,713,3.73,--,9,Rushing
Graig Cooper,MIA,134,719,24,695,5.19,--,4,Rushing
Anthony Allen,GT,64,626,8,618,9.66,--,6,Rushing
Damien Berry,MIA,93,628,12,616,6.62,--,8,Rushing
Shaun Draughn,UNC,124,596,29,567,4.57,--,1,Rushing
Josh Adams,WF,113,570,29,541,4.79,--,4,Rushing
Javarris James,MIA,103,509,17,492,4.78,--,6,Rushing
Andre Ellington,CLEM,68,495,4,491,7.22,--,4,Rushing
Rashawn Jackson,UVA,96,490,29,461,4.8,--,2,Rushing
Da'Rel Scott,MD,85,448,23,425,5,--,4,Rushing
Jamie Harper,CLEM,80,424,6,418,5.22,--,4,Rushing
Brandon Pendergrass,WF,83,444,45,399,4.81,--,1,Rushing
Mikell Simpson,UVA,85,397,11,386,4.54,--,5,Rushing
Tyrod Taylor,VT,106,570,200,370,3.49,--,5,Rushing
Roddy Jones,GT,53,360,15,345,6.51,--,3,Rushing
Davin Meggett,MD,99,347,9,338,3.41,--,6,Rushing
Josh Oglesby,VT,78,358,23,335,4.29,--,2,Rushing
David Wilson,VT,59,345,11,334,5.66,--,4,Rushing
Jamelle Eugene,NCST,99,359,50,309,3.12,--,2,Rushing
Desmond Scott,DUKE,70,285,23,262,3.74,--,1,Rushing
Russell Wilson,NCST,103,481,221,260,2.52,--,4,Rushing
Ty Jones,FSU,51,262,11,251,4.92,--,5,Rushing
Jamarr Robinson,MD,53,299,70,229,4.32,--,0,Rushing
Josh Haden,BC,58,234,21,213,3.67,--,1,Rushing
E.J. Manuel,FSU,44,226,30,196,4.45,--,2,Rushing
Marcus Wright,GT,33,199,9,190,5.76,--,3,Rushing
Jay Hollingsworth,DUKE,54,179,0,179,3.31,--,0,Rushing
Christian Ponder,FSU,72,318,139,179,2.49,--,2,Rushing
Embry Peeples,GT,31,186,16,170,5.48,--,0,Rushing
