Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,Stat Type
Russell Wilson,NCST,527,308,58.4,"3,563",6.8,28,5.3,14,2.7,--,--,--,127.5,Passing
T.J. Yates,UNC,422,282,66.8,"3,418",8.1,19,4.5,9,2.1,--,--,--,145.5,Passing
Sean Renfree,DUKE,464,285,61.4,"3,131",6.7,14,3,17,3.7,--,--,--,120.7,Passing
Marc Verica,UVA,396,233,58.8,"2,799",7.1,14,3.5,14,3.5,--,--,--,122.8,Passing
Tyrod Taylor,VT,315,188,59.7,"2,743",8.7,24,7.6,5,1.6,--,--,--,154.8,Passing
Danny O'Brien,MD,337,192,57,"2,438",7.2,22,6.5,8,2.4,--,--,--,134.5,Passing
Kyle Parker,CLEM,341,196,57.5,"2,213",6.5,12,3.5,11,3.2,--,--,--,117.2,Passing
Christian Ponder,FSU,299,184,61.5,"2,044",6.8,20,6.7,8,2.7,--,--,--,135.7,Passing
Jacory Harris,MIA,270,148,54.8,"1,793",6.6,14,5.2,15,5.6,--,--,--,116.6,Passing
Tanner Price,WF,241,137,56.8,"1,349",5.6,7,2.9,8,3.3,--,--,--,106.8,Passing
Stephen Morris,MIA,153,82,53.6,"1,240",8.1,7,4.6,9,5.9,--,--,--,125,Passing
Chase Rettig,BC,195,100,51.3,"1,238",6.3,6,3.1,9,4.6,--,--,--,105.5,Passing
E.J. Manuel,FSU,93,65,69.9,861,9.3,4,4.3,4,4.3,--,--,--,153.3,Passing
Joshua Nesbitt,GT,105,39,37.1,674,6.4,7,6.7,4,3.8,--,--,--,105.4,Passing
Dave Shinskie,BC,96,46,47.9,618,6.4,5,5.2,6,6.2,--,--,--,106.7,Passing
Tevin Washington,GT,61,25,41,417,6.8,2,3.3,3,4.9,--,--,--,99.4,Passing
Mike Marscovetra,BC,58,34,58.6,369,6.4,2,3.4,4,6.9,--,--,--,109.6,Passing
Jamarr Robinson,MD,49,26,53.1,349,7.1,4,8.2,2,4.1,--,--,--,131.7,Passing
Tajh Boyd,CLEM,63,33,52.4,329,5.2,4,6.3,3,4.8,--,--,--,107.7,Passing
Ross Metheny,UVA,17,13,76.5,171,10.1,3,17.6,1,5.9,--,--,--,207.4,Passing
Michael Rocco,UVA,25,13,52,143,5.7,1,4,2,8,--,--,--,97.2,Passing
Ted Stachitas,WF,23,12,52.2,131,5.7,0,0,1,4.3,--,--,--,91.3,Passing
Brandon Connette,DUKE,22,10,45.5,125,5.7,0,0,2,9.1,--,--,--,75,Passing
Marshall Williams,WF,3,2,66.7,122,40.7,2,66.7,0,0,--,--,--,628.3,Passing
Skylar Jones,WF,27,13,48.1,119,4.4,0,0,1,3.7,--,--,--,77.8,Passing
Logan Thomas,VT,26,12,46.2,107,4.1,0,0,0,0,--,--,--,80.7,Passing
Mike Glennon,NCST,13,9,69.2,78,6,0,0,0,0,--,--,--,119.6,Passing
Jimmy Howell,UVA,2,2,100,57,28.5,1,50,0,0,--,--,--,504.4,Passing
Spencer Whipple,MIA,12,6,50,54,4.5,0,0,2,16.7,--,--,--,54.5,Passing
Shawn Powell,FSU,1,1,100,33,33,0,0,0,0,--,--,--,377.2,Passing
Alonzo Highsmith Jr.,MIA,7,4,57.1,18,2.6,0,0,1,14.3,--,--,--,50.2,Passing
Jacob Hodges,UVA,1,1,100,16,16,1,100,0,0,--,--,--,564.4,Passing
Daniel Imhoff,NCST,2,2,100,14,7,0,0,0,0,--,--,--,158.8,Passing
Bryn Renner,UNC,2,1,50,14,7,0,0,0,0,--,--,--,108.8,Passing
Brendan Cross,WF,7,2,28.6,5,0.7,0,0,0,0,--,--,--,34.6,Passing
Da'Rel Scott,MD,1,1,100,4,4,1,100,0,0,--,--,--,463.6,Passing
Donny McElveen,CLEM,1,1,100,1,1,1,100,0,0,--,--,--,438.4,Passing
C.J. Brown,MD,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Graig Cooper,MIA,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Chris Givens,WF,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Jamie Harper,CLEM,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Marquan Jones,CLEM,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Alex King,DUKE,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Tony Logan,MD,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Taylor Ogle,CLEM,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Bert Reed,FSU,1,0,0,0,0,0,0,1,100,--,--,--,-200,Passing
Bobby Swigert,BC,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Conner Vernon,DUKE,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
