Player,Team,Rec,Yds,Avg,Lg,TD,Stat Type
Dwight Jones,UNC,85,"1,196",14.07,--,12,Receiving
Chris Givens,WF,83,"1,330",16.02,--,9,Receiving
Sammy Watkins,CLEM,82,"1,219",14.87,--,12,Receiving
Michael Campanaro,WF,73,833,11.41,--,2,Receiving
DeAndre Hopkins,CLEM,72,978,13.58,--,5,Receiving
Conner Vernon,DUKE,70,956,13.66,--,6,Receiving
Kris Burd,UVA,66,913,13.83,--,3,Receiving
Donovan Varner,DUKE,61,713,11.69,--,3,Receiving
Jarrett Boykin,VT,61,761,12.48,--,5,Receiving
Danny Coale,VT,60,904,15.07,--,3,Receiving
Erik Highsmith,UNC,51,726,14.24,--,5,Receiving
Dwayne Allen,CLEM,50,598,11.96,--,8,Receiving
Perry Jones,UVA,48,506,10.54,--,3,Receiving
T.J. Graham,NCST,46,757,16.46,--,7,Receiving
Tommy Streeter,MIA,46,811,17.63,--,8,Receiving
Giovani Bernard,UNC,45,362,8.04,--,1,Receiving
Kevin Dorsey,MD,45,573,12.73,--,3,Receiving
Bobby Swigert,BC,44,470,10.68,--,3,Receiving
Cooper Helfet,DUKE,43,395,9.19,--,4,Receiving
James Washington,NCST,42,315,7.5,--,0,Receiving
Travis Benjamin,MIA,41,609,14.85,--,3,Receiving
Brandon Braxton,DUKE,40,352,8.8,--,0,Receiving
Jay Smith,NCST,40,391,9.78,--,4,Receiving
Quintin McCree,MD,40,485,12.12,--,1,Receiving
Rashad Greene,FSU,38,596,15.68,--,7,Receiving
Kerry Boykins,MD,37,430,11.62,--,0,Receiving
Tobais Palmer,NCST,37,496,13.41,--,5,Receiving
Danny Dembry,WF,36,423,11.75,--,1,Receiving
D.J. Coles,VT,36,480,13.33,--,3,Receiving
Rodney Smith,FSU,36,561,15.58,--,4,Receiving
Kenny Shaw,FSU,34,418,12.29,--,4,Receiving
Colin Larmond,BC,34,528,15.53,--,3,Receiving
George Bryan,NCST,33,331,10.03,--,4,Receiving
Tim Smith,UVA,33,565,17.12,--,3,Receiving
Jaron Brown,CLEM,31,406,13.1,--,4,Receiving
Allen Hurns,MIA,31,415,13.39,--,4,Receiving
Matt Furstenburg,MD,30,349,11.63,--,2,Receiving
Marcus Davis,VT,30,510,17,--,5,Receiving
Bert Reed,FSU,29,403,13.9,--,5,Receiving
Stephen Hill,GT,28,820,29.29,--,5,Receiving
Christian Green,FSU,26,450,17.31,--,0,Receiving
Desmond Scott,DUKE,25,135,5.4,--,0,Receiving
Tony Creecy,NCST,25,157,6.28,--,3,Receiving
Andre Ellington,CLEM,22,109,4.95,--,0,Receiving
David Wilson,VT,22,129,5.86,--,1,Receiving
Juwan Thompson,DUKE,22,182,8.27,--,1,Receiving
Max Milien,UVA,22,264,12,--,2,Receiving
Chris Pantale,BC,21,236,11.24,--,3,Receiving
Alex Amidon,BC,20,220,11,--,1,Receiving
Matt Snyder,UVA,20,225,11.25,--,0,Receiving
Darius Jennings,UVA,20,238,11.9,--,1,Receiving
Terence Davis,WF,20,269,13.45,--,5,Receiving
Brandon Pendergrass,WF,19,116,6.11,--,1,Receiving
Ronnie Tyler,MD,18,158,8.78,--,1,Receiving
Clive Walford,MIA,18,172,9.56,--,1,Receiving
Lamar Miller,MIA,17,85,5,--,1,Receiving
Davin Meggett,MD,17,141,8.29,--,1,Receiving
Tyler Melton,GT,17,263,15.47,--,0,Receiving
Steven Howard,NCST,16,121,7.56,--,1,Receiving
Devonta Freeman,FSU,15,111,7.4,--,0,Receiving
Adam Humphries,CLEM,15,130,8.67,--,0,Receiving
Chris Drager,VT,15,201,13.4,--,2,Receiving
Bryan Underwood,NCST,15,228,15.2,--,2,Receiving
Phillip Dorsett,MIA,14,147,10.5,--,1,Receiving
Eduardo Clements,MIA,14,163,11.64,--,0,Receiving
Jamison Crowder,DUKE,14,163,11.64,--,1,Receiving
Brandon Ford,CLEM,14,166,11.86,--,2,Receiving
Jheranie Boyd,UNC,14,292,20.86,--,5,Receiving
Jay Hollingsworth,DUKE,13,125,9.62,--,0,Receiving
Orwin Smith,GT,13,306,23.54,--,1,Receiving
Marcus Leak,MD,12,85,7.08,--,1,Receiving
Cameron Ford,WF,12,99,8.25,--,3,Receiving
Nick O'Leary,FSU,12,164,13.67,--,1,Receiving
Greg Dent,FSU,12,236,19.67,--,2,Receiving
Kevin Parks,UVA,11,82,7.45,--,1,Receiving
Jarred Haggins,FSU,11,94,8.55,--,0,Receiving
Rolandan Finch,BC,11,98,8.91,--,0,Receiving
Paul Freedman,UVA,11,112,10.18,--,0,Receiving
LaRon Byrd,MIA,11,125,11.36,--,1,Receiving
Nelson Hurst,UNC,11,160,14.55,--,1,Receiving
Justus Pickett,MD,10,49,4.9,--,1,Receiving
Tyree Watkins,DUKE,10,70,7,--,0,Receiving
Lars Anderson,BC,10,81,8.1,--,1,Receiving
Christian Wilson,UNC,10,107,10.7,--,0,Receiving
Eric Ebron,UNC,10,207,20.7,--,1,Receiving
Tommy Bohanon,WF,9,56,6.22,--,1,Receiving
Tony Logan,MD,9,68,7.56,--,0,Receiving
Mike James,MIA,9,80,8.89,--,1,Receiving
Mario Carter,NCST,9,84,9.33,--,1,Receiving
Chase Ford,MIA,9,88,9.78,--,1,Receiving
Jermaine Thomas,FSU,9,122,13.56,--,0,Receiving
Martavis Bryant,CLEM,9,221,24.56,--,2,Receiving
Tahj Kimble,BC,8,67,8.38,--,1,Receiving
Braxton Deaver,DUKE,8,107,13.38,--,0,Receiving
Roddy Jones,GT,8,139,17.38,--,3,Receiving
Ifeanyi Momah,BC,8,171,21.38,--,0,Receiving
Taylor Gentry,NCST,7,42,6,--,2,Receiving
Dominique Terrell,UVA,7,62,8.86,--,1,Receiving
Beau Reliford,FSU,7,69,9.86,--,0,Receiving
Quintin Payton,NCST,7,107,15.29,--,0,Receiving
