Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Greg Reid,FSU,37,416,11.24,--,--,1,Punt Return
Jayron Hosley,VT,14,237,16.93,--,--,0,Punt Return
T.J. Graham,NCST,17,195,11.47,--,--,1,Punt Return
Jamison Crowder,DUKE,13,122,9.38,--,--,0,Punt Return
Travis Benjamin,MIA,11,121,11,--,--,0,Punt Return
Zach Laskey,GT,10,103,10.3,--,--,0,Punt Return
Tony Logan,MD,16,96,6,--,--,0,Punt Return
Michael Campanaro,WF,9,81,9,--,--,1,Punt Return
Bobby Swigert,BC,13,77,5.92,--,--,0,Punt Return
Lee Butler,DUKE,7,66,9.43,--,--,0,Punt Return
Dominique Terrell,UVA,12,61,5.08,--,--,0,Punt Return
Danny Coale,VT,8,52,6.5,--,--,0,Punt Return
DeAndre Hopkins,CLEM,10,49,4.9,--,--,0,Punt Return
Perry Jones,UVA,8,47,5.88,--,--,0,Punt Return
Todd Harrelson,UNC,5,39,7.8,--,--,0,Punt Return
Conner Vernon,DUKE,3,38,12.67,--,--,0,Punt Return
Charles Brown,UNC,10,34,3.4,--,--,0,Punt Return
Lovell Jackson,WF,9,33,3.67,--,--,0,Punt Return
Jemea Thomas,GT,3,31,10.33,--,--,0,Punt Return
Darius Jennings,UVA,2,30,15,--,--,0,Punt Return
Drew Traylor,CLEM,1,29,29,--,--,0,Punt Return
Tony Gregory,VT,1,24,24,--,--,0,Punt Return
Kyle Fuller,VT,2,18,9,--,--,1,Punt Return
Chris Givens,WF,1,15,15,--,--,0,Punt Return
Justin Jackson,WF,1,13,13,--,--,0,Punt Return
Rashard Smith,NCST,2,13,6.5,--,--,0,Punt Return
Chase Minnifield,UVA,1,12,12,--,--,0,Punt Return
Kyshoen Jarrett,VT,2,12,6,--,--,0,Punt Return
Sammy Watkins,CLEM,2,12,6,--,--,0,Punt Return
Corey Dennis,GT,1,7,7,--,--,0,Punt Return
Danny Dembry,WF,0,6,0,--,--,0,Punt Return
T.J. Thorpe,UNC,1,5,5,--,--,0,Punt Return
Jeremiah Wilson,MD,1,2,2,--,--,0,Punt Return
Spenser Rositano,BC,1,1,1,--,--,0,Punt Return
Rashad Greene,FSU,3,1,0.33,--,--,0,Punt Return
LoVante Battle,UVA,1,0,0,--,--,0,Punt Return
Mike Naples,BC,1,0,0,--,--,0,Punt Return
Brandon Braxton,DUKE,2,0,0,--,--,0,Punt Return
