Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,Stat Type
Tajh Boyd,CLEM,499,298,59.7,"3,828",7.7,33,6.6,12,2.4,--,--,--,141.2,Passing
Bryn Renner,UNC,350,239,68.3,"3,086",8.8,26,7.4,13,3.7,--,--,--,159.4,Passing
Mike Glennon,NCST,453,283,62.5,"3,054",6.7,31,6.8,12,2.6,--,--,--,136.4,Passing
Tanner Price,WF,422,253,60,"3,017",7.1,20,4.7,6,1.4,--,--,--,132.8,Passing
Logan Thomas,VT,391,234,59.8,"3,013",7.7,19,4.9,10,2.6,--,--,--,135.5,Passing
Sean Renfree,DUKE,434,282,65,"2,891",6.7,14,3.2,11,2.5,--,--,--,126.5,Passing
Michael Rocco,UVA,366,222,60.7,"2,671",7.3,13,3.6,12,3.3,--,--,--,127.1,Passing
E.J. Manuel,FSU,311,203,65.3,"2,666",8.6,18,5.8,8,2.6,--,--,--,151.2,Passing
Jacory Harris,MIA,300,195,65,"2,486",8.3,20,6.7,9,3,--,--,--,150.6,Passing
Chase Rettig,BC,317,170,53.6,"1,960",6.2,12,3.8,9,2.8,--,--,--,112.4,Passing
Tevin Washington,GT,150,74,49.3,"1,652",11,11,7.3,8,5.3,--,--,--,155.4,Passing
Danny O'Brien,MD,266,150,56.4,"1,648",6.2,7,2.6,10,3.8,--,--,--,109.6,Passing
C.J. Brown,MD,166,82,49.4,842,5.1,7,4.2,6,3.6,--,--,--,98.7,Passing
Clint Trickett,FSU,72,44,61.1,675,9.4,7,9.7,4,5.6,--,--,--,160.8,Passing
David Watford,UVA,74,30,40.5,346,4.7,3,4.1,4,5.4,--,--,--,82.4,Passing
Anthony Boone,DUKE,53,30,56.6,298,5.6,1,1.9,1,1.9,--,--,--,106.3,Passing
Stephen Morris,MIA,37,26,70.3,283,7.6,0,0,2,5.4,--,--,--,123.7,Passing
Synjyn Days,GT,12,8,66.7,198,16.5,0,0,0,0,--,--,--,205.3,Passing
Braden Hanson,UNC,16,9,56.2,185,11.6,0,0,1,6.2,--,--,--,140.9,Passing
Mark Leal,VT,13,9,69.2,153,11.8,2,15.4,0,0,--,--,--,218.9,Passing
Ted Stachitas,WF,26,18,69.2,152,5.8,0,0,1,3.8,--,--,--,110.6,Passing
Cole Stoudt,CLEM,21,12,57.1,115,5.5,0,0,0,0,--,--,--,103.1,Passing
Michael Campanaro,WF,4,3,75,106,26.5,2,50,1,25,--,--,--,412.6,Passing
Tyler Brosius,NCST,13,8,61.5,66,5.1,1,7.7,0,0,--,--,--,129.6,Passing
Josh Bordner,BC,2,1,50,37,18.5,0,0,1,50,--,--,--,105.4,Passing
Perry Jones,UVA,1,1,100,37,37,1,100,0,0,--,--,--,740.8,Passing
Ross Metheny,UVA,2,2,100,36,18,0,0,0,0,--,--,--,251.2,Passing
Reggie Wilkins,UNC,1,1,100,36,36,0,0,0,0,--,--,--,402.4,Passing
Brandon Connette,DUKE,2,1,50,35,17.5,0,0,0,0,--,--,--,197,Passing
Tony Logan,MD,1,1,100,34,34,0,0,0,0,--,--,--,385.6,Passing
Jamison Crowder,DUKE,2,1,50,21,10.5,0,0,0,0,--,--,--,138.2,Passing
Alex King,DUKE,1,1,100,21,21,0,0,0,0,--,--,--,276.4,Passing
Phillip Dorsett,MIA,1,1,100,16,16,1,100,0,0,--,--,--,564.4,Passing
Mike Marscovetra,BC,1,1,100,14,14,0,0,0,0,--,--,--,217.6,Passing
Brendan Cross,WF,1,1,100,9,9,0,0,0,0,--,--,--,175.6,Passing
Terence Davis,WF,1,1,100,9,9,0,0,0,0,--,--,--,175.6,Passing
Sammy Watkins,CLEM,1,1,100,9,9,0,0,0,0,--,--,--,175.6,Passing
Dave Shinskie,BC,2,1,50,3,1.5,0,0,0,0,--,--,--,62.6,Passing
Alex Wulfeck,WF,1,1,100,1,1,0,0,0,0,--,--,--,108.4,Passing
A.J. Blue,UNC,3,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Andre Ellington,CLEM,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Chris Givens,WF,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
DeAndre Hopkins,CLEM,2,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Tyler Melton,GT,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
