Player,Team,Punts,Yds,Avg,Lg,TB,In20,Blk,Net,Ret,RYds,Stat Type
Will Monday,DUKE,67,"2,991",44.6,--,--,--,0,--,--,--,Punting
Tommy Hibbard,UNC,50,"2,152",43,--,--,--,0,--,--,--,Punting
Gerald Levano,BC,57,"2,394",42,--,--,--,0,--,--,--,Punting
Alexander Kinal,WF,95,"3,867",40.7,--,--,--,0,--,--,--,Punting
Alec Vozenilek,UVA,66,"2,677",40.6,--,--,--,0,--,--,--,Punting
A.J. Hughes,VT,79,"3,204",40.6,--,--,--,0,--,--,--,Punting
Dalton Botts,MIA,54,"2,187",40.5,--,--,--,0,--,--,--,Punting
Nathan Renfro,MD,75,"2,974",39.7,--,--,--,0,--,--,--,Punting
Spencer Benton,CLEM,48,"1,880",39.2,--,--,--,0,--,--,--,Punting
Wil Baumann,NCST,74,"2,882",38.9,--,--,--,0,--,--,--,Punting
Cason Beatty,FSU,47,"1,798",38.3,--,--,--,0,--,--,--,Punting
