Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Giovani Bernard,UNC,184,"1,270",42,"1,228",6.67,--,12,Rushing
Andre Ellington,CLEM,212,"1,104",23,"1,081",5.1,--,8,Rushing
Duke Johnson,MIA,139,977,30,947,6.81,--,10,Rushing
Kevin Parks,UVA,160,765,31,734,4.59,--,5,Rushing
Zach Laskey,GT,133,698,1,697,5.24,--,1,Rushing
Shadrach Thornton,NCST,154,703,9,694,4.51,--,3,Rushing
Chris Thompson,FSU,91,722,35,687,7.55,--,5,Rushing
Tevin Washington,GT,177,796,112,684,3.86,--,20,Rushing
Orwin Smith,GT,79,718,36,682,8.63,--,5,Rushing
Devonta Freeman,FSU,111,695,35,660,5.95,--,8,Rushing
James Wilder Jr.,FSU,110,654,14,640,5.82,--,11,Rushing
Mike James,MIA,147,642,21,621,4.22,--,6,Rushing
David Sims,GT,135,619,7,612,4.53,--,4,Rushing
Josh Harris,WF,137,652,44,608,4.44,--,5,Rushing
Andre Williams,BC,130,620,36,584,4.49,--,4,Rushing
Jela Duncan,DUKE,109,569,16,553,5.07,--,4,Rushing
Vad Lee,GT,96,607,63,544,5.67,--,9,Rushing
Logan Thomas,VT,174,726,202,524,3.01,--,9,Rushing
Tajh Boyd,CLEM,186,769,255,514,2.76,--,10,Rushing
Josh Snead,DUKE,99,505,9,496,5.01,--,2,Rushing
J.C. Coleman,VT,109,535,43,492,4.51,--,2,Rushing
Deandre Martin,WF,128,513,29,484,3.78,--,6,Rushing
Tony Creecy,NCST,127,512,36,476,3.75,--,5,Rushing
Perry Jones,UVA,137,509,46,463,3.38,--,2,Rushing
Roderick McDowell,CLEM,83,461,11,450,5.42,--,5,Rushing
A.J. Blue,UNC,82,443,10,433,5.28,--,9,Rushing
Rolandan Finch,BC,77,444,13,431,5.6,--,1,Rushing
Robert Godhigh,GT,54,434,5,429,7.94,--,4,Rushing
Brandon Ross,MD,85,431,41,390,4.59,--,1,Rushing
Romar Morris,UNC,69,401,15,386,5.59,--,2,Rushing
Wes Brown,MD,90,399,17,382,4.24,--,2,Rushing
Lonnie Pryor,FSU,47,380,4,376,8,--,8,Rushing
Juwan Thompson,DUKE,75,356,4,352,4.69,--,1,Rushing
E.J. Manuel,FSU,103,516,206,310,3.01,--,4,Rushing
Tony Gregory,VT,64,311,12,299,4.67,--,1,Rushing
Michael Holmes,VT,70,309,29,280,4,--,4,Rushing
B.J. Bostic,GT,34,227,15,212,6.24,--,0,Rushing
Tony Zenon,GT,31,204,11,193,6.23,--,1,Rushing
