Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type
Anthony Harris,UVA,8,38,4.75,21,0,42,38,80,1,1,Defense
Kendall Fuller,VT,6,1,0.17,3,0,38,20,58,0.5,3,Defense
Brandon Facyson,VT,5,0,0,1,0,20,7,27,0,0,Defense
Tre Boston,UNC,5,19,3.8,21,0,49,45,94,0,0,Defense
Jayron Kearse,CLEM,4,-38,-9.5,37,0,29,12,41,0,0,Defense
Jeremy Cash,DUKE,4,18,4.5,14,0,64,57,121,0,0,Defense
Durell Eskridge,SYR,4,43,10.75,32,0,52,26,78,0.5,3,Defense
Bashaud Breeland,CLEM,4,49,12.25,29,0,39,17,56,2,11,Defense
Breon Borders,DUKE,4,51,12.75,19,0,14,12,26,0,0,Defense
Tracy Howard,MIA,4,55,13.75,36,1,22,13,35,0,0,Defense
Nate Andrews,FSU,4,91,22.75,56t,1,24,11,35,1,4,Defense
Ross Cockrell,DUKE,3,19,6.33,19,0,35,11,46,1,3,Defense
Dontae Johnson,NCST,3,21,7,21,0,50,31,81,0,0,Defense
Julian Whigham,SYR,3,21,7,17,0,8,4,12,0,0,Defense
Rayshawn Jenkins,MIA,3,22,7.33,19,0,30,16,46,0,0,Defense
P.J. Williams,FSU,3,24,8,20t,1,21,14,35,0,0,Defense
Darius Robinson,CLEM,3,35,11.67,35t,1,25,4,29,0,0,Defense
Kevin Johnson,WF,3,45,15,45,0,39,19,58,0,0,Defense
Merrill Noel,WF,3,60,20,49,0,37,14,51,0,0,Defense
Ray Vinopal,PITT,3,60,20,40,0,54,29,83,1.5,4,Defense
Dominquie Green,UNC,3,62,20.67,62t,1,34,25,59,0,0,Defense
DeVon Edwards,DUKE,3,78,26,45t,2,37,27,64,0,0,Defense
Ladarius Gunter,MIA,3,118,39.33,81,1,36,10,46,0,0,Defense
Telvin Smith,FSU,3,147,49,79t,2,61,29,90,2,8,Defense
Terrence Brooks,FSU,2,0,0,0,0,38,18,56,1,13,Defense
K'Waun Williams,PITT,2,0,0,0,0,30,6,36,0,0,Defense
Tim Scott,UNC,2,2,1,2,0,37,12,49,1,8,Defense
Jemea Thomas,GT,2,5,2.5,5,0,73,15,88,3,19,Defense
Louis Young,GT,2,7,3.5,7,0,29,11,40,0,0,Defense
Kyle Fuller,VT,2,8,4,11,0,17,7,24,0,0,Defense
Tyriq McCord,MIA,2,10,5,8,0,7,6,13,4,32,Defense
Kelby Brown,DUKE,2,12,6,8,0,57,57,114,1,9,Defense
Kyshoen Jarrett,VT,2,13,6.5,13,0,41,30,71,0,0,Defense
Isaac Goins,MD,2,15,7.5,15,0,45,15,60,1,8,Defense
Ronald Darby,FSU,2,16,8,12,0,11,3,14,0,0,Defense
Korrin Wiggins,CLEM,2,19,9.5,15,0,11,4,15,0,0,Defense
Lamarcus Joyner,FSU,2,20,10,15,0,45,24,69,5.5,54,Defense
Sean Davis,MD,2,23,11.5,21,0,63,40,103,0.5,3,Defense
Bryce Jones,BC,2,23,11.5,23,0,44,17,61,0,0,Defense
Hakim Jones,NCST,2,26,13,26,0,31,30,61,0,0,Defense
D.J. Green,NCST,2,42,21,37t,1,36,29,65,0,0,Defense
Quayshawn Nealy,GT,2,43,21.5,43,0,44,22,66,0,0,Defense
Cameron Lynch,SYR,2,47,23.5,47,0,53,16,69,4,31,Defense
Manuel Asprilla,BC,2,49,24.5,49,0,55,13,68,0,0,Defense
Dexter McDougle,MD,2,49,24.5,49t,1,13,1,14,0,0,Defense
Jack Tocho,NCST,2,50,25,26,0,17,8,25,0,0,Defense
Chris Milton,GT,2,67,33.5,54t,1,13,3,16,0,0,Defense
Detrick Bonner,VT,2,72,36,37t,1,33,15,48,0,0,Defense
Tyler Marcordes,GT,2,95,47.5,95t,1,11,5,16,1.5,9,Defense
Ri'Shard Anderson,SYR,1,0,0,0,0,19,11,30,0,0,Defense
Stephone Anthony,CLEM,1,0,0,0,0,55,31,86,5,34,Defense
Luke Arciniega,SYR,1,0,0,0,0,15,3,18,1,4,Defense
Juston Burris,NCST,1,0,0,0,0,38,16,54,0,0,Defense
Deon Bush,MIA,1,0,0,0,0,23,8,31,2,18,Defense
Yannik Cudjoe-Virgil,MD,1,0,0,0,0,9,10,19,4,31,Defense
