Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type
Gerod Holliman,LOU,14,245,17.5,65,1,34,10,44,1,1,Defense
James Sample,LOU,4,36,9,24,0,74,16,90,0,0,Defense
Josh Jones,NCST,4,37,9.25,36,0,42,14,56,1,14,Defense
D.J. White,GT,4,38,9.5,38t,1,52,14,66,0,0,Defense
Jamal Golden,GT,4,87,21.75,85t,1,43,18,61,0,0,Defense
Brandon Reddish,SYR,3,0,0,0,0,32,11,43,1,17,Defense
Quin Blanding,UVA,3,6,2,6,0,60,63,123,1,1,Defense
James Burgess,LOU,3,8,2.67,9,0,43,28,71,3,24,Defense
Nate Andrews,FSU,3,9,3,9t,1,66,27,93,0,0,Defense
Breon Borders,DUKE,3,15,5,15,0,33,6,39,0,0,Defense
Merrill Noel,WF,3,30,10,26,0,27,16,43,0,0,Defense
Kyshoen Jarrett,VT,3,35,11.67,26,0,52,36,88,0.5,3,Defense
Maurice Canady,UVA,3,69,23,69t,1,23,14,37,0,0,Defense
Brian Walker,UNC,3,149,49.67,100t,1,32,6,38,0,0,Defense
Deon Bush,MIA,2,0,0,0,0,39,14,53,2,18,Defense
Robert Smith,CLEM,2,0,0,0,0,52,18,70,1,18,Defense
M.J. Stewart,UNC,2,0,0,0,0,14,12,26,0,0,Defense
Lamarcus Brutus,FSU,2,4,2,4,0,7,8,15,0,0,Defense
Jacob Pugh,FSU,2,5,2.5,5,0,7,5,12,0,0,Defense
Anthony Harris,UVA,2,6,3,7,0,49,59,108,1,11,Defense
Raphael Kirby,MIA,2,9,4.5,10,0,28,26,54,0,0,Defense
Sheldon Rankins,LOU,2,9,4.5,6,0,31,22,53,8,47,Defense
Terrish Webb,PITT,2,11,5.5,11,0,24,9,33,0,0,Defense
Charles Gaines,LOU,2,12,6,12,0,30,5,35,0,0,Defense
Ray Vinopal,PITT,2,13,6.5,13,0,43,25,68,0,0,Defense
Ladarius Gunter,MIA,2,18,9,18,0,21,7,28,0,0,Defense
Jerod Fernandez,NCST,2,19,9.5,19,0,33,46,79,1,13,Defense
Justin Simmons,BC,2,20,10,20,0,63,13,76,1,15,Defense
Jayron Kearse,CLEM,2,21,10.5,17,0,46,15,61,3,19,Defense
Zavier Carmichael,DUKE,2,25,12.5,25,0,8,12,20,0,0,Defense
Jalen Ramsey,FSU,2,27,13.5,27,0,46,34,80,3,32,Defense
Lafayette Pitts,PITT,2,31,15.5,31,0,32,7,39,0,0,Defense
Jeremy Cash,DUKE,2,38,19,23,0,68,43,111,5.5,43,Defense
Korrin Wiggins,CLEM,2,44,22,37,0,22,13,35,0,0,Defense
Kendall Fuller,VT,2,47,23.5,47t,1,32,22,54,2,11,Defense
Jeff Schoettmer,UNC,2,48,24,29t,2,44,30,74,0,0,Defense
Chris Milton,GT,2,62,31,62t,1,25,7,32,0,0,Defense
Donovan Riley,VT,2,75,37.5,63t,1,38,15,53,1,8,Defense
Quayshawn Nealy,GT,2,81,40.5,69,1,57,35,92,1.5,8,Defense
Jadar Johnson,CLEM,2,84,42,60t,1,10,2,12,1,11,Defense
Terrance Smith,FSU,2,97,48.5,94t,1,47,39,86,1,6,Defense
T.J. Green,CLEM,1,-3,-3,0,0,14,4,18,0,0,Defense
Pat Amara,PITT,1,0,0,0,0,10,8,18,0,0,Defense
Lawrence Austin,GT,1,0,0,0,0,11,8,19,0,0,Defense
Detrick Bonner,VT,1,0,0,0,0,41,30,71,3,17,Defense
Juston Burris,NCST,1,0,0,0,0,22,7,29,0,0,Defense
Jamal Carter,MIA,1,0,0,0,0,15,11,26,0,0,Defense
Deon Clarke,VT,1,0,0,0,0,30,44,74,5,40,Defense
Antwan Cordy,SYR,1,0,0,0,0,5,5,10,0,0,Defense
Kedrick Davis,UNC,1,0,0,0,0,4,2,6,0,0,Defense
Terell Floyd,LOU,1,0,0,0,0,39,10,49,0,0,Defense
Adam Gotsis,GT,1,0,0,0,0,23,13,36,3,23,Defense
Corey Griffin,GT,1,0,0,0,0,11,4,15,0,0,Defense
Eli Harold,UVA,1,0,0,0,0,28,26,54,6.5,42,Defense
Tracy Howard,MIA,1,0,0,0,0,16,4,20,0,0,Defense
Tyler Hunter,FSU,1,0,0,0,0,48,17,65,1,9,Defense
Bryce Jones,BC,1,0,0,0,0,17,3,20,0,0,Defense
Demetrious Nicholson,UVA,1,0,0,0,0,4,1,5,0,0,Defense
Reggie Northrup,FSU,1,0,0,0,0,61,61,122,1,1,Defense
Daquan Romero,UVA,1,0,0,0,0,38,49,87,2.5,22,Defense
Tim Scott,UNC,1,0,0,0,0,52,26,78,0,0,Defense
Demond Smith,GT,1,0,0,0,0,54,19,73,0,0,Defense
Todd Thomas,PITT,1,0,0,0,0,49,24,73,0,0,Defense
Jack Tocho,NCST,1,0,0,0,0,33,7,40,0,0,Defense
Julian Whigham,SYR,1,0,0,0,0,21,7,28,1.5,6,Defense
Tim Harris,UVA,1,1,1,1,0,17,2,19,0,0,Defense
Mike Strizak,BC,1,1,1,1,0,21,22,43,1,9,Defense
Kevin Johnson,WF,1,2,2,2,0,32,12,44,0,0,Defense
Dominique Williams,BC,1,2,2,2,0,39,20,59,0,0,Defense
David Dean,UVA,1,3,3,3t,1,21,19,40,1,7,Defense
Ty-Meer Brown,BC,1,4,4,4,0,29,14,43,0,0,Defense
Corey Marshall,VT,1,7,7,7,0,15,26,41,2.5,21,Defense
Sam Smiley,UNC,1,7,7,7,0,32,20,52,0,0,Defense
Stephone Anthony,CLEM,1,8,8,8,0,47,27,74,2,17,Defense
Des Lawrence,UNC,1,8,8,8,0,46,25,71,0.5,1,Defense
Brandon Phelps,UVA,1,10,10,10,0,24,11,35,0,0,Defense
Joseph Ajeigbe,DUKE,1,12,12,12t,1,1,3,4,0,0,Defense
Garry Peters,CLEM,1,12,12,12,0,36,9,45,1,9,Defense
Chuck Clark,VT,1,13,13,13,0,50,23,73,1.5,9,Defense
DeVon Edwards,DUKE,1,13,13,13,0,77,56,133,4.5,43,Defense
P.J. Williams,FSU,1,14,14,14,0,52,22,74,1,9,Defense
Sean Duggan,BC,1,15,15,15,0,18,18,36,0,0,Defense
Matt Galambos,PITT,1,19,19,19,0,43,29,72,0,0,Defense
Isaiah Johnson,GT,1,19,19,19,0,51,21,72,0,0,Defense
Nazair Jones,UNC,1,20,20,20,0,21,15,36,2.5,17,Defense
Darius Kelly,SYR,1,20,20,20,0,39,22,61,0,0,Defense
Denzel Perryman,MIA,1,20,20,20,0,79,31,110,2,10,Defense
Bam Bradley,PITT,1,21,21,21,0,23,13,36,2,16,Defense
Brian Mihalik,BC,1,21,21,21,0,16,15,31,4.5,28,Defense
Rodman Noel,NCST,1,21,21,21,0,44,32,76,1,12,Defense
Bryon Fields,DUKE,1,22,22,22t,1,41,29,70,0,0,Defense
Steven Daniels,BC,1,23,23,23,0,43,28,71,1.5,4,Defense
Durell Eskridge,SYR,1,29,29,29t,1,47,21,68,0,0,Defense
Hunter Williams,WF,1,32,32,32,0,31,29,60,1,3,Defense
Evrett Edwards,DUKE,1,34,34,34,0,7,13,20,0,0,Defense
Max Valles,UVA,1,35,35,35t,1,24,31,55,9,46,Defense
P.J. Davis,GT,1,41,41,41t,1,82,37,119,4,25,Defense
Robert Welsh,SYR,1,42,42,42t,1,24,7,31,1.5,11,Defense
Tyriq McCord,MIA,1,46,46,46t,1,28,20,48,3,22,Defense
Ben Boulware,CLEM,1,47,47,47t,1,29,14,43,1,10,Defense
