Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Jamison Crowder,DUKE,22,280,12.73,18,68t,2,Punt Return
Greg Stroman,VT,36,249,6.92,10,38,0,Punt Return
Adam Humphries,CLEM,31,178,5.74,29,72t,1,Punt Return
Ryan Switzer,UNC,37,172,4.65,9,31,0,Punt Return
Tyler Boyd,PITT,16,162,10.12,21,45,0,Punt Return
Rashad Greene,FSU,15,160,10.67,23,34,0,Punt Return
James Quick,LOU,20,148,7.4,10,24,0,Punt Return
Jared Crump,WF,18,130,7.22,18,32,0,Punt Return
Sherman Alston,BC,15,125,8.33,27,36,0,Punt Return
Khalek Shepherd,UVA,26,115,4.42,16,20,0,Punt Return
Eli Rogers,LOU,11,112,10.18,6,47,0,Punt Return
Stacy Coley,MIA,15,105,7,16,29,0,Punt Return
Ritchy Desir,SYR,8,71,8.88,18,15,0,Punt Return
Kyshoen Jarrett,VT,6,62,10.33,1,35,0,Punt Return
Brisly Estime,SYR,6,58,9.67,3,22,0,Punt Return
Beau Hankins,GT,0,46,0,0,46,0,Punt Return
Jamal Golden,GT,12,46,3.83,15,28,0,Punt Return
Ryan Smith,DUKE,2,45,22.5,1,45,0,Punt Return
Prince-Tyson Gulley,SYR,5,37,7.4,2,27,0,Punt Return
Bra'Lon Cherry,NCST,6,35,5.83,2,18,0,Punt Return
Bo Hines,NCST,9,31,3.44,22,11,0,Punt Return
Daniel Rodriguez,CLEM,1,26,26,0,26,0,Punt Return
Kevin Johnson,WF,1,25,25,0,25t,1,Punt Return
Braxton Berrios,MIA,4,20,5,0,14,0,Punt Return
Jesus Wilson,FSU,2,19,9.5,5,13,0,Punt Return
Hugo Delapenha Jr.,MIA,0,13,0,0,13t,1,Punt Return
Garrett Kidd,MIA,1,12,12,0,0,0,Punt Return
Stacy Thomas,LOU,1,10,10,0,0,0,Punt Return
Kai De La Cruz,LOU,3,7,2.33,4,5,0,Punt Return
Matt Connors,GT,1,6,6,0,0,0,Punt Return
Kevin Weatherspoon,PITT,4,6,1.5,0,9,0,Punt Return
Matt Milton,LOU,1,5,5,0,5,0,Punt Return
Ronald Jones,PITT,2,4,2,0,2,0,Punt Return
C.J. Reavis,VT,1,2,2,0,0,0,Punt Return
Kendall Fuller,VT,2,2,1,2,5,0,Punt Return
Dominquie Green,UNC,1,1,1,0,1,0,Punt Return
Darius Kelly,SYR,1,1,1,0,1,0,Punt Return
Herb Waters,MIA,1,1,1,0,1,0,Punt Return
John Armstrong,WF,0,0,0,1,0,0,Punt Return
Ryan Carter,CLEM,0,0,0,1,0,0,Punt Return
Miles Gooch,UVA,0,0,0,1,0,0,Punt Return
Germone Hopper,CLEM,0,0,0,3,0,0,Punt Return
Demarre Kitt,CLEM,0,0,0,1,0,0,Punt Return
Austin Proehl,UNC,0,0,0,1,0,0,Punt Return
Tyler Purvis,NCST,0,0,0,1,0,0,Punt Return
E.J. Scott,WF,0,0,0,1,0,0,Punt Return
DeAndre Smelter,GT,0,0,0,1,0,0,Punt Return
Thaddius Smith,BC,0,0,0,3,0,0,Punt Return
Adrien Dunn,CLEM,1,0,0,0,0,0,Punt Return
Bryce Jones,BC,1,0,0,0,0,0,Punt Return
Phillip Dorsett,MIA,1,-6,-6,2,0,0,Punt Return
Michaelee Harris,LOU,1,-8,-8,0,0,0,Punt Return
