Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Myles Willis,BC,34,895,26.32,0,95t,1,Kickoff Return
DeVon Edwards,DUKE,29,745,25.69,0,99t,1,Kickoff Return
Jamal Golden,GT,30,710,23.67,0,68,0,Kickoff Return
Kermit Whitfield,FSU,32,665,20.78,0,35,0,Kickoff Return
Darius Jennings,UVA,25,632,25.28,0,86,0,Kickoff Return
Stacy Coley,MIA,24,541,22.54,0,41,0,Kickoff Return
Ervin Philips,SYR,25,476,19.04,0,31,0,Kickoff Return
John Armstrong,WF,22,447,20.32,0,56,0,Kickoff Return
T.J. Green,CLEM,21,445,21.19,0,30,0,Kickoff Return
Tyler Boyd,PITT,16,442,27.62,0,64,0,Kickoff Return
T.J. Logan,UNC,16,405,25.31,0,74,0,Kickoff Return
Matt Dayes,NCST,21,384,18.29,0,50,0,Kickoff Return
Demitri Knowles,VT,15,270,18,0,29,0,Kickoff Return
Brandon Radcliff,LOU,12,261,21.75,0,62,0,Kickoff Return
Damien Washington,UNC,12,255,21.25,0,32,0,Kickoff Return
Jesus Wilson,FSU,10,228,22.8,0,34,0,Kickoff Return
Avonte Maddox,PITT,11,219,19.91,0,35,0,Kickoff Return
Deon Newsome,VT,11,219,19.91,0,58,0,Kickoff Return
Dakwa Nichols,NCST,11,217,19.73,0,29,0,Kickoff Return
Taquan Mizzell,UVA,9,208,23.11,0,39,0,Kickoff Return
Corvin Lamb,LOU,6,187,31.17,0,97t,1,Kickoff Return
Romar Morris,UNC,9,186,20.67,0,28,0,Kickoff Return
Tyler Henderson,WF,9,183,20.33,0,38,0,Kickoff Return
James Quick,LOU,8,156,19.5,0,30,0,Kickoff Return
Ronald Jones,PITT,6,132,22,0,35,0,Kickoff Return
Phillip Dorsett,MIA,8,116,14.5,0,22,0,Kickoff Return
Broderick Snoddy,GT,5,112,22.4,0,29,0,Kickoff Return
Johnell Barnes,DUKE,3,100,33.33,0,60,0,Kickoff Return
Prince-Tyson Gulley,SYR,5,98,19.6,0,29,0,Kickoff Return
J.C. Coleman,VT,4,91,22.75,0,44,0,Kickoff Return
Der'Woun Greene,VT,3,73,24.33,0,46,0,Kickoff Return
T.J. Thorpe,UNC,3,64,21.33,0,24,0,Kickoff Return
Miles Gooch,UVA,2,45,22.5,0,24,0,Kickoff Return
Charles Standberry,LOU,2,41,20.5,0,23,0,Kickoff Return
Karlos Williams,FSU,3,41,13.67,0,14,0,Kickoff Return
C.J. Davidson,CLEM,3,39,13,0,14,0,Kickoff Return
Khris Francis,UNC,2,38,19,0,23,0,Kickoff Return
Charles Gaines,LOU,2,38,19,0,22,0,Kickoff Return
Brian Walker,UNC,2,38,19,0,23,0,Kickoff Return
L.J. Scott,LOU,3,38,12.67,1,26,0,Kickoff Return
Devante McFarlane,SYR,2,37,18.5,0,20,0,Kickoff Return
Chris Wuestner,PITT,2,36,18,0,18,0,Kickoff Return
Bra'Lon Cherry,NCST,1,34,34,0,34,0,Kickoff Return
Kevin Weatherspoon,PITT,2,32,16,0,18,0,Kickoff Return
Kevin Haplea,FSU,3,32,10.67,1,12,0,Kickoff Return
Rachid Ibrahim,PITT,2,30,15,0,15,0,Kickoff Return
Isaiah Robinson,WF,2,29,14.5,0,20,0,Kickoff Return
Terrence Ross,LOU,2,28,14,0,19,0,Kickoff Return
Artie Burns,MIA,1,27,27,0,27,0,Kickoff Return
Jamison Crowder,DUKE,1,26,26,0,26,0,Kickoff Return
Matt Connors,GT,2,26,13,0,18,0,Kickoff Return
Anthony Harrell,GT,2,25,12.5,0,16,0,Kickoff Return
Joseph Ajeigbe,DUKE,1,20,20,0,20,0,Kickoff Return
Quinshad Davis,UNC,2,20,10,0,18,0,Kickoff Return
Artavis Scott,CLEM,1,19,19,0,19,0,Kickoff Return
Brisly Estime,SYR,2,19,9.5,0,19,0,Kickoff Return
Deon Hill,GT,2,19,9.5,0,12,0,Kickoff Return
Greg Stroman,VT,1,18,18,0,18,0,Kickoff Return
Jaymar Parrish,PITT,2,18,9,0,14,0,Kickoff Return
Dewayne Alford,VT,1,17,17,0,17,0,Kickoff Return
Ryan Switzer,UNC,1,17,17,0,17,0,Kickoff Return
Herb Waters,MIA,1,17,17,0,17,0,Kickoff Return
David Dudeck,BC,1,15,15,1,15,0,Kickoff Return
Adam Humphries,CLEM,1,15,15,0,15,0,Kickoff Return
Shaquille Powell,DUKE,1,15,15,0,15,0,Kickoff Return
Martin Aiken,CLEM,2,15,7.5,0,14,0,Kickoff Return
Wade Hansen,VT,1,14,14,0,14,0,Kickoff Return
Kameron Jackson,UNC,1,13,13,0,13,0,Kickoff Return
Tim Buckley,NCST,1,11,11,0,11,0,Kickoff Return
Daniel Rodriguez,CLEM,1,11,11,0,11,0,Kickoff Return
Tyrell Tomlin,UNC,1,10,10,0,10,0,Kickoff Return
Luke Brohm,LOU,1,9,9,0,9,0,Kickoff Return
Grant Dawson,WF,1,9,9,0,9,0,Kickoff Return
Airius Moore,NCST,1,7,7,0,7,0,Kickoff Return
Jonathan Thomas,SYR,1,7,7,0,7,0,Kickoff Return
Devin O'Connor,NCST,1,5,5,0,5,0,Kickoff Return
Zeek Rodney,WF,1,5,5,0,5,0,Kickoff Return
Freddie Stevenson,FSU,1,5,5,0,5,0,Kickoff Return
Erich Schneider,DUKE,1,3,3,0,3,0,Kickoff Return
Walter Tucker,MIA,1,3,3,0,3,0,Kickoff Return
Jordan Garside,WF,1,1,1,0,1,0,Kickoff Return
Bug Howard,UNC,0,0,0,1,0,0,Kickoff Return
Jordan Leggett,CLEM,0,0,0,1,0,0,Kickoff Return
Rob Burns,UVA,1,0,0,0,0,0,Kickoff Return
Joel Caleb,VT,1,0,0,0,0,0,Kickoff Return
