Player,Team,Num,Yds,Avg,Lg,TB,OB,Ret,RYds,TD,Stat Type
Nick Weiler,UNC,103,"6,463",62.7,65,55,4,43,822,0,Kickoff
Roberto Aguayo,FSU,84,"5,273",62.8,70,47,4,33,557,0,Kickoff
Joey Slye,VT,72,"4,587",63.7,69,50,0,22,467,0,Kickoff
John Wallace,LOU,73,"4,565",62.5,67,28,0,45,"1,028",1,Kickoff
Jackson Maples,NCST,73,"4,461",61.1,65,39,4,29,594,0,Kickoff
Ross Martin,DUKE,75,"4,455",59.4,65,22,1,48,942,2,Kickoff
Chris Blewitt,PITT,69,"4,354",63.1,70,43,0,26,506,0,Kickoff
Ammon Lakip,CLEM,73,"4,325",59.2,65,28,0,44,957,1,Kickoff
Harrison Butker,GT,62,"3,925",63.3,66,41,0,19,440,1,Kickoff
Jon Semerene,MIA,64,"3,904",61,72,26,5,33,571,0,Kickoff
Dylan Sims,UVA,60,"3,796",63.3,65,30,1,29,665,1,Kickoff
Ryan Norton,SYR,60,"3,716",61.9,65,22,1,35,766,0,Kickoff
Mike Weaver,WF,44,"2,740",62.3,65,20,2,23,511,0,Kickoff
Greg Huegel,CLEM,37,"2,329",62.9,65,10,1,26,762,2,Kickoff
Colton Lichtenberg,BC,24,"1,443",60.1,65,4,3,17,412,1,Kickoff
Alex Howell,BC,18,998,55.4,65,4,0,14,176,0,Kickoff
Michael Badgley,MIA,8,502,62.8,65,3,0,5,161,0,Kickoff
Justin Vogel,MIA,5,309,61.8,68,2,0,3,38,0,Kickoff
Mike Knoll,BC,3,190,63.3,65,1,0,2,46,0,Kickoff
Johnathan Galante,VT,2,120,60,65,1,0,1,11,0,Kickoff
Nicholas Conte,UVA,2,118,59,65,0,1,1,24,0,Kickoff
Michael Santamaria,VT,2,100,50,54,0,0,2,34,0,Kickoff
Will Kline,DUKE,2,80,40,65,1,0,0,0,0,Kickoff
Jon Brown,LOU,1,65,65,65,1,0,0,0,0,Kickoff
Alex Spence,CLEM,1,65,65,65,0,0,1,23,0,Kickoff
Christian Groomes,CLEM,1,62,62,62,0,0,1,22,0,Kickoff
Kyle Bambard,NCST,1,60,60,60,0,0,1,15,0,Kickoff
Joshua Appleby,LOU,1,46,46,46,0,0,0,0,0,Kickoff
