Player,Team,PAT,FG,0-19,20-29,30-39,40-49,50+,Lg,Pts,Stat Type
Greg Huegel,CLEM,57/62,27/32,0/0,7-Jul,14/15,10-Jun,0/0,47,138,Kicking
Nick Weiler,UNC,67/67,20/23,0/0,5-May,12-Nov,6-Apr,0/0,48,127,Kicking
Ross Martin,DUKE,42/42,26/30,0/0,8-Jul,13-Nov,5-Apr,4-Apr,53,120,Kicking
Michael Badgley,MIA,40/40,25/30,0/0,13/14,6-Apr,7-Jul,3-Jan,57,115,Kicking
Roberto Aguayo,FSU,49/49,21/26,1-Jan,9-Sep,6-Jun,7-Apr,3-Jan,51,112,Kicking
Joey Slye,VT,41/42,23/30,0/0,2-Feb,9-Aug,13/16,0/3,48,110,Kicking
John Wallace,LOU,46/47,15/21,1-Jan,4-Apr,11-Aug,2-Jan,3-Jan,50,91,Kicking
Chris Blewitt,PITT,42/43,15/23,1-Jan,6-May,4-Mar,8-Apr,4-Feb,56,87,Kicking
Ian Frye,UVA,34/35,17/22,2-Feb,6-May,4-Apr,10-Jun,0/0,48,85,Kicking
Cole Murphy,SYR,37/37,16/22,1-Jan,6-Jun,8-Jun,6-Mar,0/1,49,85,Kicking
Kyle Bambard,NCST,54/56,14-Jul,0/0,1-Jan,9-Jun,0/4,0/0,37,75,Kicking
Harrison Butker,GT,44/44,11-Jul,0/0,0/0,4-Mar,3-Feb,4-Feb,53,65,Kicking
Mike Weaver,WF,24/25,18-Nov,0/0,6-May,6-May,3-Jan,0/3,47,57,Kicking
Mike Knoll,BC,9-Sep,3-Feb,0/0,2-Feb,0/0,0/1,0/0,29,15,Kicking
Colton Lichtenberg,BC,6-Jun,6-Mar,0/0,2-Jan,0/1,3-Feb,0/0,43,15,Kicking
Alex Howell,BC,8-Aug,2-Jan,0/0,0/0,2-Jan,0/0,0/0,31,11,Kicking
Ammon Lakip,CLEM,7-Jul,1-Jan,0/0,0/0,0/0,1-Jan,0/0,42,10,Kicking
Michael Santamaria,VT,3-Mar,0/1,0/0,0/0,0/1,0/0,0/0,0,3,Kicking
Freeman Jones,UNC,1-Jan,0/0,0/0,0/0,0/0,0/0,0/0,0,1,Kicking
Jackson Maples,NCST,1-Jan,0/0,0/0,0/0,0/0,0/0,0/0,0,1,Kicking
Alex Spence,CLEM,1-Jan,0/0,0/0,0/0,0/0,0/0,0/0,0,1,Kicking
Jake Wilhelm,BC,1-Jan,0/0,0/0,0/0,0/0,0/0,0/0,0,1,Kicking
