Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Bra'Lon Cherry,NCST,27,358,13.26,21,52t,1,Punt Return
Ryan Switzer,UNC,22,302,13.73,14,85t,2,Punt Return
Brisly Estime,SYR,15,272,18.13,18,74t,2,Punt Return
Greg Stroman,VT,31,241,7.77,16,67t,1,Punt Return
Jaire Alexander,LOU,23,223,9.7,14,33,0,Punt Return
Ryan Smith,DUKE,29,207,7.14,22,69,0,Punt Return
Jamal Golden,GT,16,161,10.06,18,44,0,Punt Return
Sherman Alston,BC,22,160,7.27,18,39,0,Punt Return
Corn Elder,MIA,11,152,13.82,7,72t,1,Punt Return
Maurice Canady,UVA,5,126,25.2,8,74t,1,Punt Return
Jesus Wilson,FSU,25,120,4.8,25,21,0,Punt Return
Tabari Hines,WF,23,91,3.96,21,21,0,Punt Return
Artavis Scott,CLEM,13,55,4.23,25,16,0,Punt Return
Avonte Maddox,PITT,8,48,6,6,25,0,Punt Return
Braxton Berrios,MIA,11,45,4.09,4,20,0,Punt Return
Olamide Zaccheaus,UVA,5,34,6.8,9,30,0,Punt Return
John Johnson,BC,1,33,33,0,0,0,Punt Return
Pat Amara,PITT,0,28,0,0,28t,1,Punt Return
Jadar Johnson,CLEM,1,24,24,0,0,0,Punt Return
Ryan Lewis,PITT,1,22,22,0,0,0,Punt Return
Terrell Edmunds,VT,1,19,19,0,0,0,Punt Return
Chris Milton,GT,1,17,17,0,0,0,Punt Return
Anthony Shegog,VT,0,15,0,0,15t,1,Punt Return
Quintin Wirginis,PITT,1,13,13,0,0,0,Punt Return
Elijah Robinson,BC,0,12,0,0,12t,1,Punt Return
Nyqwan Murray,FSU,3,11,3.67,0,8,0,Punt Return
Matt Milano,BC,1,8,8,0,0,0,Punt Return
Brad Stewart,GT,1,7,7,2,7,0,Punt Return
Tyler Boyd,PITT,8,7,0.88,6,7,0,Punt Return
Jalen Ramsey,FSU,1,6,6,0,6,0,Punt Return
Ray Ray McCloud,CLEM,4,6,1.5,3,10,0,Punt Return
Lance Austin,GT,0,5,0,0,5,0,Punt Return
Johnell Barnes,DUKE,1,5,5,0,5,0,Punt Return
Gavin Locklear,NCST,1,5,5,0,5,0,Punt Return
Jamal Davis II,PITT,0,3,0,0,3,0,Punt Return
Connor Strachan,BC,1,2,2,0,0,0,Punt Return
Drew Barksdale,BC,1,1,1,0,1,0,Punt Return
Bug Howard,UNC,1,1,1,0,0,0,Punt Return
TaQuon Marshall,GT,1,1,1,1,1,0,Punt Return
Zaire Franklin,SYR,0,0,0,1,0,0,Punt Return
Kendall Fuller,VT,0,0,0,1,0,0,Punt Return
Jordan Leggett,CLEM,0,0,0,1,0,0,Punt Return
Reggie Northrup,FSU,0,0,0,1,0,0,Punt Return
Cam Phillips,VT,0,0,0,1,0,0,Punt Return
Austin Proehl,UNC,0,0,0,1,0,0,Punt Return
Herb Waters,MIA,0,0,0,2,0,0,Punt Return
Kermit Whitfield,FSU,0,0,0,1,0,0,Punt Return
Atem Ntantang,BC,1,0,0,0,0,0,Punt Return
Ervin Philips,SYR,1,0,0,2,0,0,Punt Return
Van Smith,CLEM,1,0,0,0,0,0,Punt Return
Taj-Amir Torres,BC,1,0,0,0,0,0,Punt Return
Marquez White,FSU,2,0,0,0,2,0,Punt Return
Hunter Renfrow,CLEM,3,0,0,4,0,0,Punt Return
Alex Bachman,WF,1,-1,-1,1,0,0,Punt Return
Jacob Hill,SYR,1,-1,-1,0,0,0,Punt Return
Travis Rudolph,FSU,1,-1,-1,0,0,0,Punt Return
Thaddius Smith,BC,1,-1,-1,11,0,0,Punt Return
Jordan Whitehead,PITT,1,-1,-1,1,0,0,Punt Return
Derwin James,FSU,1,-2,-2,0,0,0,Punt Return
Qua Searcy,GT,1,-2,-2,0,0,0,Punt Return
Cornelius Sturghill,LOU,3,-4,-1.33,0,2,0,Punt Return
Javien Elliott,FSU,0,-7,0,0,0,0,Punt Return
Alphonso Carter,LOU,4,-7,-1.75,7,3,0,Punt Return
Germone Hopper,CLEM,5,-7,-1.4,7,2,0,Punt Return
