Player,Team,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Stat Type
Greg Huegel,CLEM,138,0,0,0,0,0,0,0,0,0,0,57/62,27/32,0,0,Scoring
Nick Weiler,UNC,127,0,0,0,0,0,0,0,0,0,0,67/67,20/23,0,0,Scoring
Dalvin Cook,FSU,120,20,19,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ross Martin,DUKE,120,0,0,0,0,0,0,0,0,0,0,42/42,26/30,0,0,Scoring
Michael Badgley,MIA,115,0,0,0,0,0,0,0,0,0,0,40/40,25/30,0,0,Scoring
Roberto Aguayo,FSU,112,0,0,0,0,0,0,0,0,0,0,49/49,21/26,0,0,Scoring
Joey Slye,VT,110,0,0,0,0,0,0,0,0,0,0,41/42,23/30,0,0,Scoring
Elijah Hood,UNC,102,17,17,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jaylen Samuels,NCST,96,16,9,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
John Wallace,LOU,91,0,0,0,0,0,0,0,0,0,0,46/47,15/21,0,0,Scoring
Chris Blewitt,PITT,87,0,0,0,0,0,0,0,0,0,0,42/43,15/23,0,0,Scoring
Ian Frye,UVA,85,0,0,0,0,0,0,0,0,0,0,34/35,17/22,0,0,Scoring
Cole Murphy,SYR,85,0,0,0,0,0,0,0,0,0,0,37/37,16/22,0,0,Scoring
Wayne Gallman,CLEM,84,14,13,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Marquise Williams,UNC,84,14,13,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Kyle Bambard,NCST,75,0,0,0,0,0,0,0,0,0,0,54/56,14-Jul,0,0,Scoring
Matt Dayes,NCST,72,12,12,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Qadree Ollison,PITT,72,12,11,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Deshaun Watson,CLEM,72,12,12,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Isaiah Ford,VT,66,11,0,11,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Lamar Jackson,LOU,66,11,11,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Harrison Butker,GT,65,0,0,0,0,0,0,0,0,0,0,44/44,11-Jul,0,0,Scoring
Mark Walton,MIA,60,10,9,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Mike Weaver,WF,57,0,0,0,0,0,0,0,0,0,0,24/25,18-Nov,0,0,Scoring
Thomas Sirk,DUKE,52,8,8,0,0,0,0,0,0,0,0,0/0,0/0,2,0,Scoring
Clinton Lynch,GT,50,8,5,3,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Travon McMillian,VT,50,8,7,1,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Mack Hollins,UNC,48,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jordan Leggett,CLEM,48,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Taquan Mizzell,UVA,48,8,4,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ervin Philips,SYR,48,8,2,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Canaan Severin,UVA,48,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Patrick Skov,GT,48,8,6,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ryan Switzer,UNC,48,8,0,6,0,2,0,0,0,0,0,0/0,0/0,0,0,Scoring
Joseph Yearby,MIA,48,8,6,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Kendall Hinton,WF,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Bucky Hodges,VT,42,7,1,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Steve Ishmael,SYR,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Brandon Radcliff,LOU,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tyler Rouse,BC,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Travis Rudolph,FSU,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Artavis Scott,CLEM,42,7,1,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tyler Boyd,PITT,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jacoby Brissett,NCST,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
T.J. Logan,UNC,36,6,5,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jeff Smith,BC,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Justin Thomas,GT,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Kermit Whitfield,FSU,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Max McCaffrey,DUKE,32,5,0,5,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Parker Boehme,DUKE,30,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Zac Brooks,CLEM,30,5,3,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Deon Cain,CLEM,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Eric Dungey,SYR,30,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jordan Fredericks,SYR,30,5,4,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Scott Orndoff,PITT,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jacques Patrick,FSU,30,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Charone Peake,CLEM,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Shaquille Powell,DUKE,30,5,3,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
James Quick,LOU,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Hunter Renfrow,CLEM,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Rashawn Scott,MIA,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Shaun Wilson,DUKE,30,5,3,1,1,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Brandon Fritts,UNC,26,4,0,4,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Stacy Coley,MIA,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Quinshad Davis,UNC,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jela Duncan,DUKE,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Brisly Estime,SYR,24,4,0,2,0,2,0,0,0,0,0,0/0,0/0,0,0,Scoring
Reggie Gallaspy II,NCST,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
J.P. Holtz,PITT,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Bug Howard,UNC,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ricky Jeune,GT,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Cortez Lewis,WF,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Marcus Marshall,GT,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Sam Rogers,VT,24,4,2,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Cam Serigne,WF,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Evan Butts,UVA,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Micky Crum,LOU,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Trey Edmunds,VT,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
DeVon Edwards,DUKE,18,3,0,0,3,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
David Grinnage,NCST,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Cole Hikutini,LOU,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Nyheim Hines,NCST,18,3,1,1,1,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tabari Hines,WF,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Brenden Motley,VT,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jumichael Ramos,NCST,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Albert Reid,UVA,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Erich Schneider,DUKE,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jeremy Smith,LOU,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jamari Staples,LOU,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Dontae Strickland,SYR,18,3,1,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Shadrach Thornton,NCST,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Keith Towbridge,LOU,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Mitch Trubisky,UNC,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jordan Whitehead,PITT,18,3,2,0,0,0,0,1,0,0,0,0/0,0/0,0,0,Scoring
Jesus Wilson,FSU,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
John Wolford,WF,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Mike Knoll,BC,15,0,0,0,0,0,0,0,0,0,0,9-Sep,3-Feb,0,0,Scoring
Colton Lichtenberg,BC,15,0,0,0,0,0,0,0,0,0,0,6-Jun,6-Mar,0,0,Scoring
Marcus Allen,GT,12,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
George Aston,PITT,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
