Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Sean Riley,SYR,53,"1,095",20.66,0,68,0,Kickoff Return
Shaun Wilson,DUKE,37,924,24.97,0,96t,1,Kickoff Return
Quadree Henderson,PITT,30,914,30.47,0,100t,3,Kickoff Return
Nyheim Hines,NCST,32,782,24.44,0,100t,1,Kickoff Return
T.J. Logan,UNC,21,690,32.86,0,100t,2,Kickoff Return
Joe Reed,UVA,27,678,25.11,0,50,0,Kickoff Return
Kermit Whitfield,FSU,26,595,22.88,0,53,0,Kickoff Return
Artavis Scott,CLEM,23,532,23.13,0,77,0,Kickoff Return
John Armstrong,WF,22,488,22.18,0,80,0,Kickoff Return
Myles Willis,BC,20,469,23.45,0,89t,1,Kickoff Return
Malcolm Lewis,MIA,19,405,21.32,0,34,0,Kickoff Return
Greg Stroman,VT,19,399,21,0,37,0,Kickoff Return
J.J. Green,GT,14,345,24.64,0,96t,1,Kickoff Return
Henri Murphy,VT,12,321,26.75,0,47,0,Kickoff Return
Malik Williams,LOU,14,315,22.5,0,35,0,Kickoff Return
Seth Dawkins,LOU,14,306,21.86,0,30,0,Kickoff Return
Traveon Samuel,LOU,11,190,17.27,0,30,0,Kickoff Return
Nate Cottrell,GT,9,187,20.78,0,27,0,Kickoff Return
Brisly Estime,SYR,10,183,18.3,0,39,0,Kickoff Return
Tavien Feaster,CLEM,7,141,20.14,0,22,0,Kickoff Return
Steven Claude,WF,9,141,15.67,0,30,0,Kickoff Return
Anthony Ratliff-Williams,UNC,7,138,19.71,0,32,0,Kickoff Return
Der'Woun Greene,VT,5,113,22.6,0,37,0,Kickoff Return
Michael Walker,BC,6,101,16.83,0,20,0,Kickoff Return
Rafael Araujo-Lopes,PITT,3,98,32.67,0,69,0,Kickoff Return
Tyler Rouse,BC,2,74,37,0,44,0,Kickoff Return
Chris Sharp,UVA,4,73,18.25,0,31,0,Kickoff Return
Keith Gavin,FSU,1,66,66,0,66,0,Kickoff Return
Steven Peoples,VT,3,61,20.33,0,26,0,Kickoff Return
Ryan Green,FSU,4,61,15.25,0,23,0,Kickoff Return
C.J. Fuller,CLEM,3,53,17.67,0,25,0,Kickoff Return
Khris Francis,UNC,4,51,12.75,0,20,0,Kickoff Return
Bra'Lon Cherry,NCST,3,50,16.67,1,19,0,Kickoff Return
Albert Reid,UVA,1,42,42,0,42,0,Kickoff Return
DeVon Edwards,DUKE,2,41,20.5,0,21,0,Kickoff Return
Braxton Berrios,MIA,2,40,20,0,32,0,Kickoff Return
Lance Austin,GT,3,38,12.67,0,14,0,Kickoff Return
Taj-Amir Torres,BC,1,30,30,0,30,0,Kickoff Return
Daniel Hamm,UVA,1,24,24,0,24,0,Kickoff Return
Justin Jones,NCST,1,22,22,0,22,0,Kickoff Return
Avonte Maddox,PITT,1,20,20,0,20,0,Kickoff Return
Taquan Mizzell,UVA,1,20,20,0,20,0,Kickoff Return
Ricky Walker,VT,2,19,9.5,0,11,0,Kickoff Return
Joseph Ajeigbe,DUKE,1,17,17,0,17,0,Kickoff Return
Chuck Wade,WF,1,16,16,0,16,0,Kickoff Return
Connor Wingo-Reeves,UVA,1,16,16,0,17,0,Kickoff Return
Hernz Laguerre,SYR,1,15,15,0,15,0,Kickoff Return
Sam Rogers,VT,1,15,15,0,15,0,Kickoff Return
Tim Settle,VT,2,15,7.5,0,9,0,Kickoff Return
Jaire Alexander,LOU,1,14,14,0,14,0,Kickoff Return
Ricky Aguayo,FSU,1,12,12,0,12,0,Kickoff Return
Jordan Ellis,UVA,1,12,12,0,12,0,Kickoff Return
Dan Mastromatteo,UNC,1,11,11,0,11,0,Kickoff Return
Amir Rasul,FSU,1,11,11,0,11,0,Kickoff Return
Jeff Smith,BC,1,9,9,0,9,0,Kickoff Return
Matthew Jordan,GT,1,8,8,0,8,0,Kickoff Return
Rachid Ibrahim,PITT,2,7,3.5,0,7,0,Kickoff Return
Jaylen Samuels,NCST,1,4,4,0,4,0,Kickoff Return
Jaymar Parrish,PITT,1,2,2,0,2,0,Kickoff Return
Grant Dawson,WF,1,1,1,0,1,0,Kickoff Return
Jack Freudenthal,WF,1,1,1,0,1,0,Kickoff Return
Eric Gallon,UVA,0,0,0,1,0,0,Kickoff Return
Thaddeus Moss,NCST,0,0,0,1,0,0,Kickoff Return
Milan Richard,CLEM,0,0,0,1,0,0,Kickoff Return
Brad Stewart,GT,0,0,0,1,0,0,Kickoff Return
George Aston,PITT,1,0,0,0,0,0,Kickoff Return
Warren Craft,UVA,1,0,0,0,0,0,Kickoff Return
Grant Radakovich,CLEM,1,-3,-3,0,0,0,Kickoff Return
Oluwaseun Idowu,PITT,1,-4,-4,0,0,0,Kickoff Return
