Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,Stat Type
Deshaun Watson,CLEM,577,386,66.9,"4,589",8,41,7.1,17,2.9,65t,17,93,151.3,Passing
Mitch Trubisky,UNC,447,304,68,"3,748",8.4,30,6.7,6,1.3,75t,20,132,157.9,Passing
Jerod Evans,VT,422,268,63.5,"3,552",8.4,29,6.9,8,1.9,62,32,162,153.1,Passing
Lamar Jackson,LOU,409,230,56.2,"3,543",8.7,30,7.3,9,2.2,74t,45,316,148.8,Passing
Brad Kaaya,MIA,421,261,62,"3,532",8.4,27,6.4,7,1.7,77t,25,173,150.3,Passing
Deondre Francois,FSU,400,235,58.8,"3,350",8.4,20,5,7,1.8,92t,34,286,142.1,Passing
Ryan Finley,NCST,402,243,60.4,"3,050",7.6,18,4.5,8,2,80t,15,98,135,Passing
Nathan Peterman,PITT,306,185,60.5,"2,855",9.3,27,8.8,7,2.3,79t,10,75,163.4,Passing
Daniel Jones,DUKE,430,270,62.8,"2,836",6.6,16,3.7,9,2.1,64t,28,149,126.3,Passing
Eric Dungey,SYR,355,230,64.8,"2,679",7.5,15,4.2,7,2,72t,21,119,138.2,Passing
Kurt Benkert,UVA,406,228,56.2,"2,552",6.3,21,5.2,11,2.7,84,30,213,120.6,Passing
John Wolford,WF,299,166,55.5,"1,774",5.9,9,3,10,3.3,48,33,205,108.6,Passing
Patrick Towles,BC,273,138,50.5,"1,762",6.5,12,4.4,7,2.6,58t,26,171,114.1,Passing
Justin Thomas,GT,149,80,53.7,"1,599",10.7,8,5.4,2,1.3,83t,13,93,158.9,Passing
Zack Mahoney,SYR,135,82,60.7,943,7,8,5.9,4,3,81t,15,77,133,Passing
Nick Schuessler,CLEM,33,23,69.7,334,10.1,3,9.1,0,0,45t,2,18,184.7,Passing
Matt Johns,UVA,63,36,57.1,314,5,2,3.2,5,7.9,44,3,16,93.6,Passing
Kyle Bolin,LOU,27,18,66.7,234,8.7,2,7.4,1,3.7,35,1,9,156.5,Passing
Kyle Kearns,WF,35,13,37.1,206,5.9,0,0,2,5.7,51,4,31,75.2,Passing
Jalan McClendon,NCST,30,16,53.3,176,5.9,1,3.3,4,13.3,29,2,12,86.9,Passing
Kendall Hinton,WF,19,11,57.9,174,9.2,0,0,1,5.3,62,2,15,124.3,Passing
Austin Wilson,SYR,27,17,63,116,4.3,0,0,2,7.4,20,1,7,84.2,Passing
Matthew Jordan,GT,9,3,33.3,111,12.3,1,11.1,1,11.1,77t,1,6,151.4,Passing
Darius Wade,BC,19,9,47.4,100,5.3,0,0,1,5.3,24,1,11,81.1,Passing
Dontae Strickland,SYR,1,1,100,84,84,1,100,0,0,84t,0,0,1135.6,Passing
Brenden Motley,VT,20,9,45,81,4,1,5,0,0,31t,0,0,95.5,Passing
Gavin Locklear,NCST,3,2,66.7,66,22,0,0,0,0,38,0,0,251.5,Passing
Sean Maguire,FSU,12,7,58.3,64,5.3,2,16.7,1,8.3,28,1,10,141.5,Passing
Jaylen Samuels,NCST,1,1,100,59,59,1,100,0,0,59t,0,0,925.6,Passing
Nathan Elliott,UNC,9,8,88.9,55,6.1,0,0,0,0,20,0,0,140.2,Passing
Kelly Bryant,CLEM,9,6,66.7,48,5.3,1,11.1,0,0,15,1,3,148.1,Passing
Parker Boehme,DUKE,9,7,77.8,41,4.6,2,22.2,0,0,18,2,12,189.4,Passing
Malik Rosier,MIA,4,2,50,32,8,0,0,0,0,17,0,0,117.2,Passing
Jakobi Meyers,NCST,2,1,50,27,13.5,0,0,0,0,27,0,0,163.4,Passing
Tucker Israel,CLEM,4,4,100,25,6.2,0,0,0,0,17,0,0,152.5,Passing
Jeff Smith,BC,2,2,100,25,12.5,1,50,0,0,20t,0,0,370,Passing
Brisly Estime,SYR,1,1,100,23,23,0,0,0,0,23,0,0,293.2,Passing
Mitchell Ludwig,VT,1,1,100,20,20,0,0,0,0,20,0,0,268,Passing
J.J. Cosentino,FSU,9,2,22.2,19,2.1,1,11.1,0,0,12t,1,5,76.6,Passing
Ben DiNucci,PITT,9,3,33.3,16,1.8,1,11.1,2,22.2,7,0,0,40.5,Passing
Davon Jones,BC,2,1,50,14,7,1,50,0,0,14t,0,0,273.8,Passing
Sam Rogers,VT,1,1,100,13,13,1,100,0,0,13t,0,0,539.2,Passing
Tre Tipton,PITT,1,1,100,11,11,0,0,0,0,11,0,0,192.4,Passing
Ervin Philips,SYR,1,1,100,10,10,0,0,0,0,10,0,0,184,Passing
James Barnes,CLEM,1,1,100,9,9,0,0,0,0,9,0,0,175.6,Passing
TaQuon Marshall,GT,1,1,100,9,9,0,0,0,0,9,1,7,175.6,Passing
Austin Proehl,UNC,1,1,100,8,8,0,0,0,0,8,0,0,167.2,Passing
Connor Brewer,UVA,12,2,16.7,6,0.5,0,0,0,0,3,2,15,20.9,Passing
Sean Avant,SYR,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Jack Click,VT,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Hasise Dubois,UVA,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Isaiah Ford,VT,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Quentin Harris,DUKE,3,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Dedrick Mills,GT,1,0,0,0,0,0,0,1,100,0,0,0,-200,Passing
Taquan Mizzell,UVA,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Moe Neal,SYR,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Brian O'Neill,PITT,2,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Austin Parker,DUKE,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Brad Stewart,GT,0,0,0,0,0,0,0,0,0,0,1,4,0,Passing
Ryan Switzer,UNC,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Ryan Winslow,PITT,2,0,0,0,0,0,0,0,0,0,0,0,0,Passing
