Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Anthony Ratliff-Williams,UNC,34,895,26.32,0,98t,2,Kickoff Return
Joe Reed,UVA,29,861,29.69,0,98t,2,Kickoff Return
Michael Walker,BC,36,849,23.58,0,55,0,Kickoff Return
Sean Riley,SYR,29,710,24.48,0,64,0,Kickoff Return
Jeff Thomas,MIA,32,691,21.59,0,38,0,Kickoff Return
Shaun Wilson,DUKE,26,609,23.42,0,76,0,Kickoff Return
Quadree Henderson,PITT,25,524,20.96,0,36,0,Kickoff Return
Nate Cottrell,GT,23,470,20.43,0,35,0,Kickoff Return
Nyheim Hines,NCST,21,469,22.33,0,50,0,Kickoff Return
Greg Dortch,WF,18,397,22.06,0,40,0,Kickoff Return
Travis Etienne,CLEM,19,389,20.47,0,39,0,Kickoff Return
Seth Dawkins,LOU,12,255,21.25,0,43,0,Kickoff Return
Chuck Wade,WF,10,241,24.1,0,30,0,Kickoff Return
Travon McMillian,VT,9,240,26.67,0,70,0,Kickoff Return
Jaylen Samuels,NCST,9,213,23.67,0,58,0,Kickoff Return
Amir Rasul,FSU,9,205,22.78,0,39,0,Kickoff Return
Traveon Samuel,LOU,11,203,18.45,0,35,0,Kickoff Return
Keith Gavin,FSU,7,178,25.43,0,81,0,Kickoff Return
James Clark,VT,7,173,24.71,0,44,0,Kickoff Return
Derwin James,FSU,6,170,28.33,0,49,0,Kickoff Return
Henri Murphy,VT,7,151,21.57,0,30,0,Kickoff Return
Olamide Zaccheaus,UVA,7,145,20.71,0,31,0,Kickoff Return
Omahri Jarrett,GT,8,144,18,0,24,0,Kickoff Return
Tabari Hines,WF,4,93,23.25,0,27,0,Kickoff Return
Nykeim Johnson,SYR,4,91,22.75,0,34,0,Kickoff Return
Alex Bachman,WF,4,69,17.25,0,20,0,Kickoff Return
Daniel Hamm,UVA,4,68,17,0,21,0,Kickoff Return
Cornell Powell,CLEM,3,65,21.67,0,22,0,Kickoff Return
Jerry Howard,GT,4,64,16,0,20,0,Kickoff Return
Ben Glines,BC,5,61,12.2,0,24,0,Kickoff Return
Maurice Trowell,NCST,2,57,28.5,0,34,0,Kickoff Return
Jovonn Quillen,VT,2,49,24.5,0,25,0,Kickoff Return
Lamont Simmons,GT,1,42,42,0,42t,1,Kickoff Return
George Campbell,FSU,2,40,20,0,24,0,Kickoff Return
DeeJay Dallas,MIA,2,40,20,0,22,0,Kickoff Return
Deon Jackson,DUKE,2,39,19.5,0,24,0,Kickoff Return
Brittain Brown,DUKE,1,38,38,0,38,0,Kickoff Return
D.J. Matthews,FSU,1,37,37,0,37,0,Kickoff Return
Amari Rodgers,CLEM,1,36,36,0,36,0,Kickoff Return
M.J. Stewart,UNC,2,36,18,0,23,0,Kickoff Return
Hasise Dubois,UVA,1,32,32,0,32,0,Kickoff Return
Tavien Feaster,CLEM,2,31,15.5,0,16,0,Kickoff Return
Allen Cater,UNC,3,31,10.33,0,13,0,Kickoff Return
J.J. Green,GT,2,30,15,0,20,0,Kickoff Return
Kobay White,BC,1,28,28,0,28,0,Kickoff Return
Michael Carter,UNC,2,28,14,0,14,0,Kickoff Return
Ricky Jeune,GT,1,25,25,0,18,0,Kickoff Return
Kenneth Ruff,SYR,2,25,12.5,1,15,0,Kickoff Return
Travis Homer,MIA,1,18,18,0,18,0,Kickoff Return
Avonte Maddox,PITT,1,16,16,0,16,0,Kickoff Return
Arkeem Byrd,WF,1,14,14,0,14,0,Kickoff Return
Shyheim Cullen,SYR,1,13,13,0,13,0,Kickoff Return
Harry Trotter,LOU,1,13,13,0,13,0,Kickoff Return
Andrew Armstrong,SYR,1,12,12,0,12,0,Kickoff Return
Mark Birmingham,DUKE,1,12,12,1,12,0,Kickoff Return
Chris Elmore,SYR,1,12,12,0,12,0,Kickoff Return
Ray Ray McCloud,CLEM,1,12,12,0,12,0,Kickoff Return
Charles Standberry,LOU,1,12,12,0,12,0,Kickoff Return
Naseir Upshur,FSU,1,12,12,0,12,0,Kickoff Return
Carlos Becker III,FSU,1,11,11,0,11,0,Kickoff Return
Hunter Crafford,UNC,1,11,11,0,11,0,Kickoff Return
Reggie Gallaspy II,NCST,1,11,11,0,11,0,Kickoff Return
Maurice Ffrench,PITT,2,11,5.5,0,9,0,Kickoff Return
KeShun Freeman,GT,0,10,0,0,5,0,Kickoff Return
Tomon Fox,UNC,1,10,10,0,10,0,Kickoff Return
Colton Cardinal,BC,1,8,8,0,8,0,Kickoff Return
Erik Sellers,PITT,1,8,8,0,8,0,Kickoff Return
Mark Walton,MIA,0,4,0,0,4,0,Kickoff Return
Matt Flanagan,PITT,1,3,3,0,0,0,Kickoff Return
Tee Higgins,CLEM,1,3,3,0,3,0,Kickoff Return
C.J. Fuller,CLEM,1,2,2,0,2,0,Kickoff Return
T.D. Roof,GT,1,2,2,0,2,0,Kickoff Return
Kevin Bletzer,BC,0,0,0,1,0,0,Kickoff Return
Richard Burney,UVA,0,0,0,1,0,0,Kickoff Return
Brandon Fritts,UNC,0,0,0,1,0,0,Kickoff Return
Korab Idrizi,BC,0,0,0,1,0,0,Kickoff Return
Tabarius Peterson,LOU,0,0,0,1,0,0,Kickoff Return
Jaylen Smith,LOU,0,0,0,1,0,0,Kickoff Return
Matt Stevens,NCST,0,0,0,1,0,0,Kickoff Return
Jessie Bates,WF,1,0,0,0,0,0,Kickoff Return
Chris Cunningham,VT,1,0,0,0,0,0,Kickoff Return
Scotty Washington,WF,1,0,0,0,0,0,Kickoff Return
Terrell Lewis,GT,0,-3,0,0,0,0,Kickoff Return
Jalen Camp,GT,0,-9,0,0,0,0,Kickoff Return
