Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Lamar Jackson,LOU,232,"1,799",198,"1,601",6.9,75,18,Rushing
AJ Dillon,BC,300,"1,622",33,"1,589",5.3,75t,14,Rushing
TaQuon Marshall,GT,247,"1,322",176,"1,146",4.64,78t,17,Rushing
Nyheim Hines,NCST,197,"1,142",30,"1,112",5.64,83t,12,Rushing
KirVonte Benson,GT,204,"1,073",20,"1,053",5.16,65,6,Rushing
Cam Akers,FSU,194,"1,094",69,"1,025",5.28,63t,7,Rushing
Travis Homer,MIA,163,998,32,966,5.93,64t,8,Rushing
Jordan Ellis,UVA,215,886,50,836,3.89,25,6,Rushing
Shaun Wilson,DUKE,162,855,37,818,5.05,65t,6,Rushing
Travis Etienne,CLEM,107,781,15,766,7.16,81t,13,Rushing
Matt Colburn,WF,145,789,35,754,5.2,76t,6,Rushing
Jacques Patrick,FSU,132,767,32,735,5.57,69,7,Rushing
Brittain Brown,DUKE,130,719,18,701,5.39,39t,7,Rushing
John Wolford,WF,140,783,100,683,4.88,33,10,Rushing
Tavien Feaster,CLEM,107,678,9,669,6.25,89t,7,Rushing
Kelly Bryant,CLEM,192,884,219,665,3.46,47,11,Rushing
Jon Hilliman,BC,167,686,48,638,3.82,45,5,Rushing
Darrin Hall,PITT,128,660,32,628,4.91,92t,9,Rushing
Jordon Brown,UNC,137,656,41,615,4.49,56,4,Rushing
Eric Dungey,SYR,143,787,192,595,4.16,74,9,Rushing
Michael Carter,UNC,96,569,11,558,5.81,56,8,Rushing
Malik Williams,LOU,67,545,14,531,7.93,74,4,Rushing
Deshawn McClease,VT,108,542,12,530,4.91,23,3,Rushing
Daniel Jones,DUKE,161,767,249,518,3.22,33,7,Rushing
Reggie Gallaspy II,NCST,116,539,33,506,4.36,30,7,Rushing
Moe Neal,SYR,92,501,13,488,5.3,71,1,Rushing
Dontae Strickland,SYR,128,501,19,482,3.77,43t,4,Rushing
Malik Rosier,MIA,131,619,151,468,3.57,36,5,Rushing
Reggie Bonnafon,LOU,93,480,21,459,4.94,64t,7,Rushing
Travon McMillian,VT,104,448,9,439,4.22,23t,2,Rushing
Mark Walton,MIA,56,445,17,428,7.64,82,3,Rushing
Jaylen Samuels,NCST,78,444,37,407,5.22,40t,12,Rushing
Qadree Ollison,PITT,90,417,19,398,4.42,32,5,Rushing
Arkeem Byrd,WF,77,406,11,395,5.13,59t,1,Rushing
Adam Choice,CLEM,67,336,10,326,4.87,39t,6,Rushing
Josh Jackson,VT,124,498,174,324,2.61,46,6,Rushing
Thaddius Smith,BC,37,307,12,295,7.97,76t,2,Rushing
Nate Cottrell,GT,33,280,9,271,8.21,69,0,Rushing
Steven Peoples,VT,70,274,7,267,3.81,13,2,Rushing
Quadree Henderson,PITT,36,260,9,251,6.97,26,0,Rushing
Dae Williams,LOU,38,238,3,235,6.18,44,3,Rushing
Cade Carney,WF,63,238,6,232,3.68,17,2,Rushing
Jalen Holston,VT,70,239,13,226,3.23,14,3,Rushing
Coleman Fox,VT,39,229,6,223,5.72,35,1,Rushing
Anthony Brown,BC,40,258,41,217,5.42,30,1,Rushing
DeeJay Dallas,MIA,41,227,10,217,5.29,39t,3,Rushing
C.J. Fuller,CLEM,58,237,20,217,3.74,26t,3,Rushing
Qua Searcy,GT,36,220,3,217,6.03,42t,1,Rushing
Chazz Surratt,UNC,85,399,189,210,2.47,59t,5,Rushing
Clinton Lynch,GT,28,215,6,209,7.46,48,0,Rushing
Ryan Finley,NCST,69,316,122,194,2.81,46,3,Rushing
Kendall Hinton,WF,46,226,36,190,4.13,37,1,Rushing
Olamide Zaccheaus,UVA,27,187,5,182,6.74,56t,1,Rushing
Jerry Howard,GT,23,176,1,175,7.61,65t,2,Rushing
J.J. Green,GT,21,157,1,156,7.43,30,2,Rushing
Amir Rasul,FSU,33,159,7,152,4.61,23,0,Rushing
Jordan Whitehead,PITT,22,158,16,142,6.45,35t,1,Rushing
Nathan Elliott,UNC,47,205,71,134,2.85,16,0,Rushing
A.J. Bush,VT,19,135,6,129,6.79,34,0,Rushing
Ben DiNucci,PITT,54,245,117,128,2.37,31,1,Rushing
Ryan Green,FSU,13,127,1,126,9.69,50t,3,Rushing
Trey Smith,LOU,21,124,0,124,5.9,20,0,Rushing
Chawntez Moss,PITT,42,122,6,116,2.76,11,2,Rushing
Sean Savoy,VT,24,134,18,116,4.83,17,2,Rushing
Joe Reed,UVA,21,117,5,112,5.33,29,1,Rushing
Jeff Smith,BC,10,121,14,107,10.7,64t,1,Rushing
Daniel Hamm,UVA,26,110,11,99,3.81,16,1,Rushing
Deon Jackson,DUKE,32,101,4,97,3.03,9,0,Rushing
Kenny Pickett,PITT,26,107,14,93,3.58,22t,2,Rushing
Markenzy Pierre,SYR,25,95,6,89,3.56,13,0,Rushing
Brandon Harris,UNC,34,159,73,86,2.53,27,0,Rushing
Isaiah Robinson,WF,22,88,6,82,3.73,21,1,Rushing
Johnathon Sutton,UNC,14,83,2,81,5.79,17,0,Rushing
Ervin Philips,SYR,11,79,3,76,6.91,15,1,Rushing
Maurice Ffrench,PITT,9,74,3,71,7.89,20,0,Rushing
Quentin Harris,DUKE,29,81,10,71,2.45,12,2,Rushing
Quaide Weimerskirch,GT,16,70,0,70,4.38,19t,1,Rushing
Colin Wilson,LOU,6,69,0,69,11.5,21,0,Rushing
Jalan McClendon,NCST,6,67,0,67,11.17,29,0,Rushing
Jawon Pass,LOU,13,83,21,62,4.77,34,1,Rushing
Chris Elmore,SYR,23,56,0,56,2.43,12,1,Rushing
Matthew Jordan,GT,15,66,10,56,3.73,12,1,Rushing
Rex Culpepper,SYR,21,88,34,54,2.57,12,0,Rushing
Travis Levy,BC,21,66,12,54,2.57,19,0,Rushing
Dazz Newsome,UNC,8,52,0,52,6.5,20,0,Rushing
Sean Riley,SYR,4,47,0,47,11.75,41,0,Rushing
Traveon Samuel,LOU,4,46,0,46,11.5,15,0,Rushing
Zack Mahoney,SYR,15,59,15,44,2.93,13,0,Rushing
Trayone Gray,MIA,7,42,0,42,6,14,0,Rushing
A.J. Davis,PITT,16,41,1,40,2.5,12,1,Rushing
Chris Sharp,UVA,11,49,9,40,3.64,9,1,Rushing
Darien Rencher,CLEM,9,38,0,38,4.22,21,0,Rushing
Dakwa Nichols,NCST,8,39,2,37,4.62,14,1,Rushing
Ty Thomason,CLEM,5,37,0,37,7.4,11,0,Rushing
PK Kier,UVA,6,32,0,32,5.33,12,0,Rushing
Ricky Jeune,GT,1,30,0,30,30,30,0,Rushing
Ray Ray McCloud,CLEM,6,30,0,30,5,11,0,Rushing
De'Vante Cross,UVA,5,27,0,27,5.4,13,0,Rushing
Tobias Little,LOU,9,28,1,27,3,10,0,Rushing
Harry Trotter,LOU,4,29,2,27,6.75,13,0,Rushing
