Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type,Year,Team,Total_Int,Total_Yds_Gained,Def_Per_Play_Avg,Total_Def_TD,Total_Tack,Total_Sack,Total_Yds_Lost,Stat_Type
BC,7,185,26.43,58,0,46,37,83,0,0,Defense,2017,BC,18,388,21.38,2,577,14,90,Defense
BC,2,1,0.5,1,0,48,59,107,5,23,Defense,2017,CLEM,14,214,19.22,3,408,15,74,Defense
BC,2,30,15,21,0,36,17,53,0,0,Defense,2017,DUKE,15,224,18.7,4,367,9,42,Defense
BC,2,43,21.5,27,0,8,8,16,0,0,Defense,2017,FSU,9,88,9.75,2,254,4,34,Defense
BC,1,0,0,0,0,47,53,100,4,30,Defense,2017,GT,6,98,14.42,1,234,2,6,Defense
BC,1,0,0,0,0,45,38,83,1,10,Defense,2017,LOU,13,230,23.89,2,336,5,44,Defense
BC,1,24,24,24,0,14,25,39,3,15,Defense,2017,MIA,17,228,15.08,2,406,11,76,Defense
BC,1,40,40,40t,1,32,31,63,1,12,Defense,2017,NCST,14,202,13.22,2,429,4,34,Defense
BC,1,65,65,65t,1,22,11,33,0,0,Defense,2017,PITT,9,84,8.69,0,306,6,43,Defense
CLEM,3,0,0,0,0,30,10,40,0,0,Defense,2017,SYR,4,62,15.5,1,180,0,0,Defense
CLEM,3,12,4,12t,1,28,5,33,0,0,Defense,2017,UNC,7,100,18.1,0,214,0,0,Defense
CLEM,2,66,33,44t,2,51,37,88,5,35,Defense,2017,UVA,15,154,11.39,1,432,12,78,Defense
CLEM,1,0,0,0,0,30,20,50,9,37,Defense,2017,VT,12,252,19.58,2,331,12,67,Defense
CLEM,1,0,0,0,0,9,5,14,0,0,Defense,,,,,,,,,,
CLEM,1,6,6,6,0,4,8,12,0,0,Defense,,,,,,,,,,
CLEM,1,37,37,37,0,36,60,96,1,2,Defense,,,,,,,,,,
CLEM,1,38,38,38,0,28,21,49,0,0,Defense,,,,,,,,,,
CLEM,1,55,55,55,0,22,4,26,0,0,Defense,,,,,4,,,,,
DUKE,6,7,1.17,7,0,19,16,35,0,0,Defense,,,,,,,,,,
DUKE,3,78,26,42t,1,34,24,58,0,0,Defense,,,,,,,,,,
DUKE,3,81,27,61t,2,27,12,39,0,0,Defense,,,,,,,,,,
DUKE,1,10,10,10,0,54,71,125,4,16,Defense,,,,,,,,,,
DUKE,1,22,22,22t,1,33,37,70,3,15,Defense,,,,,,,,,,
DUKE,1,26,26,26,0,19,21,40,2,11,Defense,,,,,,,,,,
FSU,2,0,0,0,0,20,7,27,1,7,Defense,,,,,,,,,,
FSU,2,18,9,18t,1,11,7,18,0,0,Defense,,,,,,,,,,
FSU,2,41,20.5,41t,1,49,35,84,1,1,Defense,,,,,,,,,,
FSU,1,0,0,0,0,24,2,26,0,0,Defense,,,,,,,,,,
FSU,1,0,0,0,0,6,8,14,0,0,Defense,,,,,,,,,,
FSU,1,29,29,29,0,43,42,85,2,26,Defense,,,,,,,,,,
GT,2,23,11.5,19,0,43,11,54,1,4,Defense,,,,,,,,,,
GT,1,0,0,0,0,25,5,30,1,2,Defense,,,,,,,,,,
GT,1,21,21,21,0,42,14,56,0,0,Defense,,,,,,,,,,
GT,1,27,27,27,0,37,13,50,0,0,Defense,,,,,,,,,,
GT,1,27,27,27t,1,22,12,34,0,0,Defense,,,,,,,,,,
