Team,Punts,Yds,Avg,Lg,TB,In20,Blk,Net,Ret,RYds,Stat Type
FSU,82,"3,545",43.2,61,5,14,1,37.1,33,364,Punting
SYR,67,"2,874",42.9,58,4,26,0,39.3,16,158,Punting
VT,69,"2,940",42.6,72,5,23,0,38.4,19,190,Punting
NCST,49,"2,076",42.4,72,4,22,0,38.9,15,88,Punting
WF,77,"3,217",41.8,56,3,24,0,38.2,23,219,Punting
UVA,51,"2,130",41.8,61,6,20,0,39,13,22,Punting
PITT,74,"3,067",41.4,73,4,19,0,37.4,31,222,Punting
DUKE,67,"2,772",41.4,57,4,23,0,37.5,24,178,Punting
GT,35,"1,447",41.3,62,2,14,0,38.5,10,60,Punting
LOU,69,"2,798",40.6,64,2,19,0,36.5,25,239,Punting
BC,69,"2,774",40.2,54,2,25,1,35.9,28,223,Punting
UNC,50,"1,993",39.9,60,0,16,0,38.7,16,56,Punting
CLEM,64,"2,541",39.7,63,4,19,0,36.6,16,121,Punting
MIA,34,"1,282",37.7,53,0,11,0,32.9,13,163,Punting
