Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Travis Etienne,CLEM,204,"1,675",17,"1,658",8.13,75t,24,Rushing
Qadree Ollison,PITT,194,"1,245",32,"1,213",6.25,97t,11,Rushing
Darrin Hall,PITT,153,"1,177",33,"1,144",7.48,75t,10,Rushing
AJ Dillon,BC,227,"1,154",46,"1,108",4.88,74t,10,Rushing
Reggie Gallaspy II,NCST,228,"1,150",59,"1,091",4.79,86,18,Rushing
Jordan Ellis,UVA,215,"1,037",11,"1,026",4.77,75t,10,Rushing
Cade Carney,WF,188,"1,031",26,"1,005",5.35,48,8,Rushing
Travis Homer,MIA,164,"1,019",34,985,6.01,70,4,Rushing
TaQuon Marshall,GT,216,"1,125",153,972,4.5,45t,11,Rushing
Bryce Perkins,UVA,212,"1,189",266,923,4.35,47,9,Rushing
Tobias Oliver,GT,152,929,53,876,5.76,65,12,Rushing
Moe Neal,SYR,154,876,9,867,5.63,68,5,Rushing
Deon Jackson,DUKE,161,868,21,847,5.26,75t,7,Rushing
Steven Peoples,VT,158,812,26,786,4.97,87t,6,Rushing
Matt Colburn,WF,159,809,34,775,4.87,74t,5,Rushing
Eric Dungey,SYR,184,949,195,754,4.1,49,15,Rushing
Cam Akers,FSU,161,785,79,706,4.39,85,6,Rushing
Jordan Mason,GT,108,660,1,659,6.1,46,7,Rushing
DeeJay Dallas,MIA,109,634,17,617,5.66,83t,6,Rushing
Michael Carter,UNC,84,621,24,597,7.11,49,2,Rushing
Dontae Strickland,SYR,121,606,18,588,4.86,51,6,Rushing
Jerry Howard,GT,107,574,10,564,5.27,52,5,Rushing
Adam Choice,CLEM,77,555,7,548,7.12,64t,7,Rushing
Lyn-J Dixon,CLEM,62,558,11,547,8.82,65t,5,Rushing
Antonio Williams,UNC,91,516,12,504,5.54,56,5,Rushing
Malik Cunningham,LOU,79,536,39,497,6.29,75t,5,Rushing
Ricky Person Jr.,NCST,112,520,49,471,4.21,38,2,Rushing
Tavien Feaster,CLEM,78,451,11,440,5.64,70t,6,Rushing
Deshawn McClease,VT,96,468,35,433,4.51,27,2,Rushing
Ben Glines,BC,68,392,12,380,5.59,41,3,Rushing
Jacques Patrick,FSU,108,410,32,378,3.5,18,1,Rushing
Brittain Brown,DUKE,80,389,20,369,4.61,43t,3,Rushing
Nate Cottrell,GT,46,364,2,362,7.87,34,4,Rushing
Ryan Willis,VT,113,552,198,354,3.13,39,4,Rushing
Qua Searcy,GT,35,369,20,349,9.97,56,3,Rushing
Jordon Brown,UNC,81,371,24,347,4.28,24,3,Rushing
Daniel Jones,DUKE,104,504,185,319,3.07,68,3,Rushing
Jarveon Howard,SYR,68,327,12,315,4.63,52,7,Rushing
Hassan Hall,LOU,70,339,36,303,4.33,32,3,Rushing
Malik Rosier,MIA,57,381,81,300,5.26,62,6,Rushing
Jalen Holston,VT,57,284,3,281,4.93,40t,2,Rushing
Sam Hartman,WF,107,439,164,275,2.57,23,2,Rushing
Trey Smith,LOU,50,267,4,263,5.26,52t,4,Rushing
David Bailey,BC,57,256,3,253,4.44,35,2,Rushing
Jamie Newman,WF,64,305,58,247,3.86,27,4,Rushing
Christian Beal-Smith,WF,47,252,21,231,4.91,52,0,Rushing
Jeremy Smith,LOU,45,247,18,229,5.09,40,0,Rushing
Javonte Williams,UNC,43,226,2,224,5.21,22,5,Rushing
Kenny Pickett,PITT,117,485,265,220,1.88,30t,3,Rushing
Travis Levy,BC,49,228,13,215,4.39,29t,2,Rushing
Colin Wilson,LOU,39,217,9,208,5.33,32,1,Rushing
Clinton Lynch,GT,41,215,9,206,5.02,25,2,Rushing
V'Lique Carter,PITT,25,209,7,202,8.08,62,2,Rushing
Quentin Harris,DUKE,46,213,18,195,4.24,28,5,Rushing
Trevor Lawrence,CLEM,60,283,106,177,2.95,32,1,Rushing
N'Kosi Perry,MIA,61,278,109,169,2.77,41,1,Rushing
Kendall Hinton,WF,22,178,11,167,7.59,53,2,Rushing
Cam'Ron Harris,MIA,28,171,5,166,5.93,42t,2,Rushing
Maurice Ffrench,PITT,19,170,6,164,8.63,31,2,Rushing
Jeff Smith,BC,19,149,7,142,7.47,30,1,Rushing
Lorenzo Lingard,MIA,17,138,2,136,8,64t,2,Rushing
A.J. Davis,PITT,32,142,8,134,4.19,14,0,Rushing
Kelly Bryant,CLEM,30,171,41,130,4.33,35t,2,Rushing
Brady Bodine,NCST,28,140,12,128,4.57,39t,3,Rushing
Terius Wheatley,VT,21,128,2,126,6,18,1,Rushing
Marvin Hubbard III,DUKE,30,122,4,118,3.93,16,0,Rushing
KirVonte Benson,GT,15,119,3,116,7.73,17,2,Rushing
Tre Turner,VT,8,105,4,101,12.62,43,1,Rushing
Dazz Newsome,UNC,7,101,5,96,13.71,84t,1,Rushing
Chase Brice,CLEM,16,115,22,93,5.81,28,0,Rushing
Jawon Pass,LOU,76,306,213,93,1.22,49,2,Rushing
Anthony Brown,BC,54,206,121,85,1.57,43,1,Rushing
Trayone Gray,MIA,24,84,1,83,3.46,20,2,Rushing
Anthony Ratliff-Williams,UNC,11,87,4,83,7.55,14,1,Rushing
Olamide Zaccheaus,UVA,16,101,18,83,5.19,29,0,Rushing
T.J. Rahming,DUKE,9,82,0,82,9.11,38,0,Rushing
PK Kier,UVA,26,82,2,80,3.08,13,0,Rushing
Cade Fortin,UNC,14,97,21,76,5.43,40,1,Rushing
Hezekiah Grimsley,VT,12,75,0,75,6.25,17,1,Rushing
Brennan Armstrong,UVA,9,76,2,74,8.22,34,0,Rushing
DeAndre' Delaney,WF,20,78,4,74,3.7,12,0,Rushing
Dae Williams,LOU,22,85,14,71,3.23,21,2,Rushing
EJ Perry,BC,20,97,27,70,3.5,24,1,Rushing
Chazz Surratt,UNC,9,78,9,69,7.67,20,1,Rushing
Trent Pennix,NCST,22,68,0,68,3.09,8,0,Rushing
Darien Rencher,CLEM,15,65,0,65,4.33,15,0,Rushing
Josh Jackson,VT,20,102,41,61,3.05,24,1,Rushing
Shocky Jacques-Louis,PITT,7,69,11,58,8.29,38,0,Rushing
British Brooks,UNC,7,57,0,57,8.14,27,0,Rushing
Hendon Hooker,VT,4,70,13,57,14.25,69t,1,Rushing
Michael Walker,BC,10,57,0,57,5.7,9,0,Rushing
Nicodem Pierre,DUKE,7,50,0,50,7.14,34,1,Rushing
Omahri Jarrett,GT,4,47,0,47,11.75,29,0,Rushing
Amir Rasul,FSU,10,46,0,46,4.6,7t,1,Rushing
Mataeo Durant,DUKE,17,47,4,43,2.53,9,0,Rushing
Jordan Travis,LOU,8,50,10,40,5,25,0,Rushing
Sean Riley,SYR,5,41,4,37,7.4,19,0,Rushing
Mychale Salahuddin,PITT,4,37,0,37,9.25,23,0,Rushing
Derion Kendrick,CLEM,5,41,5,36,7.2,25,0,Rushing
