Year,Team,Rec_Rec,Rec_Yds,Rec_Avg,Rec_Lg,Rec_TD,Def_Int,Def_Yds,Def_Avg,Def_Lg,Def_TD,Def_Solo,Def_Ast,Def_Tot,Def_Sack,Def_YdsL,Kick_PAT_Comp,Kick_PAT_Att,Kick_FG_Comp,Kick_FG_Att,Kick_0-19_Comp,Kick_0-19_Att,Kick_20-29_Comp,Kick_20-29_Att,Kick_30-39_Comp,Kick_30-39_Att,Kick_40-49_Comp,Kick_40-49_Att,Kick_50+_Comp,Kick_50+_Att,Kick_Lg,Kick_Pts,KReturn_Num,KReturn_Yds,KReturn_Avg,KReturn_FC,KReturn_Lg,KReturn_TD,Kickoff_Num,Kickoff_Yds,Kickoff_Avg,Kickoff_Lg,Kickoff_TB,Kickoff_OB,Kickoff_Ret,Kickoff_RYds,Kickoff_TD,Pass_Att,Pass_Cmp,Pass_Pct,Pass_Yds,Pass_YPA,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_Lg,Pass_Sack,Pass_Loss,Pass_Rate,PReturn_Num,PReturn_Yds,PReturn_Avg,PReturn_FC,PReturn_Lg,PReturn_TD,Rush_Att,Rush_Gain,Rush_Loss,Rush_Yds,Rush_Avg,Rush_Lg,Rush_TD,Scor_Pts,Scor_Tot,Scor_R,Scor_P,Scor_KR,Scor_PR,Scor_IR,Scor_FR,Scor_BK,Scor_BP,Scor_FGR,Scor_PAT_Comp,Scor_PAT_Att,Scor_FG_Comp,Scor_FG_Att,Scor_Conv,Scor_Saf,Punt_Punts,Punt_Yds,Punt_Avg,Punt_Lg,Punt_TB,Punt_In20,Punt_Blk,Punt_Net,Punt_Ret,Punt_RYds
2018.00,UVA,197.00,2378.00,12.41,242.00,23.00,17.00,287.00,11.52,62.00,0.00,222.00,166.00,388.00,4.50,25.00,45.00,45.00,15.00,22.00,0.00,0.00,5.00,5.00,7.00,13.00,3.00,3.00,0.00,1.00,46.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018.00,NCST,300.00,3701.00,12.16,278.00,21.00,10.00,113.00,5.69,57.00,1.00,176.00,140.00,316.00,7.00,35.00,51.00,51.00,23.00,26.00,0.00,1.00,15.00,15.00,5.00,6.00,3.00,4.00,0.00,0.00,49.00,120.00,32.00,814.00,15.87,1.00,90.00,1.00,73.00,4619.00,60.20,80.00,47.00,1.00,24.00,599.00,1.00,356.00,228.00,51.13,2751.00,7.28,26.00,6.80,9.00,0.65,86.00,31.00,197.00,133.33,36.00,247.00,6.29,11.00,43.00,0.00,478.00,2485.00,299.00,2186.00,5.12,75.00,19.00,309.00,41.00,19.00,21.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,25,25,12,16,1.00,0.00,51.00,2130.00,41.80,61.00,6.00,20.00,0.00,39.00,13.00,22.00
2018.00,WF,224.00,2837.00,12.01,275.00,25.00,6.00,133.00,22.17,60.00,2.00,174.00,104.00,278.00,2.00,11.00,52.00,52.00,19.00,22.00,0.00,0.00,8.00,9.00,9.00,11.00,2.00,2.00,0.00,0.00,49.00,109.00,20.00,411.00,14.75,5.00,47.00,0.00,84.00,4874.00,57.65,67.00,23.00,0.00,46.00,950.00,0.00,496.00,334.00,51.23,4071.00,11.75,25.00,1.30,11.00,0.58,74.00,12.00,85.00,153.00,15.00,140.00,3.11,24.00,40.00,0.00,403.00,1918.00,124.00,1794.00,3.89,86.00,24.00,368.00,41.00,23.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51,51,23,26,1.00,0.00,49.00,2076.00,42.40,72.00,4.00,22.00,0.00,38.90,15.00,88.00
2018.00,DUKE,243.00,2707.00,10.89,364.00,28.00,4.00,76.00,19.00,53.00,1.00,130.00,56.00,186.00,2.00,13.00,49.00,51.00,9.00,13.00,0.00,0.00,3.00,4.00,6.00,6.00,0.00,3.00,0.00,0.00,35.00,76.00,25.00,506.00,16.15,7.00,38.00,0.00,83.00,5040.00,60.45,65.00,33.00,1.00,46.00,1097.00,1.00,442.00,247.00,34.98,3069.00,3.68,25.00,2.98,13.00,4.50,54.00,33.00,189.00,66.70,32.00,361.00,14.21,22.00,70.00,2.00,607.00,3092.00,318.00,2774.00,4.69,74.00,21.00,353.00,41.00,17.00,22.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,50,50,19,22,0.00,0.00,77.00,3217.00,41.80,56.00,3.00,24.00,0.00,38.20,23.00,219.00
2018.00,SYR,254.00,3245.00,11.14,386.00,19.00,18.00,93.00,5.32,39.00,0.00,264.00,138.00,402.00,6.50,37.00,61.00,61.00,30.00,34.00,1.00,1.00,10.00,11.00,12.00,12.00,4.00,7.00,3.00,3.00,54.00,151.00,37.00,720.00,16.47,1.00,46.00,0.00,72.00,4150.00,60.07,65.00,18.00,2.00,43.00,845.00,0.00,474.00,278.00,70.44,3199.00,10.34,31.00,24.84,10.00,0.76,85.00,30.00,184.00,237.86,28.00,160.00,5.26,20.00,32.00,0.00,454.00,2275.00,252.00,2023.00,4.99,75.00,19.00,322.00,41.00,18.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49,51,9,13,0.00,0.00,67.00,2772.00,41.40,57.00,4.00,23.00,0.00,37.50,24.00,178.00
2018.00,CLEM,294.00,3898.00,11.72,436.00,34.00,12.00,328.00,28.02,46.00,2.00,285.00,172.00,457.00,11.00,69.00,88.00,90.00,12.00,18.00,0.00,0.00,4.00,4.00,5.00,8.00,3.00,6.00,0.00,0.00,49.00,124.00,29.00,560.00,15.52,7.00,43.00,0.00,101.00,6085.00,60.20,65.00,61.00,2.00,22.00,403.00,0.00,461.00,271.00,42.30,3441.00,12.34,22.00,1.90,12.00,1.16,82.00,37.00,243.00,149.94,24.00,356.00,14.47,32.00,69.00,2.00,532.00,2799.00,238.00,2561.00,5.32,68.00,33.00,451.00,50.00,33.00,16.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,61,61,30,34,0.00,0.00,67.00,2874.00,42.90,58.00,4.00,26.00,0.00,39.30,16.00,158.00
2018.00,FSU,243.00,3030.00,11.69,387.00,20.00,12.00,125.00,13.04,63.00,1.00,220.00,132.00,352.00,3.50,20.00,30.00,31.00,11.00,17.00,0.00,0.00,2.00,2.00,3.00,5.00,4.00,8.00,2.00,2.00,53.00,63.00,20.00,454.00,18.05,4.00,43.00,0.00,117.00,7386.00,62.90,71.00,81.00,0.00,32.00,657.00,1.00,506.00,327.00,40.63,4180.00,4.42,37.00,3.52,8.00,1.47,74.00,18.00,122.00,86.45,42.00,300.00,2.67,36.00,62.00,1.00,547.00,3914.00,220.00,3694.00,6.04,75.00,45.00,547.00,73.00,42.00,30.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,76,78,11,16,0.00,0.00,64.00,2541.00,39.70,63.00,4.00,19.00,0.00,36.60,16.00,121.00
2018.00,VT,229.00,3098.00,12.79,353.00,27.00,7.00,27.00,4.50,18.00,0.00,130.00,64.00,194.00,2.50,10.00,48.00,48.00,12.00,19.00,0.00,0.00,4.00,4.00,5.00,5.00,3.00,9.00,0.00,1.00,45.00,84.00,33.00,648.00,16.21,3.00,35.00,0.00,53.00,3275.00,58.55,71.00,37.00,2.00,12.00,305.00,0.00,451.00,260.00,24.40,3241.00,3.38,20.00,2.72,13.00,1.00,78.00,36.00,237.00,59.76,20.00,257.00,6.77,20.00,74.00,1.00,279.00,1241.00,111.00,1130.00,4.16,85.00,8.00,197.00,22.00,9.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30,31,11,17,1.00,0.00,82.00,3545.00,43.20,61.00,5.00,14.00,1.00,37.10,33.00,364.00
2018.00,UNC,210.00,2327.00,10.38,363.00,12.00,7.00,38.00,7.40,19.00,0.00,109.00,49.00,158.00,0.00,0.00,33.00,33.00,18.00,28.00,0.00,0.00,6.00,6.00,6.00,10.00,6.00,11.00,0.00,1.00,49.00,87.00,41.00,928.00,18.22,0.00,51.00,0.00,73.00,4670.00,58.40,79.00,61.00,2.00,8.00,160.00,0.00,428.00,250.00,35.15,3300.00,4.80,29.00,3.80,10.00,1.05,72.00,28.00,191.00,85.85,28.00,175.00,6.64,14.00,20.00,1.00,489.00,2596.00,322.00,2274.00,6.63,87.00,19.00,294.00,35.00,11.00,23.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,44,44,12,18,2.00,0.00,69.00,2940.00,42.60,72.00,5.00,23.00,0.00,38.40,19.00,190.00
2018.00,PITT,138.00,1652.00,10.37,263.00,12.00,9.00,148.00,13.07,79.00,0.00,139.00,63.00,202.00,2.00,13.00,40.00,43.00,13.00,17.00,0.00,0.00,3.00,3.00,2.00,4.00,4.00,5.00,4.00,5.00,55.00,79.00,34.00,723.00,21.10,2.00,38.00,0.00,56.00,3502.00,62.50,65.00,32.00,1.00,20.00,387.00,0.00,414.00,244.00,42.33,2740.00,9.47,14.00,5.54,14.00,14.92,80.00,10.00,69.00,110.27,20.00,286.00,7.53,16.00,75.00,1.00,347.00,2154.00,101.00,2053.00,7.18,84.00,19.00,225.00,23.00,17.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,31,31,18,28,1.00,0.00,50.00,1993.00,39.90,60.00,0.00,16.00,0.00,38.70,16.00,56.00
