Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0001,32,3,HR,Healthcare,13,Hybrid,47,7,2,2,3,0,1,1,1,1,1,3,Europe
EMP0002,40,1,Data Scientist,IT,3,Remote,52,4,1,2,1,0,2,3,2,2,1,3,Asia
EMP0003,59,3,Software Engineer,Education,22,Hybrid,46,11,5,2,1,0,0,4,1,5,0,1,North America
EMP0004,27,2,Software Engineer,Finance,20,Onsite,32,8,4,3,3,1,2,3,1,3,0,1,Europe
EMP0005,49,2,Sales,Consulting,32,Onsite,35,12,2,3,0,1,1,3,1,3,1,2,North America
EMP0006,59,3,Sales,IT,31,Hybrid,39,3,4,3,0,0,2,5,1,1,0,2,South America
EMP0007,31,4,Sales,IT,24,Remote,51,7,3,1,1,1,1,5,0,3,2,1,Asia
EMP0008,42,3,Data Scientist,Manufacturing,6,Onsite,54,7,3,2,3,0,1,5,2,4,0,2,North America
EMP0009,56,4,Data Scientist,Healthcare,9,Hybrid,24,4,2,3,0,1,1,2,1,4,2,1,Europe
EMP0010,30,1,HR,IT,28,Hybrid,57,6,1,1,3,1,1,2,0,1,1,1,North America
EMP0011,33,3,Software Engineer,Finance,17,Remote,48,3,3,3,0,1,1,4,2,2,1,2,Oceania
EMP0012,47,1,Marketing,Consulting,31,Hybrid,26,12,4,2,0,1,0,4,0,3,1,1,Africa
EMP0013,40,1,Marketing,Consulting,1,Remote,21,7,2,3,3,1,1,2,0,1,1,3,Europe
EMP0014,51,3,Designer,Manufacturing,5,Hybrid,45,13,1,1,1,0,1,2,2,5,1,1,North America
EMP0015,36,4,Project Manager,Retail,23,Remote,59,11,3,3,1,1,1,5,0,3,1,2,Oceania
EMP0016,56,1,Sales,Healthcare,13,Remote,44,11,4,1,1,0,0,5,2,4,1,2,Africa
EMP0017,33,4,HR,Education,3,Onsite,52,9,2,2,0,0,0,1,2,1,1,3,Africa
EMP0018,45,3,Data Scientist,Consulting,20,Onsite,37,8,3,1,2,1,1,5,0,5,1,3,Europe
EMP0019,49,3,Software Engineer,IT,30,Remote,36,6,1,3,1,0,0,3,2,2,1,3,Oceania
EMP0020,59,2,Software Engineer,Consulting,13,Remote,59,4,3,2,1,0,1,4,0,1,2,2,South America
EMP0021,26,1,Sales,Retail,33,Hybrid,21,1,2,1,2,0,2,2,2,1,1,1,South America
EMP0022,26,3,Sales,Education,21,Onsite,54,12,3,2,3,0,1,3,1,4,2,1,North America
EMP0023,43,4,Sales,Finance,21,Onsite,57,1,3,1,3,1,2,3,2,4,2,2,Africa
EMP0024,53,3,Marketing,Consulting,11,Onsite,22,12,5,1,3,0,0,2,0,3,1,1,Asia
EMP0025,56,2,Sales,Finance,6,Remote,54,15,3,1,2,0,2,2,0,4,2,2,North America
EMP0026,49,2,Project Manager,Healthcare,23,Onsite,21,14,4,3,2,0,0,4,0,3,0,3,South America
EMP0027,36,3,Project Manager,Retail,30,Onsite,24,12,3,3,0,0,1,4,1,4,0,1,North America
EMP0028,53,1,Project Manager,Retail,31,Onsite,56,4,4,1,3,0,0,4,1,4,0,1,Oceania
EMP0029,47,4,Sales,IT,22,Onsite,33,10,3,3,3,1,1,4,2,1,2,1,Europe
EMP0030,59,2,Software Engineer,Healthcare,34,Remote,25,15,2,3,3,1,0,3,2,1,1,1,North America
EMP0031,22,1,Data Scientist,IT,22,Onsite,20,11,1,1,1,1,0,5,0,2,1,2,Asia
EMP0032,37,4,Marketing,Manufacturing,4,Hybrid,33,14,2,2,3,0,1,3,2,5,0,2,North America
EMP0033,45,4,Project Manager,Manufacturing,29,Remote,20,14,2,2,1,1,1,5,2,5,2,3,North America
EMP0034,48,2,Software Engineer,Healthcare,27,Remote,26,9,3,2,1,1,0,5,0,4,2,2,North America
EMP0035,36,2,Designer,IT,24,Hybrid,22,6,4,2,3,0,0,1,1,3,1,2,Europe
EMP0036,46,4,Sales,Healthcare,28,Hybrid,57,8,4,1,0,1,0,1,0,5,0,1,Europe
EMP0037,48,2,Sales,Finance,10,Onsite,30,12,1,1,3,1,1,5,2,3,0,1,Asia
EMP0038,31,1,Designer,Healthcare,18,Remote,47,14,2,1,0,1,2,2,2,5,2,3,Asia
EMP0039,24,3,Sales,IT,21,Onsite,48,12,4,1,1,1,0,3,0,1,1,2,Africa
EMP0040,49,2,Marketing,Consulting,20,Hybrid,20,1,3,3,0,0,2,1,1,5,1,1,Asia
EMP0041,30,3,Data Scientist,IT,22,Remote,44,15,4,3,2,0,1,1,0,5,2,1,Europe
EMP0042,53,2,Project Manager,IT,14,Onsite,29,13,2,1,0,0,0,1,1,5,0,3,North America
EMP0043,54,4,Project Manager,Finance,26,Remote,58,6,3,3,0,1,2,3,1,3,1,1,Europe
EMP0044,54,1,Designer,Manufacturing,12,Remote,53,12,4,2,3,1,0,1,1,3,0,2,Europe
EMP0045,57,4,HR,Retail,13,Remote,23,6,3,3,1,1,0,5,0,2,2,3,South America
EMP0046,32,2,Marketing,Retail,24,Remote,42,8,2,2,2,0,0,2,0,3,2,1,North America
EMP0047,33,2,Data Scientist,Education,33,Remote,35,15,1,2,2,1,1,1,1,5,1,3,South America
EMP0048,30,1,Sales,Consulting,4,Remote,39,2,5,3,0,0,1,1,1,4,0,3,Oceania
EMP0049,22,1,HR,Healthcare,7,Onsite,29,9,4,1,0,0,2,2,0,3,2,1,Africa
EMP0050,35,2,Project Manager,Retail,11,Onsite,37,3,4,2,2,0,0,1,2,3,0,2,Europe
EMP0051,26,3,HR,Manufacturing,34,Onsite,28,10,4,3,1,1,1,5,2,4,2,3,Europe
EMP0052,47,2,Sales,Consulting,25,Remote,31,9,5,1,0,0,1,4,2,1,0,3,South America
EMP0053,42,1,Software Engineer,Retail,3,Onsite,26,14,3,2,0,0,1,2,2,2,2,3,South America
EMP0054,60,4,Project Manager,Healthcare,34,Onsite,46,15,2,2,3,1,0,1,0,1,0,2,Asia
EMP0055,26,1,Software Engineer,Education,5,Hybrid,55,6,1,2,2,1,1,4,2,1,2,1,Asia
EMP0056,30,3,Project Manager,Education,8,Hybrid,47,12,3,1,1,0,2,3,0,5,2,3,Africa
EMP0057,42,2,Software Engineer,IT,14,Remote,48,13,5,1,3,1,2,4,0,5,0,3,Asia
EMP0058,53,4,HR,IT,7,Onsite,49,6,5,1,0,0,0,4,2,3,0,2,South America
EMP0059,26,4,Designer,Manufacturing,31,Remote,51,4,1,1,0,0,1,2,1,3,2,2,Oceania
EMP0060,26,4,Data Scientist,IT,17,Remote,57,13,2,2,0,1,0,1,2,5,2,1,Oceania
EMP0061,25,3,Sales,Consulting,4,Hybrid,33,14,4,2,3,1,0,1,1,2,2,3,Europe
EMP0062,33,1,Sales,IT,14,Remote,30,15,2,2,3,1,2,5,1,5,2,3,North America
EMP0063,25,3,Project Manager,Finance,20,Hybrid,28,4,3,2,3,0,0,3,2,2,0,1,Asia
EMP0064,22,1,Software Engineer,Healthcare,5,Onsite,31,15,3,2,3,1,0,2,2,5,0,3,South America
EMP0065,60,4,Data Scientist,Healthcare,18,Hybrid,37,0,4,2,2,0,0,2,1,2,0,3,Oceania
EMP0066,56,2,HR,Finance,9,Remote,31,3,4,2,1,1,2,4,2,4,1,1,Europe
EMP0067,45,3,Software Engineer,IT,6,Hybrid,46,3,1,2,2,0,2,3,2,2,2,3,Oceania
EMP0068,60,1,Marketing,Education,32,Remote,20,6,2,3,0,1,1,3,1,4,1,1,Oceania
EMP0069,32,1,Designer,Manufacturing,23,Onsite,51,8,2,3,1,1,1,3,0,1,2,2,South America
