age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_4,ethnicity,hours,work_location,income,educational_attainment,occupation
2,3,2,2,2,1,1,10,2,2,3,1
0,2,1,2,1,1,1,6,2,0,2,2
1,1,1,1,1,1,4,2,2,0,3,3
4,2,1,2,2,1,6,40,2,1,3,2
1,1,1,0,0,0,5,7,2,1,3,3
0,1,2,2,1,1,6,6,2,1,1,2
0,2,1,1,2,0,1,8,2,1,3,2
1,2,2,1,1,1,6,5,2,2,2,4
2,1,2,2,2,1,6,30,2,1,3,3
2,2,2,2,1,0,6,8,2,0,2,5
1,2,2,2,1,1,6,30,2,0,2,5
2,1,2,1,2,1,2,14,2,2,2,6
2,1,1,2,2,1,2,35,2,1,2,7
0,1,2,1,1,1,1,40,2,2,3,5
0,1,1,2,0,1,6,40,2,1,2,5
0,1,2,2,1,1,6,6,3,0,1,8
1,1,2,2,1,1,6,8,3,0,2,5
1,1,2,2,0,1,6,38,2,3,3,3
1,1,1,1,1,1,5,10,2,1,3,4
0,1,2,1,1,1,5,10,2,3,2,8
1,1,1,2,2,1,1,8,2,1,2,7
3,1,1,2,1,1,2,35,2,1,2,5
1,2,1,2,1,1,1,32,2,1,3,6
0,2,2,1,0,1,2,8,2,2,1,7
0,2,1,2,1,1,5,10,2,0,2,1
1,1,1,2,1,1,6,2,2,1,2,5
3,1,1,2,1,1,2,5,2,1,2,8
0,1,2,1,1,0,6,4,2,0,1,2
0,2,2,1,1,1,3,45,2,1,1,9
1,2,2,2,2,1,3,40,2,1,1,10
1,2,1,2,2,1,3,35,2,1,2,8
0,2,2,2,1,1,6,55,2,0,3,6
2,1,2,2,1,1,1,7,2,2,3,4
0,2,1,2,2,1,6,6,2,1,2,1
1,1,1,0,2,1,6,40,3,0,2,3
0,2,1,1,1,1,1,8,2,0,2,1
1,2,1,1,0,1,2,24,2,1,3,10
1,2,2,2,1,1,6,32,2,2,3,6
2,3,0,0,0,1,2,10,2,1,2,10
0,1,1,2,1,1,1,4,2,1,2,7
1,2,1,2,1,1,6,6,2,0,1,1
0,1,2,2,1,1,6,8,2,1,3,3
2,2,1,0,0,0,1,45,3,2,2,8
1,2,2,2,2,1,6,3,2,1,2,1
0,1,2,2,1,1,6,8,3,0,2,2
1,1,2,2,1,1,6,8,2,2,3,1
0,2,1,2,2,1,1,4,2,0,1,3
0,1,2,2,1,1,1,5,2,2,2,4
0,1,2,2,1,1,3,48,2,0,2,5
1,2,1,2,1,1,6,48,2,0,3,3
0,1,1,1,1,1,6,12,2,1,3,3
0,1,1,2,1,1,6,14,2,1,3,1
0,2,1,1,1,1,6,5,2,0,3,3
0,1,2,2,1,1,1,30,2,2,1,1
2,1,1,2,1,1,1,5,2,1,2,1
1,1,2,2,1,1,1,3,2,0,1,3
1,1,2,1,1,1,4,5,1,1,1,9
0,1,0,2,1,1,6,6,2,2,3,1
0,1,0,2,1,1,6,5,2,3,3,1
0,2,2,1,0,1,6,30,2,1,3,7
0,2,2,2,1,1,3,40,2,0,2,5
0,2,2,2,1,1,3,40,2,0,2,5
1,1,2,2,1,1,6,30,2,2,2,5
0,1,1,1,0,1,1,6,2,0,2,6
0,2,1,0,1,1,4,6,2,0,3,8
0,2,0,1,0,1,1,24,2,0,3,10
1,2,1,1,1,0,6,20,2,0,2,4
2,1,2,2,2,1,6,36,2,0,2,5
0,1,2,2,2,1,6,6,2,0,1,5
1,1,2,1,1,1,5,5,3,0,2,3
0,1,1,0,1,1,6,40,2,3,3,5
0,1,1,0,1,1,6,40,2,2,3,5
